dataset,n,kappa,h,label,nearest_control,margin,ferro_score,antiphase_score,transverse_score,distance_ferro_like,distance_antiphase_like,distance_paramagnetic_like,distance_degraded
grid_n8,8,0.15000000000000002,1.8,paramagnetic_like,paramagnetic_like,0.8301232885426924,0.0935422625365011,-0.03792128748323679,0.9346473011086173,1.2456892594101072,1.233824388506498,0.108532028027204,0.9386553165698963
grid_n8,8,0.15000000000000002,1.9000000000000001,paramagnetic_like,paramagnetic_like,0.8450952090107136,0.08644568541326156,-0.03344042717192811,0.9409249227865439,1.2549521993250572,1.2354536060985448,0.09919825097369633,0.9442934599844099
grid_n8,8,0.15000000000000002,2.0,paramagnetic_like,paramagnetic_like,0.8579809635046094,0.08038357903795114,-0.029560826994481298,0.9463242644839209,1.2629016531421144,1.2369046403491346,0.0912125104688894,0.9491934739734987
grid_n8,8,0.2,0.0,ferro_like,ferro_like,0.9100137361600648,1.0,-0.3333333333333333,0.0,0.0,1.4142135623730951,1.352081728298996,0.9100137361600648
grid_n8,8,0.2,0.1,ferro_like,ferro_like,0.8457214998433409,0.9960459517791277,-0.33201271277852756,0.06276055234494707,0.06286364700209418,1.4124628571738334,1.3038427299249886,0.9085851468454351
grid_n8,8,0.2,0.2,ferro_like,ferro_like,0.7759829478063989,0.9835639991321037,-0.32781768736762923,0.127179211672929,0.12805659693257215,1.406898013912372,1.250171618261264,0.9040395447389711
grid_n8,8,0.2,0.30000000000000004,ferro_like,ferro_like,0.6963501956576914,0.9601522194738544,-0.319925051391794,0.19568461457441222,0.1990208282249197,1.3963392321474999,1.187568962738489,0.8953710238826111
grid_n8,8,0.2,0.4,ferro_like,ferro_like,0.5963617105220909,0.9187718966337916,-0.306297840514471,0.2735412393544065,0.28335057497296073,1.3775286306347136,1.1076151075812004,0.8797122854950516
grid_n8,8,0.2,0.5,ferro_like,ferro_like,0.4517468699178358,0.8403992698019922,-0.28227606874853134,0.3718206652076168,0.3990228789521096,1.3428820064337423,0.9900342595976143,0.8507697488699454
grid_n8,8,0.2,0.6000000000000001,uncertain,ferro_like,0.2394324348832262,0.6970330650286611,-0.24219970979751881,0.4993591802212584,0.5694798226858807,1.2874061895698565,0.8097040694000693,0.8089122575691069
grid_n8,8,0.2,0.7000000000000001,uncertain,paramagnetic_like,0.16859683626930333,0.5125713302542897,-0.193062807158595,0.6298249650676989,0.7678863581564285,1.235412278442157,0.5992895218871251,0.7866370581018268
grid_n8,8,0.2,0.8,paramagnetic_like,paramagnetic_like,0.3635721755798555,0.36345622359367585,-0.1518888659229305,0.7245624028759333,0.9239758658092091,1.2114508206160108,0.43586954693454566,0.7994417225144012
grid_n8,8,0.2,0.9,paramagnetic_like,paramagnetic_like,0.49231159029616495,0.26898427108626877,-0.12244028554634312,0.784625342431455,1.0245937516958223,1.2058918934691474,0.33198485407008854,0.8242964443662535
grid_n8,8,0.2,1.0,paramagnetic_like,paramagnetic_like,0.5822734112948063,0.21078443849249387,-0.10099535455361212,0.8242727288494647,1.0893428828538332,1.207076516057115,0.2657713079408814,0.8480447192356876
grid_n8,8,0.2,1.1,paramagnetic_like,paramagnetic_like,0.6474181132395364,0.1730573200782278,-0.08453600509358954,0.8524693636024567,1.1336151835066495,1.2102634845578453,0.22071402391280828,0.8681321371523446
grid_n8,8,0.2,1.2000000000000002,paramagnetic_like,paramagnetic_like,0.6967029721832718,0.14704060178006376,-0.07139835677092554,0.8737210018434516,1.1657633059076427,1.213846231477536,0.18806218912538622,0.884765161308658
