n,kappa,metric,h,value
8,0.3,negative_order_derivative,0.8,0.29778607198642204
8,0.3,negative_order_derivative,0.8500000000000001,0.23177475069849285
8,0.3,negative_order_derivative,0.9,0.1860986212839446
8,0.3,negative_order_derivative,0.9500000000000001,0.15333193941102774
8,0.3,negative_order_derivative,1.0,0.12905590271048029
8,0.3,negative_order_derivative,1.05,0.11055155775046632
8,0.3,negative_order_derivative,1.1,0.09609105603418566
8,0.3,negative_order_derivative,1.1500000000000001,0.08454279685060717
8,0.3,negative_order_derivative,1.2000000000000002,0.07514474128962112
8,0.3,negative_order_derivative,1.25,0.06737036981706002
8,0.3,negative_order_derivative,1.3,0.060847178179886274
8,0.3,negative_order_derivative,1.35,0.055305815208454234
8,0.3,negative_order_derivative,1.4000000000000001,0.050547568695500145
8,0.3,negative_order_derivative,1.4500000000000002,0.04642311008100353
8,0.3,negative_order_derivative,1.5,0.042818306420061125
8,0.3,negative_order_derivative,1.55,0.03964456319680831
8,0.3,negative_order_derivative,1.6,0.036832129672416114
8,0.3,negative_order_derivative,1.6500000000000001,0.034325377426111414
8,0.3,negative_order_derivative,1.7000000000000002,0.03207941618388355
8,0.3,negative_order_derivative,1.75,0.030057630956230152
8,0.3,negative_order_derivative,1.8,0.028229863827431645
8,0.3,negative_order_derivative,1.85,0.02657105349283051
8,0.3,negative_order_derivative,1.9000000000000001,0.02506020438603307
8,0.3,negative_order_derivative,1.9500000000000002,0.02367959626910232
8,0.3,negative_order_derivative,2.0,0.022360044969643944
8,0.3,mx_derivative,0.05,0.7150467164456864
8,0.3,mx_derivative,0.1,0.7375033878704929
8,0.3,mx_derivative,0.15000000000000002,0.7688499924443367
8,0.3,mx_derivative,0.2,0.8250822044052575
8,0.3,mx_derivative,0.25,0.9288765139843835
8,0.3,mx_derivative,0.30000000000000004,1.122551846019821
8,0.3,mx_derivative,0.35000000000000003,1.4465168263809907
8,0.3,mx_derivative,0.4,1.8153887356761733
8,0.3,mx_derivative,0.45,1.9317403588724051
8,0.3,mx_derivative,0.5,1.643162854232778
8,0.3,mx_derivative,0.55,1.1954265422747543
8,0.3,mx_derivative,0.6000000000000001,0.8458082751147256
8,0.3,mx_derivative,0.65,0.6285359736684661
8,0.3,mx_derivative,0.7000000000000001,0.49585653653219364
8,0.3,mx_derivative,0.75,0.4094602138931558
8,0.3,mx_derivative,0.8,0.34854779167633065
8,0.3,mx_derivative,0.8500000000000001,0.30256764976873995
8,0.3,mx_derivative,0.9,0.26605455988366167
8,0.3,mx_derivative,0.9500000000000001,0.23602489238004054
8,0.3,mx_derivative,1.0,0.21073845745996955
8,0.3,mx_derivative,1.05,0.18910552023309002
8,0.3,mx_derivative,1.1,0.1703946482405545
8,0.3,mx_derivative,1.1500000000000001,0.15408353051014778
8,0.3,mx_derivative,1.2000000000000002,0.1397796887608358
8,0.3,mx_derivative,1.25,0.12717641924750467
8,0.3,mx_derivative,1.3,0.11602706844219668
8,0.3,mx_derivative,1.35,0.10612917956200185
8,0.3,mx_derivative,1.4000000000000001,0.09731415784556319
8,0.3,mx_derivative,1.4500000000000002,0.08944015601945488
8,0.3,mx_derivative,1.5,0.0823869307814924
8,0.3,mx_derivative,1.55,0.07605196918161639
8,0.3,mx_derivative,1.6,0.07034747642534178
8,0.3,mx_derivative,1.6500000000000001,0.06519797671141525
8,0.3,mx_derivative,1.7000000000000002,0.060538368761122285
8,0.3,mx_derivative,1.75,0.05631233004105063
8,0.3,mx_derivative,1.8,0.05247099530875232
8,0.3,mx_derivative,1.85,0.04897185507559598
8,0.3,mx_derivative,1.9000000000000001,0.0457778327839069
8,0.3,mx_derivative,1.9500000000000002,0.04285650863948298
8,0.3,mx_derivative,2.0,0.04006396634653342
8,0.3,chi_f_per_site,0.025,nan
8,0.3,chi_f_per_site,0.07500000000000001,0.13372989307586847
8,0.3,chi_f_per_site,0.125,0.14621939088534572
8,0.3,chi_f_per_site,0.17500000000000002,0.1708770087770278
8,0.3,chi_f_per_site,0.225,0.2219367056495684
8,0.3,chi_f_per_site,0.275,0.3359047283865044
8,0.3,chi_f_per_site,0.32500000000000007,0.5928905036491384
8,0.3,chi_f_per_site,0.375,1.0828574179748365
8,0.3,chi_f_per_site,0.42500000000000004,1.5889695987939643
8,0.3,chi_f_per_site,0.475,1.4846716381593332
8,0.3,chi_f_per_site,0.525,0.9141115034904591
8,0.3,chi_f_per_site,0.5750000000000001,0.4717311221827685
8,0.3,chi_f_per_site,0.625,0.24816847408662165
8,0.3,chi_f_per_site,0.675,0.14430174547150185
8,0.3,chi_f_per_site,0.7250000000000001,0.09363380907472275
8,0.3,chi_f_per_site,0.775,0.0664806934299138
8,0.3,chi_f_per_site,0.8250000000000001,0.05036257307669805
8,0.3,chi_f_per_site,0.875,0.03986536355325317
8,0.3,chi_f_per_site,0.925,0.03249497565256526
8,0.3,chi_f_per_site,0.9750000000000001,0.02701927420499448
8,0.3,chi_f_per_site,1.025,0.022782986579170137
8,0.3,chi_f_per_site,1.0750000000000002,0.019410743823278988
8,0.3,chi_f_per_site,1.125,0.01667160234871967
8,0.3,chi_f_per_site,1.1750000000000003,0.014413974500879327
8,0.3,chi_f_per_site,1.225,0.01253271666507089
8,0.3,chi_f_per_site,1.275,0.010951579306920065
8,0.3,chi_f_per_site,1.3250000000000002,0.00961332704108285
8,0.3,chi_f_per_site,1.375,0.008473863162970045
8,0.3,chi_f_per_site,1.4250000000000003,0.007498543539664287
8,0.3,chi_f_per_site,1.475,0.006659746057330142
