n,kappa,h,k,partner_k,q_over_pi,value,gap_from_max,unique_global_max
16,0.8,0.45,4,12,0.5,0.2363913401755842,0.0,True
16,0.8,0.5,3,13,0.375,0.25072847898327033,0.0,True
16,0.8,0.55,3,13,0.375,0.25174758013283616,0.0,True
16,0.8,0.6000000000000001,3,13,0.375,0.24368316887638444,0.0,True
16,0.8,0.65,3,13,0.375,0.23315498752775876,0.0,True
16,0.8,0.7000000000000001,3,13,0.375,0.22173222783906255,0.0,True
16,0.8,0.75,3,13,0.375,0.21015757872038082,0.0,True
16,0.8,0.8,3,13,0.375,0.19890350415582353,0.0,True
16,0.8,0.8500000000000001,3,13,0.375,0.18827964390437568,0.0,True
16,0.8,0.9,3,13,0.375,0.17846640307533865,0.0,True
16,0.8,0.9500000000000001,3,13,0.375,0.16954179669609828,0.0,True
16,0.8,1.0,3,13,0.375,0.1615099822895264,0.0,True
16,0.8,1.05,3,13,0.375,0.15432793273579873,0.0,True
16,0.8,1.1,3,13,0.375,0.14792683501878773,0.0,True
16,0.8,1.1500000000000001,3,13,0.375,0.14222721960173046,0.0,True
16,0.8,1.2000000000000002,3,13,0.375,0.13714854840125407,0.0,True
16,0.8,1.25,3,13,0.375,0.13261464391806416,0.0,True
16,0.8,1.3,3,13,0.375,0.1285563219822524,0.0,True
16,0.8,1.35,3,13,0.375,0.12491230054335778,0.0,True
16,0.8,1.4000000000000001,3,13,0.375,0.12162913102253273,0.0,True
16,0.8,1.4500000000000002,3,13,0.375,0.11866063088640269,0.0,True
16,0.8,1.5,3,13,0.375,0.11596710503736676,0.0,True
16,0.8,1.55,3,13,0.375,0.1135145183055752,0.0,True
16,0.8,1.6,3,13,0.375,0.11127370382153896,0.0,True
16,0.8,1.6500000000000001,3,13,0.375,0.10921964635731327,0.0,True
16,0.8,1.7000000000000002,3,13,0.375,0.1073308540428555,0.0,True
16,0.8,1.75,3,13,0.375,0.10558881825710686,0.0,True
16,0.8,1.8,3,13,0.375,0.10397755491224803,0.0,True
16,0.8,1.85,3,13,0.375,0.10248321771296696,0.0,True
16,0.8,1.9000000000000001,3,13,0.375,0.10109377344627343,0.0,True
16,0.8,1.9500000000000002,3,13,0.375,0.09979872988529429,0.0,True
16,0.8,2.0,3,13,0.375,0.09858890787821553,0.0,True
