id,kappa,layers,left_h,right_h,left_branch_id,right_branch_id,comparison_p,actual_switch_pair_checked,actual_switch_pair_sensitive,both_preparations_pass,pair_complete,opposite_direction_checked,opposite_direction_sensitive,actual_switch_pair_sensitive_at_left,actual_switch_pair_sensitive_at_right
k0.0_L6_i23,0.0,6,1.2,1.25,stage3_slices/k0.0/L6/ascending/seed307/independent_endpoint,stage3_slices/k0.0/L6/descending/seed101/independent_endpoint,0,True,False,True,True,,,False,False
k0.0_L6_i23,0.0,6,1.2,1.25,stage3_slices/k0.0/L6/ascending/seed307/independent_endpoint,stage3_slices/k0.0/L6/descending/seed101/independent_endpoint,0.01,True,True,True,True,,,True,False
k0.0_L6_i23,0.0,6,1.2,1.25,stage3_slices/k0.0/L6/ascending/seed307/independent_endpoint,stage3_slices/k0.0/L6/descending/seed101/independent_endpoint,0.05,True,False,True,True,,,False,False
k0.0_L6_i24,0.0,6,1.25,1.3,stage3_slices/k0.0/L6/descending/seed101/independent_endpoint,stage3_slices/k0.0/L6/ascending/seed307/independent_endpoint,0,True,False,True,True,,,False,False
k0.0_L6_i24,0.0,6,1.25,1.3,stage3_slices/k0.0/L6/descending/seed101/independent_endpoint,stage3_slices/k0.0/L6/ascending/seed307/independent_endpoint,0.01,True,False,True,True,,,False,False
k0.0_L6_i24,0.0,6,1.25,1.3,stage3_slices/k0.0/L6/descending/seed101/independent_endpoint,stage3_slices/k0.0/L6/ascending/seed307/independent_endpoint,0.05,True,False,True,True,,,False,False
k0.0_L6_i26,0.0,6,1.35,1.4,stage3_slices/k0.0/L6/ascending/seed307/independent_endpoint,stage3_slices/k0.0/L6/descending/seed101/independent_endpoint,0,True,False,True,True,,,False,False
k0.0_L6_i26,0.0,6,1.35,1.4,stage3_slices/k0.0/L6/ascending/seed307/independent_endpoint,stage3_slices/k0.0/L6/descending/seed101/independent_endpoint,0.01,True,False,True,True,,,False,False
k0.0_L6_i26,0.0,6,1.35,1.4,stage3_slices/k0.0/L6/ascending/seed307/independent_endpoint,stage3_slices/k0.0/L6/descending/seed101/independent_endpoint,0.05,True,False,True,True,,,False,False
k0.0_L6_i32,0.0,6,1.65,1.7,stage3_slices/k0.0/L6/descending/seed101/independent_endpoint,stage3_slices/k0.0/L6/ascending/seed307/independent_endpoint,0,True,False,True,True,True,False,False,False
k0.0_L6_i32,0.0,6,1.65,1.7,stage3_slices/k0.0/L6/descending/seed101/independent_endpoint,stage3_slices/k0.0/L6/ascending/seed307/independent_endpoint,0.01,True,False,True,True,True,False,False,False
k0.0_L6_i32,0.0,6,1.65,1.7,stage3_slices/k0.0/L6/descending/seed101/independent_endpoint,stage3_slices/k0.0/L6/ascending/seed307/independent_endpoint,0.05,True,False,True,True,True,False,False,False
k0.3_L4_i6,0.3,4,0.35,0.4,stage3_slices/k0.3/L4/descending/seed307/independent_endpoint,stage3_slices/k0.3/L4/descending/seed211/independent_endpoint,0,True,True,False,True,True,True,True,True
