cohort,mode,budget,p,method,requested_points,points,MSE_ED_mean,MSE_ED_median,MSE_ED_q10,MSE_ED_q90,MSE_own_clean,bias_squared,sampling_MSE,physical_labelled_points,correct_coordinate_equivalents,wrong_coordinate_equivalents,rejected_coordinate_equivalents,shots_all32,CNOT_shots_all32,one_qubit_gate_shots_all32
representatives,equal_gate,300000,0,raw,12,12,0.00021345524626449096,2.433570107705128e-06,9.686251050579454e-08,0.0006950898674115654,2.5987241283535927e-07,0.00021246784957749083,2.598724128353539e-07,6,6.0,0.0,0.0,115199232,9619135872,13929507136
representatives,equal_gate,300000,0,zne_quadratic,12,12,0.00023054140561704092,1.9115998525943956e-05,3.0253598973068766e-06,0.000691575926312223,1.126946352005392e-05,0.00021246784957749075,1.1269463520053925e-05,6,6.0,0.0,0.0,38400000,9619135872,4643196928
representatives,equal_gate,300000,0,sv,12,12,0.00021543789690890537,4.428287721608972e-06,9.615427430204764e-07,0.0006993097124484033,2.3315092222834204e-06,0.0002124678495774909,2.3315092222834137e-06,6,6.0,0.0,0.0,115199232,9619135872,14359584064
representatives,equal_gate,300000,0.01,raw,12,12,0.00960270287420774,0.00835384588787588,0.0029599485964018624,0.017177637833607616,0.009303086462169352,0.00960267019945244,3.7818611152375134e-07,6,6.0,0.0,0.0,115199232,9619135872,13929507136
representatives,equal_gate,300000,0.01,zne_quadratic,12,12,0.0012931543759744256,0.00021057640742481066,1.6651720803225992e-05,0.00411266807556602,0.0009624206628055399,0.001267425929169127,1.9532260592616647e-05,6,6.0,0.0,0.0,38400000,9619135872,4643196928
representatives,equal_gate,300000,0.01,sv,12,12,0.006520644129916159,0.004763007376565135,0.0018230622982023962,0.012760747693114177,0.0062457693662473215,0.006508506794797593,8.06510684178699e-06,6,6.0,0.0,0.0,115199232,9619135872,14359584064
representatives,equal_gate,300000,0.05,raw,12,12,0.07164152738015274,0.06298503060809424,0.04197675652516267,0.1193530432070926,0.07146250068012121,0.07166307387676396,4.988296776719928e-07,6,4.0,0.0,2.0,115199232,9619135872,13929507136
representatives,equal_gate,300000,0.05,zne_quadratic,12,12,0.03518542126273818,0.029204491002118985,0.008549225175420736,0.06214604263608777,0.034957160928572345,0.03520874568752101,2.4249264704176646e-05,6,4.09375,0.0,1.90625,38400000,9619135872,4643196928
representatives,equal_gate,300000,0.05,sv,12,12,0.06363342582865278,0.06295255527249845,0.03327607945256876,0.09697676992619009,0.0634527147748913,0.06358679500960464,1.566427434023548e-05,6,4.0,0.0,2.0,115199232,9619135872,14359584064
window_0.0,equal_shots,100000,0,raw,17,17,1.9665738991741303e-06,2.0478588567475177e-06,1.5089504827977964e-06,2.4062468620269694e-06,1.9256591367719914e-06,6.673252137876336e-08,1.9256591367719533e-06,0,0,0,0,54400000,5305600000,7772800000
window_0.0,equal_shots,100000,0,zne_quadratic,17,17,3.0146430545935396e-05,3.0173084923736843e-05,2.2217631473487545e-05,3.8093853685836393e-05,3.0021581395752033e-05,6.673252137876454e-08,3.002158139575204e-05,0,0,0,0,54400000,15916693888,7772795648
window_0.0,equal_shots,100000,0,sv,17,17,1.2220708582704205e-05,1.2301159191827177e-05,9.708284864243684e-06,1.4790455875427637e-05,1.2160786749249847e-05,6.673252137876321e-08,1.2160786749249667e-05,0,0,0,0,54400000,5305600000,7975890432
window_0.0,equal_shots,100000,0.01,raw,17,17,0.02315071823765741,0.023702960121973808,0.016982053246426917,0.028230803974619433,0.02313596020931809,0.023177909916878264,1.8735002427153623e-06,0,0,0,0,54400000,5305600000,7772800000
window_0.0,equal_shots,100000,0.01,zne_quadratic,17,17,0.0016991903262766476,0.0015892835344885803,0.0009946780831994076,0.0022249581184038887,0.0016953066500337447,0.0016820731359072103,3.222214153728294e-05,0,0,0,0,54400000,15916693888,7772795648
window_0.0,equal_shots,100000,0.01,sv,17,17,0.0162113472453697,0.0163538389440085,0.011798872227706411,0.020045329738823517,0.016198766162251216,0.016175427434394093,3.4627182582295954e-05,0,0,0,0,54400000,5305600000,7975890432
window_0.0,equal_shots,100000,0.05,raw,17,17,0.1414988719239553,0.1369650248424795,0.11165417023802215,0.1734263653666613,0.14146322654539767,0.14149213085504075,1.5879195376209913e-06,0,0,0,0,54400000,5305600000,7772800000
window_0.0,equal_shots,100000,0.05,zne_quadratic,17,17,0.10967874409500664,0.11178639853344668,0.08346320850621218,0.13370023500589368,0.10964661890379301,0.10971734572077832,2.5120057721001837e-05,0,0,0,0,54400000,15916693888,7772795648
window_0.0,equal_shots,100000,0.05,sv,17,17,0.1398981718323672,0.13520160461028236,0.11059206508770711,0.17102778648491795,0.1398626308771312,0.13979580343638137,4.343343311706339e-05,0,0,0,0,54400000,5305600000,7975890432
window_0.0,equal_gate,100000,0,raw,17,17,1.9319426539219176e-06,2.024447631609372e-06,1.4455035897260588e-06,2.450885261296098e-06,1.8777671663737158e-06,6.673252137876336e-08,1.8777671663737496e-06,0,0,0,0,54400000,5305600000,7772800000
window_0.0,equal_gate,100000,0,zne_quadratic,17,17,8.922211731270361e-05,8.774858927882393e-05,7.01673626003995e-05,0.00011120653747601392,8.908554627367314e-05,6.673252137876454e-08,8.90855462736734e-05,0,0,0,0,18133696,5305600000,2590980800
window_0.0,equal_gate,100000,0,sv,17,17,1.2986283483427954e-05,1.2632689810151606e-05,1.1173861039842707e-05,1.5191401783456614e-05,1.2917527423281332e-05,6.673252137876321e-08,1.2917527423281493e-05,0,0,0,0,54400000,5305600000,7975890432
window_0.0,equal_gate,100000,0.01,raw,17,17,0.023176106022368283,0.023609822602893488,0.016988832515341928,0.028122129449061277,0.023161316862794736,0.023177909916878264,2.0266528745375254e-06,0,0,0,0,54400000,5305600000,7772800000
window_0.0,equal_gate,100000,0.01,zne_quadratic,17,17,0.0017825111014368312,0.0017120579792646664,0.0010806445638113808,0.00227040086138625,0.001778465195183621,0.0016820731359072103,9.422926150325397e-05,0,0,0,0,18133696,5305600000,2590980800
window_0.0,equal_gate,100000,0.01,sv,17,17,0.01614960805660896,0.016251938060629273,0.011991938250155551,0.0198279974457181,0.016137059532994536,0.016175427434394093,3.358485358792373e-05,0,0,0,0,54400000,5305600000,7975890432
window_0.0,equal_gate,100000,0.05,raw,17,17,0.14148185466932678,0.13699016815171972,0.11163923556159178,0.17341421281502042,0.1414462225115236,0.14149213085504075,1.6390614854874732e-06,0,0,0,0,54400000,5305600000,7772800000
window_0.0,equal_gate,100000,0.05,zne_quadratic,17,17,0.10967536664185809,0.11168183949743937,0.08341306303853682,0.13373940706274953,0.10964301708151875,0.10971734572077832,8.116197297527483e-05,0,0,0,0,18133696,5305600000,2590980800
window_0.0,equal_gate,100000,0.05,sv,17,17,0.14004534829609477,0.13494809444693487,0.11081333162117174,0.1715834284739146,0.14000983747247903,0.13979580343638137,4.936914705328177e-05,0,0,0,0,54400000,5305600000,7975890432
window_0.0,equal_gate,300000,0,raw,17,17,7.144759971154846e-07,6.528554150311682e-07,5.018520675438304e-07,1.039430334879076e-06,6.276088945010838e-07,6.673252137876336e-08,6.276088945010843e-07,0,0,0,0,163198912,15916693888,23318244544
window_0.0,equal_gate,300000,0,zne_quadratic,17,17,3.0349824276053656e-05,3.224340255047819e-05,2.1589691587616056e-05,3.7132812419889246e-05,3.0178976972870694e-05,6.673252137876454e-08,3.017897697287067e-05,0,0,0,0,54400000,15916693888,7772795648
window_0.0,equal_gate,300000,0,sv,17,17,4.147724388326016e-06,4.039713172420847e-06,3.6105832483729283e-06,4.6604606462179825e-06,4.132319876854475e-06,6.673252137876321e-08,4.1323198768543885e-06,0,0,0,0,163198912,15916693888,23927520192
window_0.0,equal_gate,300000,0.01,raw,17,17,0.02317597708220392,0.023697758720298157,0.01697135147014228,0.028121329131212326,0.023161198436476085,0.023177909916878264,6.849283914562417e-07,0,0,0,0,163198912,15916693888,23318244544
window_0.0,equal_gate,300000,0.01,zne_quadratic,17,17,0.0017049129082348756,0.00163953841304016,0.000992090795663296,0.0022457189320243946,0.0017009980862086947,0.0016820731359072103,3.0756383380371735e-05,0,0,0,0,54400000,15916693888,7772795648
window_0.0,equal_gate,300000,0.01,sv,17,17,0.016175026028731766,0.01630139066987543,0.011867000632207778,0.02008288644523626,0.016162460934999234,0.016175427434394093,1.2299331378599766e-05,0,0,0,0,163198912,15916693888,23927520192
window_0.0,equal_gate,300000,0.05,raw,17,17,0.14150322376649105,0.1370263184991679,0.11168665945828184,0.17352416692116157,0.1414675825892025,0.14149213085504075,5.306307401022942e-07,0,0,0,0,163198912,15916693888,23318244544
window_0.0,equal_gate,300000,0.05,zne_quadratic,17,17,0.10996154434541645,0.11222165381652974,0.08371130857249208,0.13449628953692053,0.10992922960568396,0.10971734572077832,2.531110711995885e-05,0,0,0,0,54400000,15916693888,7772795648
window_0.0,equal_gate,300000,0.05,sv,17,17,0.13981115705530917,0.134588790345127,0.11018969549324956,0.17138346288376652,0.1397757052575981,0.13979580343638137,1.5480546222505175e-05,0,0,0,0,163198912,15916693888,23927520192
window_0.8,equal_shots,100000,0,raw,17,17,0.00010596977768983477,9.17770712016284e-05,3.721032466059198e-05,0.00020447090947837174,9.294854983889541e-07,0.00010517059644542605,9.294854983889435e-07,0,0,0,0,54400000,6960000000,10083200000
