method,n,kappa,h,region,seeds,joint_pass_runs,observable_pass_runs,state_pass_runs,candidate_pool_exists_runs,at_least_two_joint,all_three_joint,at_least_two_observable,median_fidelity,worst_fidelity,median_cnots,minimum_energy_delta_per_site,median_energy_delta_per_site,source_archives
C0,8,0.863,0.515,antiphase_band,"[631, 743, 857]",3,3,3,3,True,True,True,0.9978846738768691,0.9978599470762427,128.0,0.0006106782264988508,0.0006236605175427012,"['results/stage6_v1/domain_wall_candidates/cache/f6bd351ecece4d1d449836ecaec0cd230df741e0a1f07c7dce02f5e2b37eefd7.npz', 'results/stage6_v1/domain_wall_candidates/cache/d8a9f8780b1d6d3d9aff4bfd365aea2941931d8732a365cdebf73620a956922f.npz', 'results/stage6_v1/domain_wall_candidates/cache/be47241340e70124307c6a8a6bc2f965b27fed7e3d8756f068405b88eaef5da0.npz']"
C1,8,0.083,0.085,interior,"[631, 743, 857]",3,3,3,3,True,True,True,0.9999999603341678,0.9999999603292515,63.0,1.7112972372501645e-08,1.711300379181324e-08,"['results/stage6_v1/domain_wall_candidates/cache/867c296ba7ba87817386f035d4037efec02d5f70a1179ac06bebab4d53b0faae.npz', 'results/stage6_v1/domain_wall_candidates/cache/58033780247c7692c36cc85da366fbb9708c47364e38f0935eba81b8cfdd4ca4.npz', 'results/stage6_v1/domain_wall_candidates/cache/39afb4aaf0903400b1f0ea12dfd161d197651df9968c10f8703f3d681f6481cf.npz']"
C1,8,0.283,0.085,interior,"[631, 743, 857]",3,3,3,3,True,True,True,0.9999990784991022,0.9999990784811876,63.0,2.4191304126564006e-07,2.419131066577762e-07,"['results/stage6_v1/domain_wall_candidates/cache/d890c33e03a4bfa3129640757c4fdab9bd43dc9ec44b872fd538ce74bc0d9640.npz', 'results/stage6_v1/domain_wall_candidates/cache/e11dba8eceec388b69e6a7df0174cf1d1843214e76738a84640aea808bad0a31.npz', 'results/stage6_v1/domain_wall_candidates/cache/6f5ebda8b95fd22c794a38cc54e5388fc3b17937d08a709604539878da50f864.npz']"
C1,8,0.443,0.013,low_field,"[631, 743, 857]",3,3,3,3,True,True,True,0.9999999964962332,0.9999999964448731,63.0,4.656689478466092e-10,4.660342112217108e-10,"['results/stage6_v1/domain_wall_candidates/cache/36bbfd7dd16d70a159cb8831c61b63870ab63f55506178eef0628d77d586e142.npz', 'results/stage6_v1/domain_wall_candidates/cache/dc1d545709d5067480b8e7ca1e3b1a960429329c65a224b8702d3d3eb7f1b75b.npz', 'results/stage6_v1/domain_wall_candidates/cache/f33b12ed5e026c63b31c041540bba6ce3594e6cc74c894afad326b8c9bef17cd.npz']"
C1,8,0.459,0.044,low_field,"[631, 743, 857]",3,3,3,3,True,True,True,0.9999658879000916,0.9999658878404771,63.0,9.629644736053322e-07,9.629662270915773e-07,"['results/stage6_v1/domain_wall_candidates/cache/a48497e38cee0d46d4d3ee7403b611b65aef21cd385220c18c450422416363c8.npz', 'results/stage6_v1/domain_wall_candidates/cache/2c05ff074d0317c03e120ba6bfc4283fd19798828800cd878482d318ff16c2a8.npz', 'results/stage6_v1/domain_wall_candidates/cache/d0b4b8919c15bc421a1309606d40179c06c22b747d6880027adc3d60dc96acd9.npz']"
C1,8,0.4757,0.093,low_field,"[631, 743, 857]",0,3,0,0,False,False,True,0.9851060677647209,0.9851050398285249,128.0,0.0007021149365016299,0.0007021149424384365,"['results/stage6_v1/domain_wall_candidates/cache/46b65048d3e84680cc19daa6a4f3c4282677d1cd32699eb3c5101e1441f71ff2.npz', 'results/stage6_v1/domain_wall_candidates/cache/ee1432b78b33ea73f86c4dd7b59af5909b7ea0d87a16b03707d4340624fc8953.npz', 'results/stage6_v1/domain_wall_candidates/cache/e1a4594075513c8c9fe9c5a568840ba56c28cb65d30ccb7e48cd412487f8d021.npz']"
C1,8,0.507,0.013,low_field,"[631, 743, 857]",3,3,3,3,True,True,True,0.9998584066642784,0.9998572040843902,64.0,2.808990989811022e-07,2.8118043404745663e-07,"['results/stage6_v1/domain_wall_candidates/cache/c09a5cbc27de60b2f39554e76fc74a04b75fbcaa86ed477e90056179298dc9df.npz', 'results/stage6_v1/domain_wall_candidates/cache/7d9ee3b987486b607e43de9744bc61acc2e642438ef193662852cad2f11a6525.npz', 'results/stage6_v1/domain_wall_candidates/cache/356365a30750ccad4e22f3c0ade1487f848c70bfebb2285702f5f617610859a7.npz']"
C1,8,0.523,0.044,low_field,"[631, 743, 857]",3,3,3,3,True,True,True,0.998468809287194,0.998464544989248,128.0,7.116361833925389e-06,7.576997047342715e-06,"['results/stage6_v1/domain_wall_candidates/cache/d2b206f0e94960491e21604008a55cbf2ff26b9224be13c5303539d7058fc231.npz', 'results/stage6_v1/domain_wall_candidates/cache/badd47bb71ddace8decf2a4563cc2e2d3d5ec46f868f01f117904b9f928f4662.npz', 'results/stage6_v1/domain_wall_candidates/cache/e5febb69925357d52db4576c5f8c1c855d2ddd50071077e5652af162add2fd29.npz']"
C1,8,0.539,0.093,low_field,"[631, 743, 857]",0,0,0,0,False,False,False,0.668801007276359,0.6676191496111314,128.0,0.0007414372891103582,0.0007529709754429126,"['results/stage6_v1/domain_wall_candidates/cache/72848b436bd407c595b16d441eb79c11ad1c864f624a86f29b62c2fcbecfc0a6.npz', 'results/stage6_v1/domain_wall_candidates/cache/bfb43b9043380180bf9f6ab6ac68736d1838cafea9aac0f44c093dba6cd5d67e.npz', 'results/stage6_v1/domain_wall_candidates/cache/f9b2fe9c31ae20edb4345720f053c4b41d848bfcdc474b6ed984d3d567cc3720.npz']"
C1,8,0.663,0.235,antiphase_band,"[631, 743, 857]",3,3,3,3,True,True,True,0.9984940190392055,0.9982145197358095,128.0,0.00015823860165375958,0.00015823863292607765,"['results/stage6_v1/domain_wall_candidates/cache/6503d09670802451abaa59f182e1aa24b4e3fbb5501250ec433a33951c264bd3.npz', 'results/stage6_v1/domain_wall_candidates/cache/043b536c0c6e583b02e4424a5824343ab90df1d5e8e1cc46a6aa381c3b772874.npz', 'results/stage6_v1/domain_wall_candidates/cache/c0d14a6552b4842b5e53e0a6f6d0ec06d058ead179210e56039adda90aa2a1d3.npz']"
C1,8,0.683,0.085,interior,"[631, 743, 857]",3,3,3,3,True,True,True,0.9999992258175301,0.9999991342550456,128.0,1.3929471165408103e-07,1.5497868111058466e-07,"['results/stage6_v1/domain_wall_candidates/cache/90a5c8289d7a347330efc182f784d3ede153a684e7106e52602c160ae2c86c3d.npz', 'results/stage6_v1/domain_wall_candidates/cache/fff9139c9adf23b82127182f857ffb537a278ff1cc693a6e99ea3363f09e0b8a.npz', 'results/stage6_v1/domain_wall_candidates/cache/289315e2a06eb41e1e79e7ad738716f0d96a35a27b3518da862054293fe91fec.npz']"
C1,8,0.763,0.375,antiphase_band,"[631, 743, 857]",3,3,3,3,True,True,True,0.9980490481298802,0.998049014994311,128.0,0.0003879879909775008,0.00038798800247008547,"['results/stage6_v1/domain_wall_candidates/cache/27f7aaa36229b30668bce8c63db66806b3aa33a7f8b183646cf00bc215579dc8.npz', 'results/stage6_v1/domain_wall_candidates/cache/d59738f0959bdda9f8f696abfe2da05b9e4f25e3a1dbfc147e48eee46f4053aa.npz', 'results/stage6_v1/domain_wall_candidates/cache/ee98f03ec5c1016bcc902a9e21fb9c48f63a35285b9959892ad80a9da9e7564e.npz']"
