kappa,L,p,feature,h,value,derivative,preparation_failed,branch_switch,branch_checked,branch_sensitive
0.0,4,0,mx,0.6,0.32032297380904223,0.637328237583946,False,False,False,
0.0,4,0,mx,0.65,0.3531556664577344,0.6797751429595476,False,False,False,
0.0,4,0,mx,0.7,0.3883004881049969,0.7284488039442403,False,False,False,
0.0,4,0,mx,0.75,0.4260005468521585,0.7792531886230063,False,False,False,
0.0,4,0,mx,0.8,0.4662258069672976,0.8251733561862373,False,False,False,
0.0,4,0,mx,0.85,0.5085178824707821,0.8572552722775519,False,False,False,
0.0,4,0,mx,0.9,0.5519513341950529,0.8675904263222369,False,False,False,
0.0,4,0,mx,0.95,0.5952769251030058,0.8654332099958779,False,False,False,
0.0,4,0,mx,1.0,0.6449889428117704,,False,True,True,True
0.0,4,0,mx,1.05,0.6828155278758001,0.7284928736068252,False,False,False,
0.0,4,0,mx,1.1,0.7172952548105584,0.650696203783502,False,False,False,
0.0,4,0,mx,1.15,0.7478851482541504,0.572244928543304,False,False,False,
0.0,4,0,mx,1.2,0.7745197476648886,0.49586822796299046,False,False,False,
0.0,4,0,mx,1.25,0.7974719710504495,0.4265491237943895,False,False,False,
0.0,4,0,mx,1.3,0.8171746600443277,0.36626745688568807,False,False,False,
0.0,4,0,mx,1.35,0.8340987167390185,0.3151085553422135,False,False,False,
0.0,4,0,mx,1.4,0.8486855155785493,0.2722451623079838,False,False,False,
0.0,4,0,mx,1.45,0.8613232329698167,0.2365083863154851,False,False,False,
0.0,4,0,mx,1.5,0.8723363542100979,0.20669689392419066,False,False,False,
0.0,4,0,mx,1.55,0.8819929223622358,0.18177579000848,False,False,False,
0.0,4,0,mx,1.6,0.890513933210946,0.1608122304501567,False,False,False,
0.0,4,0,mx,1.65,0.8980741454072517,0.14308327828311462,False,False,False,
0.0,4,0,mx,1.7,0.9048222610392572,0.12801562013686762,False,False,False,
0.0,4,0,mx,1.75,0.9108757074209386,0.11509260594806925,False,False,False,
0.0,4,0,mx,1.8,0.9163315216340641,0.10394926878346311,False,False,False,
0.0,4,0,mx,1.85,0.9212706342992849,0.09428774077312241,False,False,False,
0.0,4,0,mx,1.9,0.9257602957113765,0.08585907045332597,False,False,False,
0.0,4,0,mx,1.95,0.9298565413446174,0.07845510686864365,False,False,False,
0.0,4,0,mx,2.0,0.9336058063982409,0.07151549527629442,False,False,False,
0.0,4,0.01,order,0.05,0.42776427746790685,0.008859747914149452,False,False,False,
0.0,4,0.01,order,0.1,0.42713847034316627,0.016172537075475724,False,False,False,
0.0,4,0.01,order,0.15,0.42614702376035934,0.02355387745723725,False,False,False,
