L,p,h,m_pi2,strongest_other,other_q_over_pi,competing_excess,near_peaks,preparation_failed
4,0.01,0.35,0.33187551024445194,0.06289903499853908,0.25,-0.26897647524591284,"[{""k"": 2, ""partner_k"": 6, ""q_over_pi"": 0.5, ""value"": 0.33187551024445194, ""gap_from_max"": 0.0, ""unique_global_max"": true}]",False
4,0.01,0.4,0.3248179409817332,0.06687733375121646,0.25,-0.25794060723051676,"[{""k"": 2, ""partner_k"": 6, ""q_over_pi"": 0.5, ""value"": 0.3248179409817332, ""gap_from_max"": 0.0, ""unique_global_max"": true}]",False
4,0.01,0.45,0.31557729488377717,0.07214610937823869,0.25,-0.2434311855055385,"[{""k"": 2, ""partner_k"": 6, ""q_over_pi"": 0.5, ""value"": 0.31557729488377717, ""gap_from_max"": 0.0, ""unique_global_max"": true}]",False
4,0.01,0.5,0.3037001192743494,0.0790260585217915,0.25,-0.2246740607525579,"[{""k"": 2, ""partner_k"": 6, ""q_over_pi"": 0.5, ""value"": 0.3037001192743494, ""gap_from_max"": 0.0, ""unique_global_max"": true}]",True
4,0.01,0.55,0.27127168305866706,0.08900752594842633,0.25,-0.18226415711024074,"[{""k"": 2, ""partner_k"": 6, ""q_over_pi"": 0.5, ""value"": 0.27127168305866706, ""gap_from_max"": 0.0, ""unique_global_max"": true}]",True
4,0.01,0.6,0.2572719858715527,0.09784455766454979,0.25,-0.1594274282070029,"[{""k"": 2, ""partner_k"": 6, ""q_over_pi"": 0.5, ""value"": 0.2572719858715527, ""gap_from_max"": 0.0, ""unique_global_max"": true}]",True
4,0.01,0.65,0.2427306303244641,0.10737624721701176,0.25,-0.13535438310745235,"[{""k"": 2, ""partner_k"": 6, ""q_over_pi"": 0.5, ""value"": 0.2427306303244641, ""gap_from_max"": 0.0, ""unique_global_max"": true}]",True
4,0.01,0.7,0.2291710854305709,0.11649804762500945,0.25,-0.11267303780556145,"[{""k"": 2, ""partner_k"": 6, ""q_over_pi"": 0.5, ""value"": 0.2291710854305709, ""gap_from_max"": 0.0, ""unique_global_max"": true}]",True
4,0.01,0.75,0.21752725774551246,0.12441405040288207,0.25,-0.09311320734263039,"[{""k"": 2, ""partner_k"": 6, ""q_over_pi"": 0.5, ""value"": 0.21752725774551246, ""gap_from_max"": 0.0, ""unique_global_max"": true}]",True
4,0.01,0.8,0.20800112082062652,0.13080931912787078,0.25,-0.07719180169275575,"[{""k"": 2, ""partner_k"": 6, ""q_over_pi"": 0.5, ""value"": 0.20800112082062652, ""gap_from_max"": 0.0, ""unique_global_max"": true}]",True
4,0.01,0.85,0.20035571132001806,0.13573167716449605,0.25,-0.06462403415552201,"[{""k"": 2, ""partner_k"": 6, ""q_over_pi"": 0.5, ""value"": 0.20035571132001806, ""gap_from_max"": 0.0, ""unique_global_max"": true}]",True
4,0.01,0.9,0.19421204105304082,0.139412578188986,0.25,-0.05479946286405482,"[{""k"": 2, ""partner_k"": 6, ""q_over_pi"": 0.5, ""value"": 0.19421204105304082, ""gap_from_max"": 0.0, ""unique_global_max"": true}]",True
4,0.01,0.95,0.18921442823164455,0.1421254879206171,0.25,-0.04708894031102745,"[{""k"": 2, ""partner_k"": 6, ""q_over_pi"": 0.5, ""value"": 0.18921442823164455, ""gap_from_max"": 0.0, ""unique_global_max"": true}]",True
4,0.01,1.0,0.17968147892108355,0.14316313760717825,0.25,-0.0365183413139053,"[{""k"": 2, ""partner_k"": 6, ""q_over_pi"": 0.5, ""value"": 0.17968147892108355, ""gap_from_max"": 0.0, ""unique_global_max"": true}]",False
4,0.01,1.05,0.17639417764379445,0.14381803969891,0.25,-0.03257613794488445,"[{""k"": 2, ""partner_k"": 6, ""q_over_pi"": 0.5, ""value"": 0.17639417764379445, ""gap_from_max"": 0.0, ""unique_global_max"": true}]",False
4,0.01,1.1,0.1735656527921103,0.1442394894075,0.25,-0.029326163384610304,"[{""k"": 2, ""partner_k"": 6, ""q_over_pi"": 0.5, ""value"": 0.1735656527921103, ""gap_from_max"": 0.0, ""unique_global_max"": true}]",False
4,0.01,1.15,0.17108650257307886,0.1444871614582904,0.25,-0.026599341114788455,"[{""k"": 2, ""partner_k"": 6, ""q_over_pi"": 0.5, ""value"": 0.17108650257307886, ""gap_from_max"": 0.0, ""unique_global_max"": true}]",False
4,0.01,1.2,0.16891334982632167,0.14462051864420802,0.25,-0.024292831182113644,"[{""k"": 2, ""partner_k"": 6, ""q_over_pi"": 0.5, ""value"": 0.16891334982632167, ""gap_from_max"": 0.0, ""unique_global_max"": true}]",False
4,0.01,1.25,0.16696607903865127,0.14465655519208892,0.25,-0.022309523846562346,"[{""k"": 2, ""partner_k"": 6, ""q_over_pi"": 0.5, ""value"": 0.16696607903865127, ""gap_from_max"": 0.0, ""unique_global_max"": true}]",False
4,0.01,1.3,0.16521424312258445,0.1446217544731231,0.25,-0.020592488649461366,"[{""k"": 2, ""partner_k"": 6, ""q_over_pi"": 0.5, ""value"": 0.16521424312258445, ""gap_from_max"": 0.0, ""unique_global_max"": true}]",False
4,0.01,1.35,0.16362823716105956,0.14453421888208395,0.25,-0.01909401827897561,"[{""k"": 2, ""partner_k"": 6, ""q_over_pi"": 0.5, ""value"": 0.16362823716105956, ""gap_from_max"": 0.0, ""unique_global_max"": true}]",False
4,0.01,1.4,0.1621800295362288,0.14440322704849143,0.25,-0.01777680248773736,"[{""k"": 2, ""partner_k"": 6, ""q_over_pi"": 0.5, ""value"": 0.1621800295362288, ""gap_from_max"": 0.0, ""unique_global_max"": true}]",False
4,0.01,1.45,0.16084580679048288,0.144237791538613,0.25,-0.01660801525186989,"[{""k"": 2, ""partner_k"": 6, ""q_over_pi"": 0.5, ""value"": 0.16084580679048288, ""gap_from_max"": 0.0, ""unique_global_max"": true}]",False
