kappa,L,p,feature,index,h,height,interval_low,interval_high,step,endpoint,prominence,half_prominence_width,observable_range,coarse_grid_stable,resolved,status,reasons
0.3,6,0.01,mx,39,2.0,0.04573150542156057,1.95,2.0,0.05,True,0.0,,0.14108472626919843,False,False,not_resolved,"[""endpoint_peak"", ""insufficient_derivative_prominence"", ""numerical_floor"", ""coarse_grid_unstable""]"
0.3,6,0.05,order,0,0.05,0.03183455694349746,0.05,0.1,0.05,True,0.0,,0.0071085092288036555,False,False,not_resolved,"[""endpoint_peak"", ""insufficient_observable_range"", ""insufficient_derivative_prominence"", ""numerical_floor"", ""coarse_grid_unstable""]"
0.3,6,0.05,order,4,0.25,-0.003472234423914644,0.2,0.3,0.05,False,0.029826567504204204,0.09880122330758692,0.0071085092288036555,False,False,not_resolved,"[""insufficient_observable_range"", ""coarse_grid_unstable""]"
0.3,6,0.05,order,12,0.65,0.1124675025935229,0.6,0.65,0.05,True,0.0,,0.0071085092288036555,False,False,not_resolved,"[""endpoint_peak"", ""insufficient_observable_range"", ""insufficient_derivative_prominence"", ""numerical_floor"", ""coarse_grid_unstable"", ""unchecked_branch_switch""]"
0.3,6,0.05,order,14,0.75,0.002897144709470112,0.75,0.8,0.05,True,0.0,,0.0019860412988411402,False,False,not_resolved,"[""endpoint_peak"", ""insufficient_observable_range"", ""insufficient_derivative_prominence"", ""numerical_floor"", ""coarse_grid_unstable""]"
0.3,6,0.05,order,39,2.0,0.0013351044779215115,1.95,2.0,0.05,True,0.0,,0.0019860412988411402,False,False,not_resolved,"[""endpoint_peak"", ""insufficient_observable_range"", ""insufficient_derivative_prominence"", ""numerical_floor"", ""coarse_grid_unstable""]"
0.3,6,0.05,mx,0,0.05,0.10627712405657574,0.05,0.1,0.05,True,0.0,,0.03691746476092685,False,False,not_resolved,"[""endpoint_peak"", ""insufficient_derivative_prominence"", ""numerical_floor"", ""coarse_grid_unstable""]"
0.3,6,0.05,mx,3,0.2,0.02403840633046518,0.15,0.25,0.05,False,0.013676027398210947,0.028224415051136598,0.03691746476092685,False,False,not_resolved,"[""insufficient_derivative_prominence"", ""coarse_grid_unstable"", ""unchecked_branch_switch""]"
0.3,6,0.05,mx,6,0.35,0.1597292053964118,0.3,0.4,0.05,False,0.24794473457854802,0.29438243819395965,0.03691746476092685,True,True,resolved,[]
0.3,6,0.05,mx,8,0.45,0.10346045455394765,0.4,0.5,0.05,False,0.00037497405115785587,0.02779458193690596,0.03691746476092685,True,False,not_resolved,"[""insufficient_derivative_prominence""]"
0.3,6,0.05,mx,14,0.75,0.06445402332805006,0.75,0.8,0.05,True,0.0,,0.02903677667530103,False,False,not_resolved,"[""endpoint_peak"", ""insufficient_derivative_prominence"", ""numerical_floor"", ""coarse_grid_unstable""]"
0.3,6,0.05,mx,39,2.0,0.014439856909164384,1.95,2.0,0.05,True,0.0,,0.02903677667530103,False,False,not_resolved,"[""endpoint_peak"", ""insufficient_derivative_prominence"", ""numerical_floor"", ""coarse_grid_unstable""]"
0.8,4,0,order,8,0.45,0.35222192856931045,0.4,0.45,0.05,True,0.0,,0.05213775637880341,False,False,not_resolved,"[""endpoint_peak"", ""insufficient_derivative_prominence"", ""numerical_floor"", ""coarse_grid_unstable""]"
0.8,4,0,order,19,1.0,0.11421982382138962,1.0,1.05,0.05,True,0.0,,0.04657535649083361,False,False,not_resolved,"[""endpoint_peak"", ""insufficient_derivative_prominence"", ""numerical_floor"", ""coarse_grid_unstable""]"
0.8,4,0,mx,8,0.45,1.2654993995293164,0.4,0.45,0.05,True,0.0,,0.34258445569701373,False,False,not_resolved,"[""endpoint_peak"", ""insufficient_derivative_prominence"", ""numerical_floor"", ""coarse_grid_unstable""]"
0.8,4,0,mx,19,1.0,0.21574423358956807,1.0,1.05,0.05,True,0.0,,0.097889891013615,False,False,not_resolved,"[""endpoint_peak"", ""insufficient_derivative_prominence"", ""numerical_floor"", ""coarse_grid_unstable""]"
0.8,4,0.01,order,8,0.45,0.20664369031149477,0.4,0.45,0.05,True,0.0,,0.03211540665399415,False,False,not_resolved,"[""endpoint_peak"", ""insufficient_derivative_prominence"", ""numerical_floor"", ""coarse_grid_unstable""]"
0.8,4,0.01,order,20,1.05,0.06006424336021032,1.05,1.1,0.05,True,0.0,,0.025298776860556538,False,False,not_resolved,"[""endpoint_peak"", ""insufficient_derivative_prominence"", ""numerical_floor"", ""coarse_grid_unstable""]"
0.8,4,0.01,mx,8,0.45,0.7754761598512303,0.4,0.45,0.05,True,0.0,,0.2118392312097212,False,False,not_resolved,"[""endpoint_peak"", ""insufficient_derivative_prominence"", ""numerical_floor"", ""coarse_grid_unstable""]"
0.8,4,0.01,mx,20,1.05,0.13042385915739807,1.05,1.1,0.05,True,0.0,,0.0653116046120964,False,False,not_resolved,"[""endpoint_peak"", ""insufficient_derivative_prominence"", ""numerical_floor"", ""coarse_grid_unstable""]"
0.8,4,0.01,mx,30,1.55,0.06022084661285909,1.5,1.6,0.05,False,0.00026387188377796633,0.02606038461025824,0.0653116046120964,False,False,not_resolved,"[""insufficient_derivative_prominence"", ""coarse_grid_unstable""]"
0.8,4,0.01,mx,33,1.7,0.056734524124157026,1.65,1.75,0.05,False,0.00718451997374725,0.04139951206096262,0.0653116046120964,False,False,not_resolved,"[""insufficient_derivative_prominence"", ""coarse_grid_unstable""]"
0.8,4,0.01,mx,36,1.85,0.04764194465664673,1.8,1.9,0.05,False,0.0052701681170086445,0.09768900268373333,0.0653116046120964,False,False,not_resolved,"[""insufficient_derivative_prominence"", ""coarse_grid_unstable""]"
0.8,4,0.05,order,8,0.45,0.02316692379194052,0.4,0.45,0.05,True,0.0,,0.0034229821785247694,False,False,not_resolved,"[""endpoint_peak"", ""insufficient_observable_range"", ""insufficient_derivative_prominence"", ""numerical_floor"", ""coarse_grid_unstable""]"
