task,n,kappa,h,region,method,seed,candidate_pool_exists,search_seconds_standalone,search_nfev,search_pool_gradient_evaluations,state_energy_residual,energy_variance,parity_real,parity_imag,translation_real,translation_imag,energy,ed_energy,delta_e,epsilon_c,epsilon_sf,epsilon_mx,fidelity,observable_pass,state_pass,joint_pass,reference_numerical_ambiguous,ed_source,basis,reference,source_stop,optimizer_success,reported_optimizer_success,optimization_applicable,candidate_exists,parameter_count,gate_count,pool_gradient_evaluations,cnots,depth,nfev,seconds,source
low_map,8,0.4,0.125,low_field,B3,631,True,7.535597041016445,20500,6960,0.014645121917001819,0.00021447959596384702,0.9999999999999998,0.0,0.9999896467128051,0.0,-4.8532177313795115,-4.853479603635759,3.27340320309677e-05,0.0015249127693036657,0.0010422306409206827,0.0017115207564065982,0.9994525372151971,True,True,True,False,results/stage6_v1/reference_atlas/cache/6a080758697dafd2991a6dd3f464356b6116d0678c0c31998edcdf740ea47091.npz,physical,ghz,budget,True,True,True,True,20,140,2064,63,58,6344,1.9421474580303766,results/stage6_v1/legacy_b3/adaptive/cache/9f9523544a26a0a3320762d6eb6f694852c314953da4fa7fc2a8b90c0bb3f174.npz
low_map,8,0.4,0.15,low_field,C0,631,True,8.711158417980187,22371,7104,0.004482361098551177,2.009156101780491e-05,0.9999999999999984,0.0,0.9999996137543097,0.0,-4.8781847688075235,-4.8781904734528885,7.13080670622368e-07,7.172162329260878e-05,4.259611584056522e-05,4.1936758857136214e-05,0.9999981088487854,True,True,True,False,results/stage6_v1/reference_atlas/cache/b77df57a7dd633ff7e78153ac0c0318201ffdb86066899a92baa57fc534c8a24.npz,physical,plus,budget,True,True,True,True,53,317,2544,128,134,8864,3.670809499977622,results/stage6_v1/domain_wall_candidates/cache/a1d4b1c0456a563b357bdbac2b83743e8f3eb0c357c0857cb051e346312273ac.npz
low_map,8,0.4,0.15,low_field,H6,631,True,75.62458512495505,137967,29187,0.005951087751259837,3.541544542319487e-05,1.000000000000002,0.0,0.9999985425893042,0.0,-4.878181985456759,-4.8781904734528885,1.0609995161336983e-06,6.583471752574788e-05,4.3994845506767355e-05,5.348696341567205e-05,0.999997713635082,True,True,True,False,results/stage6_v1/reference_atlas/cache/b77df57a7dd633ff7e78153ac0c0318201ffdb86066899a92baa57fc534c8a24.npz,wall,alternating,parameter_cap160,True,True,True,True,56,331,8160,95,160,44138,25.99580395797966,results/stage6_v1/domain_wall_candidates/cache/0ca6ec456382a6a1a35e49cc920e1be89eb607f7c2be3a78b871d02f85f3cc8c.npz
low_map,8,0.4,0.15,low_field,B3,631,True,8.223234458011575,21687,7104,0.027032389596147677,0.0007307500872779131,0.9999999999999989,0.0,0.9996859334579338,0.0,-4.877621809378974,-4.8781904734528885,7.108300923930333e-05,0.003896930654701869,0.0026066621603069162,0.0032711830669067687,0.9989454354269002,True,True,True,False,results/stage6_v1/reference_atlas/cache/b77df57a7dd633ff7e78153ac0c0318201ffdb86066899a92baa57fc534c8a24.npz,physical,plus,budget,True,True,True,True,27,163,2544,64,72,8317,3.236541541002225,results/stage6_v1/legacy_b3/adaptive/cache/bf1dcfa2eea4766085ac76e754f56a5f71b54b081b668f43b33e5c3fd43d6256.npz
low_map,8,0.4,0.2,low_field,C0,631,True,5.677851250045933,17035,7200,0.009541499897816861,9.104022030003917e-05,0.9999999999999964,0.0,0.9999981322176021,0.0,-4.9477859577335295,-4.9478125665049655,3.326096429501213e-06,0.00030921587177634713,0.00015266405706615416,2.2571549044558825e-05,0.9999893414983541,True,True,True,False,results/stage6_v1/reference_atlas/cache/f47ce09bf902253acf87bd98b1cd1a86b960e7e40e85518ac7e4f49c5fc2c3ea.npz,physical,plus,budget,False,False,True,True,55,319,2640,128,129,7702,2.7564197500469163,results/stage6_v1/domain_wall_candidates/cache/e97e1a4d36be7f5648b5aa34274d9a5eaf2998220040160638426e0d50e43e5a.npz
low_map,8,0.4,0.2,low_field,H6,631,True,58.608920584083535,113692,26580,0.005847190283008161,3.4189634205705057e-05,1.0000000000000004,0.0,0.9999980119386421,0.0,-4.947804911288955,-4.9478125665049655,9.569020013033835e-07,8.479622890011917e-05,4.846381978940162e-05,7.9479476930433e-06,0.9999977454575402,True,True,True,False,results/stage6_v1/reference_atlas/cache/f47ce09bf902253acf87bd98b1cd1a86b960e7e40e85518ac7e4f49c5fc2c3ea.npz,wall,alternating,energy_stagnation,True,True,True,True,107,522,5457,127,235,34976,16.989492500026245,results/stage6_v1/domain_wall_candidates/cache/5751768758a4e28fd4af4d62b48fb3e9e187b97240777b3b5c68c3c31b10de59.npz
low_map,8,0.4,0.2,low_field,B3,631,True,5.970268916047644,15839,7104,0.031270623396144025,0.0009778518875834701,0.9999999999999998,0.0,0.9998490954578523,0.0,-4.947508633549994,-4.9478125665049655,3.799161937145801e-05,0.0067453041866436525,0.0036708388000439296,0.0013068949064597712,0.9997143484517361,True,True,True,False,results/stage6_v1/reference_atlas/cache/f47ce09bf902253acf87bd98b1cd1a86b960e7e40e85518ac7e4f49c5fc2c3ea.npz,physical,antiphase,budget,True,True,True,True,38,232,2448,96,95,5682,2.2623017500154674,results/stage6_v1/legacy_b3/adaptive/cache/fc3c191ec0fd869f3b639a3e7fda993fa00fd677d37f8c34902045149da80ee1.npz
low_map,8,0.4,0.25,low_field,C0,631,True,6.392492874059826,18812,7632,0.03327041037776233,0.0011069202067047154,0.9999999999999977,0.0,0.9999510514603596,0.0,-5.073336828470087,-5.073684799767517,4.349641217882283e-05,0.021878821842786,0.01185671163331703,0.00394272560557285,0.9996182411287444,False,True,False,False,results/stage6_v1/reference_atlas/cache/6c8478fa93d3e00da2234ee294a6449cded4ee9109e641b60613e700430b2571.npz,physical,plus,budget,False,False,True,True,57,321,2736,128,138,8084,2.872686375048943,results/stage6_v1/domain_wall_candidates/cache/39685dd250daee5e060575821496dbaf86e4dd2f3ffc7d7bdac442a6d7af3fa4.npz
low_map,8,0.4,0.25,low_field,H6,631,True,79.78237570804777,139323,29562,0.012739682391602457,0.0001622995074389057,0.9999999999999994,0.0,0.9999889906977684,0.0,-5.073651219896599,-5.073684799767517,4.197483864820661e-06,0.0019448062951391565,0.0010857966394181018,0.0003869389666388279,0.9999874980671305,True,True,True,False,results/stage6_v1/reference_atlas/cache/6c8478fa93d3e00da2234ee294a6449cded4ee9109e641b60613e700430b2571.npz,wall,alternating,parameter_cap160,True,True,True,True,160,685,8160,127,301,47327,30.30563116702251,results/stage6_v1/domain_wall_candidates/cache/c177958becbac7219196a2d222a45a01f91ef71dd6a1f371de993116a573a2a5.npz
low_map,8,0.4,0.25,low_field,B3,631,True,10.891526001039892,26983,7584,0.038612808325123295,0.0014909489667527108,1.000000000000001,0.0,0.999882656153118,0.0,-5.073155800873728,-5.073684799767517,6.612486172363763e-05,0.03146780153336515,0.017092480730011683,0.005814492841488883,0.9992760708497714,False,True,False,False,results/stage6_v1/reference_atlas/cache/6c8478fa93d3e00da2234ee294a6449cded4ee9109e641b60613e700430b2571.npz,physical,ghz,budget,True,True,True,True,47,295,2256,127,112,5633,1.9044619590276852,results/stage6_v1/legacy_b3/adaptive/cache/30b80e050a1d03ec37255342538157dfb8f0d80764ea17d5f76387c0f43aec63.npz
