task,n,kappa,h,method,region,joint_pass,observable_pass,state_pass,candidate_checkpoint_exists,all_saved_growth_or_probe_exists,random_restart_runs,random_restart_pass,warm_continuations,warm_pass,oracle_runs,oracle_pass,actual_stop,cnots,delta_e,fidelity,tags,source
development,8,0.3,1.2,C1,interior_control,True,True,True,True,,0,0,0,0,0,0,budget,128,2.50667442869279e-06,0.9999978673022207,selected_pass,results/stage6_v1/domain_wall_candidates/cache/e1bbeee6d23346017426da278bf574c613be2d177becdad59c789e88ea725bfb.npz
development,8,0.3,1.2,C2,interior_control,True,True,True,True,,0,0,0,0,0,0,parameter_cap160,127,1.4533665408933416e-05,0.9999873378202467,selected_pass,results/stage6_v1/domain_wall_candidates/cache/e9ee47c9486b0534fba81963d9c69ecb8e90e877d254966a7221a727b29270ec.npz
development,8,0.3,1.2,C3,interior_control,True,True,True,True,,3,3,1,1,0,0,parameter_cap160,127,1.085545916823527e-05,0.9999926824820425,selected_pass,results/stage6_v1/domain_wall_candidates/cache/8c6513f4940c487dbdeb6fd8bd710fbb642fccafb36d0c4c1bdb327bc2924a97.npz
development,8,0.3,1.2,H6,interior_control,True,True,True,True,,0,0,0,0,0,0,budget,127,3.3742451266416396e-06,0.9999973561920951,selected_pass,results/stage6_v1/domain_wall_candidates/cache/f716c0c5be2d9be3187d499becd98e7428d7e1a0c6615f1e7c8ffa58a0ccd992.npz
development,8,0.3,1.2,B3,interior_control,True,True,True,True,,3,3,1,1,0,0,budget,64,6.192232928881047e-05,0.9999297764817718,selected_pass,results/stage6_v1/legacy_b3/adaptive/cache/371197ca76b6f14318eb17299991ff9dff35cd74e18e670280b825de8bca8e0e.npz
development,8,0.4,0.3,C0,difficult,False,False,True,False,False,0,0,0,0,0,0,budget,128,0.0003705114904822837,0.9980196548602907,recorded_resource_cap_reached,results/stage6_v1/domain_wall_candidates/cache/cff750c119713292ea76285ff6f873b375c76947ba778e33beac17e62b688077.npz
development,8,0.4,0.3,C1,difficult,False,False,True,False,False,0,0,0,0,0,0,budget,128,0.0003813666920122749,0.9959058481344868,recorded_resource_cap_reached,results/stage6_v1/domain_wall_candidates/cache/5ae95a3602ce113b4cbcc9a4956fe5e3fcd8ce26d2890b1463572e0e50172aae.npz
development,8,0.4,0.3,C2,difficult,True,True,True,True,True,0,0,0,0,0,0,energy_stagnation,127,2.7851079188012662e-05,0.9999440535684545,selected_pass,results/stage6_v1/domain_wall_candidates/cache/b890a8aeca093cb4d5979f90377ba4332d9e4da273e41a6fb7f405e8daffa199.npz
development,8,0.4,0.3,C3,difficult,True,True,True,True,True,3,0,1,1,0,0,energy_stagnation,127,2.869016033024696e-05,0.9999386457399437,selected_pass,results/stage6_v1/domain_wall_candidates/cache/1e5e8163f5cb10529e7cd23c65f95495104e6ea7ae0399c0e29d5fc654278a2b.npz
development,8,0.4,0.3,H6,difficult,True,True,True,True,,0,0,0,0,0,0,energy_stagnation,127,2.869016033024696e-05,0.9999386457399437,selected_pass,results/stage6_v1/domain_wall_candidates/cache/1e5e8163f5cb10529e7cd23c65f95495104e6ea7ae0399c0e29d5fc654278a2b.npz
development,8,0.4,0.3,B3,difficult,False,False,True,False,,3,0,1,0,0,0,budget,128,0.0003017555730056021,0.9979443015437199,recorded_resource_cap_reached,results/stage6_v1/legacy_b3/adaptive/cache/0b28a3e12d9da708010db61ac43331f377a7b3833da66824445e9ccb8e722b03.npz
development,8,0.4,1.8,C0,interior_control,True,True,True,True,,0,0,0,0,0,0,budget,127,1.9638321004933346e-06,0.9999989457050925,selected_pass,results/stage6_v1/domain_wall_candidates/cache/5787612e50d31e00eb7dd5dbf2a1b6faf60300d98dd1c8fc91751d60aee76329.npz
development,8,0.4,1.8,C1,interior_control,True,True,True,True,,0,0,0,0,0,0,budget,127,2.147118381090607e-06,0.9999988391311604,selected_pass,results/stage6_v1/domain_wall_candidates/cache/5ef811bb1bf803c541eab8786b22c07d8072b40aa16c86f36a21cda4f4d2c457.npz
development,8,0.4,1.8,C2,interior_control,True,True,True,True,,0,0,0,0,0,0,energy_stagnation,127,1.2058755482380334e-05,0.9999937286419905,selected_pass,results/stage6_v1/domain_wall_candidates/cache/5e5d19e83f30753ecdd288eeb72f2d4b83b8226a36b6cfbb839404675af2f7c8.npz
development,8,0.4,1.8,C3,interior_control,True,True,True,True,,3,3,1,1,0,0,parameter_cap160,127,6.5266583746392826e-06,0.9999964850683467,selected_pass,results/stage6_v1/domain_wall_candidates/cache/497c63687e43852577ce10e4556b639ad421348f91f931c8d884e3448aa575ff.npz
development,8,0.4,1.8,H6,interior_control,True,True,True,True,,0,0,0,0,0,0,budget,127,1.9638321004933346e-06,0.9999989457050925,selected_pass,results/stage6_v1/domain_wall_candidates/cache/5787612e50d31e00eb7dd5dbf2a1b6faf60300d98dd1c8fc91751d60aee76329.npz
development,8,0.4,1.8,B3,interior_control,True,True,True,True,,3,3,1,1,0,0,budget,95,1.9027791139381023e-05,0.9999893198844357,selected_pass,results/stage6_v1/legacy_b3/adaptive/cache/12c3ad171a5e8c97c2ffc599ea7cf241714476c2c4a0a2fbb0d90bf51ad75b62.npz
development,8,0.425,0.02,C0,difficult,True,True,True,True,True,0,0,0,0,0,0,budget,63,2.345437288830965e-09,0.9999999847683406,selected_pass,results/stage6_v1/domain_wall_candidates/cache/bdffb14f92d73fa4caaf5b35668b9d5adb2ee5b0c20f891c2875b401ba7190e9.npz
development,8,0.425,0.02,C1,difficult,True,True,True,True,True,0,0,0,0,0,0,energy_stagnation,63,2.2792701059870524e-09,0.999999985024634,selected_pass,results/stage6_v1/domain_wall_candidates/cache/73f6c514fbdc58caf2f5ff4d47572bfdf57ed7d537717337efa89f917a4d9988.npz
development,8,0.425,0.02,C2,difficult,True,True,True,True,True,0,0,0,0,0,0,energy_stagnation,35,2.174419722056342e-08,0.9999997321727696,selected_pass,results/stage6_v1/domain_wall_candidates/cache/aa4102407a07f7c091e6716bffb60c5fd461e727d36c87f9d6a461dd9815ce72.npz
development,8,0.425,0.02,C3,difficult,True,True,True,True,True,3,3,1,1,1,1,energy_stagnation,53,2.1364561120229553e-08,0.9999997371438751,selected_pass,results/stage6_v1/domain_wall_candidates/cache/cccfb5907819479fefd2703da0a15af8d78f44a4e1d5b1b0cf25d09f1d4fdc3f.npz
development,8,0.425,0.02,H6,difficult,True,True,True,True,,0,0,0,0,0,0,energy_stagnation,53,2.1364561120229553e-08,0.9999997371438751,selected_pass,results/stage6_v1/domain_wall_candidates/cache/cccfb5907819479fefd2703da0a15af8d78f44a4e1d5b1b0cf25d09f1d4fdc3f.npz
development,8,0.425,0.02,B3,difficult,True,True,True,True,,3,3,1,1,1,1,pool_gradient,15,8.711855176446459e-05,0.9996944718554711,selected_pass,results/stage6_v1/legacy_b3/adaptive/cache/c7ff8fceddac51fff9e996a7584ce40e62160b9816487046bf8ae91b5c1f9d22.npz
development,8,0.45,0.035,C0,difficult,True,True,True,True,True,0,0,0,0,0,0,budget,63,1.250012425790814e-07,0.9999973821564825,selected_pass,results/stage6_v1/domain_wall_candidates/cache/db92d7935c531cbfe0e11cef7f6ca95693c301647ba9712ab777a61ddc8ce5fe.npz
development,8,0.45,0.035,C1,difficult,True,True,True,True,True,0,0,0,0,0,0,budget,63,1.2470118559981813e-07,0.9999973898273404,selected_pass,results/stage6_v1/domain_wall_candidates/cache/58f59b1bff1ae92bbd1c8403e8d145d964b820026fd8f7ca374919f0bc03c45c.npz
development,8,0.45,0.035,C2,difficult,True,True,True,True,True,0,0,0,0,0,0,energy_stagnation,63,3.707251271523049e-07,0.9999926359654688,selected_pass,results/stage6_v1/domain_wall_candidates/cache/20676f6f440e2e3a7da23581870ae2b7f834be29a44a2c0c9fd44898b5371f6f.npz
development,8,0.45,0.035,C3,difficult,True,True,True,True,True,3,3,1,1,1,1,parameter_cap160,63,3.6691618976458784e-07,0.9999927256511697,selected_pass,results/stage6_v1/domain_wall_candidates/cache/eab99827040274dcec734e16ab9e5e2729b649cd3e6122c046f4ad3d68dd80e3.npz
development,8,0.45,0.035,H6,difficult,True,True,True,True,,0,0,0,0,0,0,budget,63,1.250012425790814e-07,0.9999973821564825,selected_pass,results/stage6_v1/domain_wall_candidates/cache/db92d7935c531cbfe0e11cef7f6ca95693c301647ba9712ab777a61ddc8ce5fe.npz
development,8,0.45,0.035,B3,difficult,True,True,True,True,,3,3,1,1,1,1,pool_gradient,31,2.0588936380239176e-06,0.9999561672723738,selected_pass,results/stage6_v1/legacy_b3/adaptive/cache/a929b0b4376e2c5c648e514cdb3a26bc34210da78050d4551a3198d45f9522bc.npz
development,8,0.45,0.15,C0,difficult,False,False,False,False,False,0,0,0,0,0,0,budget,128,0.0012893950740672233,0.9575945044401405,recorded_resource_cap_reached,results/stage6_v1/domain_wall_candidates/cache/b46bfa1162fe36c6690ab2d2829c8b65e2c1dee76ce576dfff1c995bceeb7994.npz
development,8,0.45,0.15,C1,difficult,False,False,False,False,False,0,0,0,0,0,0,budget,128,0.0009968225493155458,0.9799369257450409,recorded_resource_cap_reached,results/stage6_v1/domain_wall_candidates/cache/16b0fb8fb8277137e534f6c575b538d93bfb13d7be00202ca28607434630579a.npz
development,8,0.45,0.15,C2,difficult,True,True,True,True,True,0,0,0,0,0,0,parameter_cap160,127,0.00015574266046958218,0.998469046253058,selected_pass,results/stage6_v1/domain_wall_candidates/cache/449d0157b2b4c5bc634816cfa9e65d41012ec232583cb459b337862d769ed642.npz
development,8,0.45,0.15,C3,difficult,True,True,True,True,True,3,0,1,1,1,1,parameter_cap160,127,0.00011285496383195426,0.9993367810405354,selected_pass,results/stage6_v1/domain_wall_candidates/cache/31f888a6e4b11441c073800d1fb7a7ccb13bf58b4b50553c2b338407452256e2.npz
development,8,0.45,0.15,H6,difficult,True,True,True,True,,0,0,0,0,0,0,parameter_cap160,127,0.00011285496383195426,0.9993367810405354,selected_pass,results/stage6_v1/domain_wall_candidates/cache/31f888a6e4b11441c073800d1fb7a7ccb13bf58b4b50553c2b338407452256e2.npz
development,8,0.45,0.15,B3,difficult,False,False,False,False,,3,0,1,0,1,0,budget,128,0.0009592287935192845,0.9878960840639217,bounded_oracle_failed_not_mathematical_inexpressivity;recorded_resource_cap_reached,results/stage6_v1/legacy_b3/adaptive/cache/c26ffa28c2856b50aa2303150ba77d3b3ff4bc89b9d7c81f485405c1c8b98717.npz
development,8,0.45,0.2,C0,difficult,True,True,True,True,True,0,0,0,0,0,0,budget,128,0.0005256176323672479,0.9984906293528778,selected_pass,results/stage6_v1/domain_wall_candidates/cache/2aa15a41944b4eda69c5c77788991e547102fccb3b5eb277750cf70c8df6b51c.npz
development,8,0.45,0.2,C1,difficult,False,False,True,True,True,0,0,0,0,0,0,budget,128,0.0005623663818946634,0.9968656089426368,qualified_checkpoint_candidate_found_but_not_selected;recorded_resource_cap_reached,results/stage6_v1/domain_wall_candidates/cache/2a7d9c7187136fc67ed6b4081b6ebd7381c85cca4790a906239a160e6f0d751c.npz
development,8,0.45,0.2,C2,difficult,True,True,True,True,True,0,0,0,0,0,0,parameter_cap160,127,5.99857196211806e-05,0.9997617433916559,selected_pass,results/stage6_v1/domain_wall_candidates/cache/40f0cb85df0cbf3abbea6ad25218461f8d295014b633d1b507d126b2ef93dafa.npz
development,8,0.45,0.2,C3,difficult,True,True,True,True,True,3,1,1,1,0,0,parameter_cap160,127,0.00012226612733712283,0.9993159168401843,selected_pass,results/stage6_v1/domain_wall_candidates/cache/f876f7f35045a4dbedfb5ed39cb3e3512a4602c644c1dfe979859f8f23d09a24.npz
development,8,0.45,0.2,H6,difficult,True,True,True,True,,0,0,0,0,0,0,parameter_cap160,127,0.00012226612733712283,0.9993159168401843,selected_pass,results/stage6_v1/domain_wall_candidates/cache/f876f7f35045a4dbedfb5ed39cb3e3512a4602c644c1dfe979859f8f23d09a24.npz
development,8,0.45,0.2,B3,difficult,False,False,True,False,,3,0,1,0,0,0,budget,128,0.0005522581397502391,0.9973301675348822,recorded_resource_cap_reached,results/stage6_v1/legacy_b3/adaptive/cache/3f9b1fdd0c7e12f557a81930bdbf0c141514c7dbe820f2495fa1f1379912602d.npz
development,8,0.475,0.05,C0,difficult,True,True,True,True,True,0,0,0,0,0,0,budget,128,2.9490817343713616e-08,0.9999991990502518,selected_pass,results/stage6_v1/domain_wall_candidates/cache/42038ef6ec8c8d668f45162026361d88cd25b438dbe0bad9c9809bbe349993d3.npz
development,8,0.475,0.05,C1,difficult,True,True,True,True,True,0,0,0,0,0,0,budget,96,4.6490787397601707e-07,0.9999894907237662,selected_pass,results/stage6_v1/domain_wall_candidates/cache/5dac847d3f83076af1587d8638540405cf1f81a9e62df3ebb15570a0ef83336c.npz
