task,n,kappa,h,region,method,seed,candidate_pool_exists,search_seconds_standalone,search_nfev,search_pool_gradient_evaluations,state_energy_residual,energy_variance,parity_real,parity_imag,translation_real,translation_imag,energy,ed_energy,delta_e,epsilon_c,epsilon_sf,epsilon_mx,fidelity,observable_pass,state_pass,joint_pass,reference_numerical_ambiguous,ed_source,basis,reference,source_stop,optimizer_success,reported_optimizer_success,optimization_applicable,candidate_exists,parameter_count,gate_count,pool_gradient_evaluations,cnots,depth,nfev,seconds,source
development,8,0.2,1.5,interior_control,C2,101,True,42.07612683298066,70947,21624,0.01506249176782181,0.0002268786582556998,0.9999999999999993,0.0,0.9999979338764654,0.0,-13.18060760875232,-13.180627568492037,2.494967464627962e-06,0.00030904230759623477,0.00010475307351259788,4.57067303594183e-06,0.9999979659367165,True,True,True,False,results/stage6_v1/reference_atlas/cache/ec5a0372ce326374f1cf62d57f98ab534ac5867d3dd28b9a871ca302e107bc27.npz,wall,empty,energy_stagnation,True,True,True,True,131,561,6681,127,232,24731,14.366560124966782,results/stage6_v1/domain_wall_candidates/cache/f4afb305a3c2ac31afa239314961748122963ea82b6e16034ecc64be07c06385.npz
development,8,0.2,1.5,interior_control,C3,101,True,75.24904916709056,118423,24480,0.005700488291699227,3.2495566763799974e-05,0.9999999999999992,0.0,0.9999998415345992,0.0,-13.180625273586429,-13.180627568492037,2.868632009711547e-07,4.524832110144178e-05,1.741778248992576e-05,4.2553323587046776e-07,0.9999998196199783,True,True,True,False,results/stage6_v1/reference_atlas/cache/ec5a0372ce326374f1cf62d57f98ab534ac5867d3dd28b9a871ca302e107bc27.npz,wall,uniform,parameter_cap160,True,True,True,True,160,665,8160,127,294,40448,25.555641292012297,results/stage6_v1/domain_wall_candidates/cache/948c4555b327117de66432c120536f95abe63816c078c374b5121b5a02b4a41f.npz
development,8,0.2,1.5,interior_control,H6,101,True,8.631932166987099,21878,7632,0.009592205276230585,9.201040206134587e-05,1.0000000000000009,0.0,0.9999994968463859,0.0,-13.180620057081835,-13.180627568492037,9.389262751735572e-07,0.00034285418335393714,9.683020014683574e-05,7.387927035695796e-07,0.9999993071745498,True,True,True,False,results/stage6_v1/reference_atlas/cache/ec5a0372ce326374f1cf62d57f98ab534ac5867d3dd28b9a871ca302e107bc27.npz,physical,ghz,budget,True,True,True,True,38,222,2448,95,88,7329,2.6465944169904105,results/stage6_v1/domain_wall_candidates/cache/c6e9ed313c765a47739c14adf1d67c5915876063cb51325ae911351927b0b1d2.npz
development,8,0.2,1.5,interior_control,B3,101,True,9.289196625060868,20741,7152,0.023081995982926356,0.0005327785385558284,0.9999999999999997,0.0,0.9999966175100808,0.0,-13.180573899999056,-13.180627568492037,6.708561622659204e-06,0.0018236103562963655,0.0005681614071435526,2.636840748970748e-06,0.999992911227421,True,True,True,False,results/stage6_v1/reference_atlas/cache/ec5a0372ce326374f1cf62d57f98ab534ac5867d3dd28b9a871ca302e107bc27.npz,physical,ghz,energy_stagnation,True,True,True,True,28,148,2112,63,55,4575,1.6603489580447786,results/stage6_v1/legacy_b3/adaptive/cache/7a1923d3e7ac0d465880efba602a2a0037176202be657bc401eef755b8bcf36b.npz
development,8,0.3,0.1,interior_control,C0,101,True,2.5595248739700764,7557,6384,0.004050998769265993,1.641059102859459e-05,1.0000000000000004,0.0,0.9999997443270643,0.0,-5.628700496156004,-5.628706732783388,7.795784230379965e-07,1.375503629530428e-05,1.0263767177720595e-05,4.3843256322034785e-05,0.9999964314826225,True,True,True,False,results/stage6_v1/reference_atlas/cache/dbd4ddf59c09944de686fc53c233148cdd5e89385cae6837c2b41be8e9d02b1c.npz,physical,ghz,budget,True,True,True,True,20,140,2016,63,74,2968,0.9454215000150725,results/stage6_v1/domain_wall_candidates/cache/c80c87f0ff2d6835ec8293d048de39cf854992f1befdca6514131335c0631508.npz
development,8,0.3,0.1,interior_control,C1,101,True,4.888104000070598,17294,6480,0.0040467639187955285,1.6376298214465343e-05,1.0000000000000004,0.0,0.9999997336888807,0.0,-5.628700502506331,-5.628706732783388,7.78784632116114e-07,1.3708665345557591e-05,1.0229971285302675e-05,4.382583956957786e-05,0.9999964343279025,True,True,True,False,results/stage6_v1/reference_atlas/cache/dbd4ddf59c09944de686fc53c233148cdd5e89385cae6837c2b41be8e9d02b1c.npz,physical,ghz,budget,True,True,True,True,20,140,1968,63,81,5751,1.538280249980744,results/stage6_v1/domain_wall_candidates/cache/9b8592cd7b0f23795f7bdd187eb3f6015ab1cc7b0101e7362d555c1079802480.npz
development,8,0.3,0.1,interior_control,C2,101,True,37.135316957952455,59341,24480,0.004245690086473068,1.802588431037569e-05,0.9999999999999996,0.0,0.9999996040175008,0.0,-5.628703719603122,-5.628706732783388,3.7664753327337763e-07,5.441874628253629e-06,3.5495241779148756e-06,1.659611903657987e-05,0.9999993935086606,True,True,True,False,results/stage6_v1/reference_atlas/cache/dbd4ddf59c09944de686fc53c233148cdd5e89385cae6837c2b41be8e9d02b1c.npz,wall,uniform,parameter_cap160,False,False,True,True,37,222,8160,63,94,14051,8.732487957982812,results/stage6_v1/domain_wall_candidates/cache/107dad4503a92890f66119da6f2fc8c483640592176baf939948f51b4a627b58.npz
development,8,0.3,0.1,interior_control,C3,101,True,54.1848985820543,85477,22695,0.0039252569002685,1.540764173310547e-05,0.9999999999999989,0.0,0.9999995926364271,0.0,-5.628704074611556,-5.628706732783388,3.3227147899772547e-07,4.827366246962228e-06,3.1767051495990017e-06,1.5485830545516888e-05,0.9999994208834432,True,True,True,False,results/stage6_v1/reference_atlas/cache/dbd4ddf59c09944de686fc53c233148cdd5e89385cae6837c2b41be8e9d02b1c.npz,wall,uniform,parameter_cap160,True,True,True,True,36,219,8160,63,90,29053,19.65812062501209,results/stage6_v1/domain_wall_candidates/cache/12182a2464bad0a02bdb9c1e54ae8914653166c8be98f626b9dcc264e17adc75.npz
development,8,0.3,0.1,interior_control,H6,101,True,2.5595248739700764,7557,6384,0.004050998769265993,1.641059102859459e-05,1.0000000000000004,0.0,0.9999997443270643,0.0,-5.628700496156004,-5.628706732783388,7.795784230379965e-07,1.375503629530428e-05,1.0263767177720595e-05,4.3843256322034785e-05,0.9999964314826225,True,True,True,False,results/stage6_v1/reference_atlas/cache/dbd4ddf59c09944de686fc53c233148cdd5e89385cae6837c2b41be8e9d02b1c.npz,physical,ghz,budget,True,True,True,True,20,140,2016,63,74,2968,0.9454215000150725,results/stage6_v1/domain_wall_candidates/cache/c80c87f0ff2d6835ec8293d048de39cf854992f1befdca6514131335c0631508.npz
development,8,0.3,0.1,interior_control,B3,101,True,1.9295385830337182,5283,5568,0.013283577123215,0.00017645342118840091,1.0000000000000004,0.0,0.9999802340468751,0.0,-5.628602968881573,-5.628706732783388,1.2970487726859936e-05,0.00014331871587658362,0.00011007720093214601,0.0005278516861515481,0.9999333599379086,True,True,True,False,results/stage6_v1/reference_atlas/cache/dbd4ddf59c09944de686fc53c233148cdd5e89385cae6837c2b41be8e9d02b1c.npz,physical,ghz,pool_gradient,True,True,True,True,10,66,1824,31,31,2255,0.7467663330025971,results/stage6_v1/legacy_b3/adaptive/cache/fa3e99e5ea3e9fa71bb798075fa28ea9ad8d266b8c4b5645f152e6c2df582a08.npz
