method,kappa,h,p,new_pass,old_pass,common_pass,new_cnots,old_cnots,epsilon_c_new,epsilon_c_old,epsilon_sf_new,epsilon_sf_old,epsilon_mx_new,epsilon_mx_old
B3,0.25,0.1,0,True,True,True,31,192,7.431159919324415e-05,2.5498946820690094e-07,5.671999824308216e-05,8.21672168083154e-08,0.0003144392606527907,7.236058953002944e-07
B3,0.25,0.2,0,True,True,True,63,192,0.00036830960359124365,1.26790089249873e-06,0.000267072476734187,4.070616431706142e-07,0.000687599609172862,1.33821690950775e-07
B3,0.25,0.3,0,True,True,True,95,192,0.0018065790042702812,3.2757937739824605e-05,0.0011989178654743249,1.1372089566474841e-05,0.0017088743624867897,8.976782831293662e-06
B3,0.25,0.4,0,True,True,True,127,192,0.002244478359894053,0.0002496544706384052,0.0013323159597979917,9.219571723295683e-05,0.0012631229053812199,4.688740023028881e-05
B3,0.25,0.5,0,True,True,True,96,192,0.0007334159690612907,0.00041034213969193267,0.00043355552629209537,0.00014078926307270478,0.0002943852906601152,2.2857768146422597e-05
B3,0.25,0.6,0,True,True,True,96,192,0.003751767357164093,0.00010736070932182429,0.0016635478209852117,7.071233449917891e-05,0.0005256029388672756,4.915527712245904e-05
B3,0.25,0.7,0,True,True,True,95,192,0.0023517664753176515,0.00011017259843729144,0.0009173352071770724,5.415579763995426e-05,0.000173215749236455,1.3736510858231021e-05
B3,0.25,0.8,0,True,True,True,63,192,0.007976248103749445,9.54723904827981e-06,0.005405239442859366,3.4671549860587625e-06,0.001598217795760415,1.834433805969482e-07
B3,0.25,0.9,0,True,True,True,63,192,0.0024992049183289178,7.00051393317698e-05,0.0012702401222835502,1.155585266207626e-05,0.0006122071459647715,5.394637012545722e-06
B3,0.25,1.0,0,True,True,True,63,192,0.008746124037251269,0.000113743426108261,0.003908259573040196,5.288494707766933e-05,0.00033195796070883965,1.9046538868305873e-07
B3,0.25,1.1,0,True,True,True,63,192,0.009237132921911787,5.742844113124784e-05,0.003946473794806449,2.3875062100997546e-05,0.00020646521104250581,2.3315125499134837e-06
B3,0.25,1.2,0,True,True,True,63,192,0.006558278606499622,4.141885080291563e-05,0.0024936749383226986,1.6718196281101383e-05,6.298361464929236e-06,5.740957882416353e-07
B3,0.25,1.3,0,True,True,True,63,192,0.005214636672533848,2.2714571429717847e-05,0.002018269273236284,7.91173921704802e-06,5.2140024323077405e-05,1.1841568813286685e-06
B3,0.25,1.4,0,True,True,True,63,192,0.004937560474169149,1.6989529892047148e-05,0.0022344219408975408,5.8639521870740285e-06,1.147305796544984e-05,2.4441873414104975e-07
B3,0.25,1.5,0,True,True,True,63,192,0.003927168808233064,2.0800164842729382e-05,0.0017533041961872997,8.221649607037529e-06,1.8628535054299178e-05,2.5482858823089316e-07
B3,0.25,1.6,0,True,True,True,63,192,0.003059795159314765,1.946750476924594e-05,0.0015143179407259288,9.01320747340173e-06,1.7645414622347033e-05,4.963694877346825e-08
B3,0.25,1.7,0,True,True,True,63,192,0.005866574059431069,1.5567060134247593e-05,0.00215562261933247,6.723967229255168e-06,2.975023371676322e-05,2.6642982409175175e-07
B3,0.25,1.8,0,True,True,True,63,192,0.003112530015165829,1.3307370398047899e-05,0.001455252624884551,5.6846372908370135e-06,3.129158540615684e-06,5.742765080141154e-07
B3,0.25,1.9,0,True,True,True,63,192,0.00430502052771416,1.116938689924192e-05,0.0015513018491953579,5.058426094356472e-06,4.537438586715847e-05,2.0711704251663576e-07
B3,0.25,2.0,0,True,True,True,63,192,0.0008105648381946089,1.9366537691840532e-05,0.0002728711191264388,5.1374786667890415e-06,2.424593673278075e-05,6.208290495024471e-07
B3,0.3,0.1,0,True,True,True,31,192,0.00014331869755002113,7.094062848267413e-08,0.00011007718604016947,3.7716878287241684e-08,0.000527851603544377,1.8114286376436084e-07
B3,0.3,0.2,0,True,True,True,63,192,0.001036951311379375,6.204885443672481e-06,0.0007321240465002488,2.343757353306941e-06,0.0014606262154101546,2.2291674695584796e-06
B3,0.3,0.3,0,True,True,True,96,192,0.0004324132911810441,0.00012937314617667006,0.00027218499841186183,5.37855534762377e-05,0.0003007947191273064,3.737479743398664e-05
B3,0.3,0.4,0,True,True,True,96,192,0.00033970188024534664,8.367244035634158e-05,0.00016277687529986373,2.5468490482571937e-05,2.033956895292066e-05,1.7080894297250016e-05
B3,0.3,0.5,0,True,True,True,127,192,0.000966574875860049,0.00021544093523717667,0.0004666603464038577,0.00010498063128727697,0.00013667453489984993,3.221106623407799e-05
B3,0.3,0.6,0,True,True,True,95,192,0.001092523668702966,0.0007394029960555992,0.0003417684505652163,0.00036490717264170414,0.000423167452910711,6.479135718706619e-05
B3,0.3,0.7,0,True,True,True,95,192,0.013053052112774053,0.00026780447198559293,0.005794477291615419,0.00010995134043367827,0.0006024297566405989,6.7228871384328315e-06
B3,0.3,0.8,0,True,True,True,95,192,0.009079435086423726,9.90493242235338e-05,0.003608618000558783,3.289770080705523e-05,2.1820145628126397e-05,7.5968686050753576e-06
B3,0.3,0.9,0,True,True,True,95,192,0.0028266644645705344,4.7249223593420764e-05,0.001118398885073868,2.2791568345559288e-05,4.731575859306947e-05,2.876162421894257e-06
B3,0.3,1.0,0,True,True,True,95,192,0.004056526961330756,4.654185478169745e-05,0.0013867689229799807,2.1609731806315757e-05,0.00010562063982200165,1.3887617267283048e-06
B3,0.3,1.1,0,True,True,True,64,192,0.0063398526115851575,3.160458358561491e-05,0.001979351314121608,1.4429067269838836e-05,0.0003023743741554785,7.428419508404005e-07
B3,0.3,1.2,0,True,True,True,64,192,0.005307417052073882,2.3586710274400846e-05,0.0017999166148969514,1.0241989470416435e-05,0.00019018425397099303,7.07489469009559e-07
B3,0.3,1.3,0,True,True,True,64,192,0.004877680969311772,2.1049344534632142e-05,0.001590716208490911,8.700377454928798e-06,0.00017934972074507005,9.715666411391766e-07
B3,0.3,1.4,0,True,True,True,64,192,0.004587380863444061,6.065620303800923e-06,0.0014953712758734028,2.9415147303479827e-06,0.00015605726115452967,2.2261670307166526e-07
B3,0.3,1.5,0,True,True,True,64,192,0.0022719709483659326,6.155615371462864e-06,0.0006939242521387945,1.7016142365572362e-06,9.059357384422206e-05,2.4391886321861733e-07
B3,0.3,1.6,0,True,True,True,64,192,0.002283781640661623,2.9045096467655157e-06,0.0007485336411679755,1.0790198710919352e-06,7.78293697917265e-05,3.8825536807785e-07
B3,0.3,1.7,0,True,True,True,63,192,0.003203578867842529,4.315140923007166e-06,0.0010830795450409714,1.1134101384757678e-06,9.619505838132092e-05,1.6196149144054317e-07
B3,0.3,1.8,0,True,True,True,63,192,0.0021819701776145534,2.1827394696277702e-06,0.0007348248477406782,8.079007974282071e-07,7.07355500106921e-05,3.0895287128629434e-07
B3,0.3,1.9,0,True,True,True,63,192,0.001696992117852984,3.453815221127199e-06,0.0006455195327462748,1.149744357914484e-06,6.364259441560272e-05,3.948535847175805e-07
B3,0.3,2.0,0,True,True,True,63,192,0.0021447629761117103,5.011231601081273e-06,0.000995108717421006,9.215369120435524e-07,9.229489418216552e-05,1.362554602479804e-07
