n,kappa,h,ref,seed,method,cnots,delta_e,fidelity,joint_pass
8,0.95,1.2,ghz,11,cost,127,0.0009030554695794724,0.9991299277782792,True
8,0.95,1.2,ghz,11,cost,127,0.0009030554695794724,0.9991299277782792,True
8,0.3,0.3,ghz,11,cost,7,0.0338932078435259,0.8839856496397982,False
8,0.3,0.3,ghz,11,cost,15,0.01789451829160038,0.9313177885482187,False
8,0.3,0.3,ghz,11,cost,31,0.0015098130033268653,0.9862969739643015,False
8,0.3,0.3,ghz,11,cost,63,0.0006749615141634635,0.9930505411431305,True
8,0.3,0.3,ghz,11,cost,95,0.0001360954080368293,0.9992637561564237,True
8,0.3,0.3,ghz,11,cost,127,8.359197440577226e-06,0.9999808473290366,True
8,0.3,0.3,ghz,11,cost,127,8.359197440577226e-06,0.9999808473290366,True
8,0.025,1.25,plus,11,gradient,0,0.20565897217935003,0.6695489125372552,False
8,0.025,1.25,plus,11,gradient,16,0.024907201379858357,0.9284716867782471,False
8,0.025,1.25,plus,11,gradient,64,0.007599224963803053,0.9741234613032222,False
8,0.025,1.25,plus,11,gradient,96,1.3794442139669627e-06,0.999998833655034,True
8,0.025,1.25,plus,11,gradient,120,1.0677199124842218e-07,0.999999901719334,True
8,1.0,1.0,antiphase,11,cost,6,0.33198804061375675,0.3423846726166197,False
8,1.0,1.0,antiphase,11,cost,16,0.16020014600896593,0.6325921398567473,False
8,1.0,1.0,antiphase,11,cost,32,0.022967364751385055,0.9454925962586693,False
8,1.0,1.0,antiphase,11,cost,128,0.001361437943844468,0.9981834827087157,False
8,1.0,1.0,antiphase,11,cost,128,0.001361437943844468,0.9981834827087157,False
8,0.1,0.3,antiphase,11,cost,6,0.8252554134819927,4.865682883939035e-07,False
8,0.1,0.3,antiphase,11,cost,16,0.5736667669279595,0.0014633133088432745,False
8,0.1,0.3,antiphase,11,cost,32,0.00328149066909178,0.9925335882666955,False
8,0.1,0.3,antiphase,11,cost,122,3.0596943201288695e-08,0.9999999636438045,True
8,0.85,0.9,ghz,11,cost,7,1.034716947159263,0.001718023083318317,False
8,0.85,0.9,ghz,11,cost,15,0.5257716243328345,0.04169977999018673,False
8,0.85,0.9,ghz,11,cost,31,0.08920909410813382,0.5507766644808424,False
8,0.85,0.9,ghz,11,cost,63,0.008131331192740454,0.9871791618764157,False
8,0.85,0.9,ghz,11,cost,95,0.0036021640314498615,0.9943313070019814,False
8,0.85,0.9,ghz,11,cost,127,0.001814953672854891,0.997512965775001,False
8,0.85,0.9,ghz,11,cost,127,0.001814953672854891,0.997512965775001,False
8,0.25,0.65,plus,11,cost,0,0.2790166345293722,0.4645028304460479,False
8,0.25,0.65,plus,11,cost,16,0.021100645785244843,0.8861896421075852,False
8,0.25,0.65,plus,11,cost,32,0.004188324359484796,0.965906833706949,False
8,0.25,0.65,plus,11,cost,64,0.000686146535640697,0.9972439065071076,False
8,0.25,0.65,plus,11,cost,96,0.00016546902076775005,0.9996135289439536,True
8,0.25,0.65,plus,11,cost,128,9.691885774598674e-06,0.9999830843752562,True
8,0.25,0.65,plus,11,cost,128,9.691885774598674e-06,0.9999830843752562,True
8,0.0,1.1,plus,23,fixed,0,0.2494084590468375,0.5240703132648579,False
8,0.0,1.1,plus,23,fixed,16,0.06984560278989105,0.7651879719246522,False
8,0.5,0.1,ghz,11,cost,7,0.04598192362975495,0.001050536625933077,False
8,0.5,0.1,ghz,11,cost,15,0.04348810450376017,0.0012694559037434484,False
8,0.5,0.1,ghz,11,cost,31,0.00864381424130134,0.5214432598276073,False
8,0.5,0.1,ghz,11,cost,63,0.0062393697679851146,0.642291334935076,False
8,0.5,0.1,ghz,11,cost,95,0.0035579498424740397,0.7978934376314841,False
8,0.5,0.1,ghz,11,cost,127,0.0013073462466018926,0.9816534588531032,False
8,0.5,0.1,ghz,11,cost,127,0.0013073462466018926,0.9816534588531032,False
8,0.2,0.1,plus,11,cost,0,0.703131488927818,0.013011836070043402,False
8,0.2,0.1,plus,11,cost,16,0.15081268755310384,0.49705387036729837,False
8,0.2,0.1,plus,11,cost,32,0.0003968618316309014,0.9989998438142073,True
8,0.2,0.1,plus,11,cost,64,1.0131659478052057e-07,0.9999997216102211,True
8,0.2,0.1,plus,11,cost,86,1.0988538190481734e-08,0.9999999672033539,True
8,0.15,0.1,plus,11,cost,0,0.7529455112015504,0.012579284893363773,False
8,0.15,0.1,plus,11,cost,16,0.16872569074253985,0.49944271603584534,False
8,0.15,0.1,plus,11,cost,64,5.4247138780993964e-08,0.9999998655938088,True
8,0.15,0.1,plus,11,cost,86,7.222286879660089e-09,0.9999999810228616,True
8,0.05,1.2,antiphase,11,cost,6,1.357882497515875,0.004601969557957916,False
8,0.05,1.2,antiphase,11,cost,16,0.5012305778572643,0.27596021622777295,False
8,0.05,1.2,antiphase,11,cost,32,0.043854887458359526,0.8940957512446894,False
8,0.05,1.2,antiphase,11,cost,64,0.0005126484958646316,0.9993278495346639,True
8,0.05,1.2,antiphase,11,cost,128,3.755902920454801e-06,0.9999971397851828,True
8,0.05,1.2,antiphase,11,cost,128,3.755902920454801e-06,0.9999971397851828,True
8,0.0,1.2,ghz,11,cost,7,0.4240249564406866,0.24575729081845699,False
8,0.0,1.2,ghz,11,cost,15,0.25159731335053115,0.40895207887770313,False
8,0.0,1.2,ghz,11,cost,31,0.04543961039455402,0.9313825721156274,False
8,0.0,1.2,ghz,11,cost,63,0.0019207227536393034,0.9979400383354755,False
8,0.0,1.2,ghz,11,cost,95,0.00010253307695506919,0.9999074381019127,True
8,0.0,1.2,ghz,11,cost,127,9.970917247414945e-08,0.9999999292010479,True
8,0.0,1.2,ghz,11,cost,127,9.970917247414945e-08,0.9999999292010479,True
8,0.9,1.5,antiphase,11,cost,6,0.8117205367425003,0.10606760013834975,False
8,0.9,1.5,antiphase,11,cost,16,0.32786786756289343,0.5179786736239073,False
8,0.9,1.5,antiphase,11,cost,32,0.03857470940817964,0.9509123421070795,False
8,0.9,1.5,antiphase,11,cost,64,0.0016179510832903254,0.9987640045507554,False
8,0.9,1.5,antiphase,11,cost,96,0.000502647148276747,0.9996051539230454,True
8,0.9,1.5,antiphase,11,cost,128,0.0002909576489469323,0.9997736704944589,True
8,0.9,1.5,antiphase,11,cost,128,0.0002909576489469323,0.9997736704944589,True
8,0.75,0.6,ghz,11,cost,7,0.6684676383587187,0.0011821982119976995,False
8,0.75,0.6,ghz,11,cost,15,0.2891616697442617,0.04676226110229809,False
8,0.75,0.6,ghz,11,cost,31,0.11229084722718419,0.3871701224825274,False
8,0.75,0.6,ghz,11,cost,95,0.006575261282357081,0.9817940058134669,False
8,0.75,0.6,ghz,11,cost,127,0.003667782690991994,0.9906667786460663,False
8,0.75,0.6,ghz,11,cost,127,0.003667782690991994,0.9906667786460663,False
8,0.95,0.9,antiphase,11,cost,6,0.28342389785388833,0.36925792254310974,False
8,0.95,0.9,antiphase,11,cost,16,0.13762661157663514,0.650161506656285,False
8,0.95,0.9,antiphase,11,cost,32,0.023539111198230156,0.9349817019227747,False
8,0.95,0.9,antiphase,11,cost,64,0.005118605563076306,0.9891062583279734,False
8,0.95,0.9,antiphase,11,cost,96,0.0023832544641750886,0.9959495520640143,False
8,0.95,0.9,antiphase,11,cost,128,0.0012842701484618857,0.9983171847633486,False
8,0.95,0.9,antiphase,11,cost,128,0.0012842701484618857,0.9983171847633486,False
8,0.35,0.1,plus,11,cost,0,0.5538770185180588,0.015375236161743681,False
8,0.35,0.1,plus,11,cost,16,0.06895782557178987,0.5016339656134046,False
8,0.35,0.1,plus,11,cost,64,1.2710002177396262e-06,0.9999918592291865,True
8,0.35,0.1,plus,11,cost,96,3.488167319432023e-07,0.9999977381830014,True
8,0.35,0.1,plus,11,cost,114,2.4592330394312967e-08,0.9999999316269136,True
8,0.7,0.8,antiphase,11,cost,6,0.3537065771445598,0.12996651496078604,False
8,0.7,0.8,antiphase,11,cost,16,0.2282482868815372,0.2761677214668729,False
8,0.7,0.8,antiphase,11,cost,32,0.06623724477989978,0.7450948360331371,False
8,0.7,0.8,antiphase,11,cost,64,0.005195732139149811,0.9908646767649878,False
8,0.7,0.8,antiphase,11,cost,96,0.00200263928992217,0.9971320138872293,False
