point,kappa,h,layers,n_runs,best_run,best_seed,best_joint_pass,observable_pass_count,state_pass_count,joint_pass_count,optimization_success_count,cnots,unitary_depth,energy_best_energy,median_energy,min_energy,max_energy,energy_best_delta_e,median_delta_e,min_delta_e,max_delta_e,energy_best_epsilon_c,median_epsilon_c,min_epsilon_c,max_epsilon_c,energy_best_epsilon_sf,median_epsilon_sf,min_epsilon_sf,max_epsilon_sf,energy_best_epsilon_mx,median_epsilon_mx,min_epsilon_mx,max_epsilon_mx,energy_best_fidelity,median_fidelity,min_fidelity,max_fidelity,energy_best_seconds,median_seconds,min_seconds,max_seconds
4,0,1.8,4,3,p04_L4_s23,23,True,3,3,3,0,128,149,-15.537135414808528,-15.536998936630486,-15.537135414808528,-15.536876758626809,2.9749114616617334e-05,4.680888687191853e-05,2.9749114616617334e-05,6.208113733152665e-05,0.0005022514335088213,0.0021097003707932147,0.0005022514335088213,0.002172020242059411,0.00022807919988016012,0.0010680235078561195,0.00022807919988016012,0.0012437364748361657,7.654522532973829e-05,0.00030748337538155646,7.654522532973829e-05,0.00036853615080367774,0.9999809150587307,0.9999701459591608,0.9999592756765006,0.9999809150587307,0.08201312500750646,0.0809239580121357,0.07964187499601394,0.08201312500750646
4,0,1.8,6,3,p04_L6_s23,23,True,3,3,3,0,192,223,-15.537346254286716,-15.53728270617936,-15.537346254286716,-15.537255710288528,3.394179843185796e-06,1.1337693262669646e-05,3.394179843185796e-06,1.4712179616571675e-05,6.854902586175826e-05,0.0001997911516277706,6.854902586175826e-05,0.0008884697507354558,4.001661653590949e-05,5.459938704352463e-05,4.001661653590949e-05,0.0003524625310055707,2.56234489039997e-05,6.498929030651635e-05,2.56234489039997e-05,6.723199864211438e-05,0.9999982262084216,0.9999930446409331,0.9999916212812994,0.9999982262084216,0.11284333301591687,0.11296058399602771,0.11284333301591687,0.11510237498441711
5,0.3,0.2,1,3,p05_L1_s23,23,False,0,0,0,3,32,38,-4.918482245656051,-4.918482245656049,-4.918482245656051,-4.9184822456560475,0.0997660470279248,0.09976604702792502,0.0997660470279248,0.09976604702792524,0.9546804342971897,0.9546804347975397,0.9546804342971897,0.9546804347976123,0.6183022151584492,0.6183022164086391,0.6183022151584492,0.6183022164396439,0.37264464508649553,0.37264465168873495,0.37264464508649553,0.3726446523175566,0.3127043843837275,0.31270438274347523,0.3127043827155127,0.3127043843837275,0.0019876670266967267,0.0014033750048838556,0.0008865840209182352,0.0019876670266967267
5,0.3,0.2,2,3,p05_L2_s37,37,False,0,0,0,3,64,75,-5.164609928971343,-5.159282620555421,-5.164609928971343,-5.122027142502143,0.06900008661351331,0.0696660001655035,0.06900008661351331,0.07432293492216335,0.8366400091955386,0.8191888804661634,0.7686587488646546,0.8366400091955386,0.5128362102034182,0.510022702502591,0.47448807571648544,0.5128362102034182,0.2778539827780856,0.2778539827780856,0.2639887618924598,0.28662382383238694,0.46330557037757,0.46330557037757,0.4394208413539776,0.47999236751087254,0.005384374991990626,0.0047308329958468676,0.002596709004137665,0.005384374991990626
5,0.3,0.2,4,3,p05_L4_s37,37,False,0,0,0,3,128,149,-5.551832745411625,-5.5296087140238015,-5.551832745411625,-5.389398088227793,0.02059723455847806,0.023375238481955996,0.02059723455847806,0.04090156670645706,0.24023878767924156,0.24023878767924156,0.2223448962398955,0.40795247213563945,0.14252001498390932,0.14252001498390932,0.13378322944741072,0.25691331770244585,0.08187496240951245,0.08187496240951245,0.08021564996726671,0.13804261478081808,0.8682141922806763,0.8682141922806763,0.7345882106578396,0.8811982220293935,0.018351999984588474,0.019597208010964096,0.018351999984588474,0.02125483300187625
5,0.3,0.2,6,3,p05_L6_s37,37,True,3,3,3,1,192,223,-5.716603282932726,-5.716592402794108,-5.716603282932726,-5.709106532809743,9.17368340402902e-07,2.2773856677149595e-06,9.17368340402902e-07,0.000938011133713279,2.172660039767571e-05,5.057517211493057e-05,2.172660039767571e-05,0.001959549361229107,7.380462884287731e-06,2.7411193953108537e-05,7.380462884287731e-06,0.0014848812473465811,1.358532685621916e-05,5.038737316645503e-05,1.358532685621916e-05,0.0008124031778550811,0.9999985101815436,0.999996307946965,0.9977940572999434,0.9999985101815436,0.12029074999736622,0.11352775001432747,0.09971899999072775,0.12029074999736622
6,0.3,0.4,1,3,p06_L1_s23,23,False,0,0,0,3,32,38,-5.841525891960529,-5.8415258919605275,-5.841525891960529,-5.841525891960524,0.03446833531675342,0.03446833531675364,0.03446833531675342,0.034468335316754084,0.736492650009157,0.7364926495380965,0.736492649045208,0.736492650009157,0.475651993234315,0.47565199216495446,0.4756519921233143,0.475651993234315,0.24599674105921654,0.24599674105921654,0.24599674000563898,0.24599674489339252,0.6071026244287624,0.6071026262272354,0.6071026244287624,0.6071026276519429,0.001115124992793426,0.0008727079839445651,0.0006962500046938658,0.001115124992793426
6,0.3,0.4,2,3,p06_L2_s11,11,False,0,0,0,3,64,75,-5.955332684617293,-5.95533268461672,-5.955332684617293,-5.953777193541799,0.020242486234657964,0.020242486234729573,0.020242486234657964,0.02043692261909469,0.6921662248752043,0.69216617204625,0.5637091877375544,0.6921662248752043,0.4330547717452362,0.4330546904114767,0.35976004988234794,0.4330547717452362,0.21214228431533666,0.21214202054842812,0.18732665263416115,0.21214228431533666,0.7052206525354604,0.7052207067828193,0.7052206525354604,0.7158415390454826,0.003220957994926721,0.003220957994926721,0.0026562080020084977,0.004848666983889416
6,0.3,0.4,4,3,p06_L4_s11,11,False,0,0,0,3,128,149,-6.090261888086163,-6.086779510436681,-6.090261888086163,-6.07415142797974,0.003376335801049235,0.0038116330072344162,0.003376335801049235,0.005390143314352058,0.13680718306760098,0.2011897572863912,0.13680718306760098,0.2402724655491888,0.08873175273961553,0.12145045815553734,0.08873175273961553,0.14821328157643532,0.05144387130979,0.06495793804999034,0.05144387130979,0.08057276356191168,0.9728263522902282,0.9605624171634445,0.9366457361347896,0.9728263522902282,0.0361946250195615,0.0358096249983646,0.030766375013627112,0.0361946250195615
6,0.3,0.4,6,3,p06_L6_s23,23,True,1,2,1,1,192,223,-6.11699517973755,-6.10675771133893,-6.11699517973755,-5.802316139019355,3.467434462578467e-05,0.001314357894453333,3.467434462578467e-05,0.039369554434400156,0.0008942562303586588,0.07627636053154119,0.0008942562303586588,0.49259592690333176,0.0004679547343410251,0.04845063610694178,0.0004679547343410251,0.3106879691075092,0.00026158895379208014,0.029949270576780485,0.00026158895379208014,0.11784038886870596,0.9999333336490757,0.9921131816838797,0.8140465054092686,0.9999333336490757,0.1148810830200091,0.11422370799118653,0.051673917012522,0.1148810830200091
