run_id,point,kappa,h,layers,seed,initialization_source,started_utc,fingerprint,energy,nit,nfev,njev,optimization_success,status,message,gradient_inf,seconds,ed_energy,delta_e,fidelity,epsilon_c,epsilon_sf,epsilon_mx,mx,observable_pass,state_pass,joint_pass,parameters,cnots,high_level_gates,compiled_unitary_gates,unitary_depth,depth_with_channels,archive_sha256
p01_L4_s37,1,0,0.9,4,37,independent_uniform,2026-09-22T03:41:33.984639+00:00,c801c888d20466da9f44228c44681586e38ae6c48856416da8ac0e56c7cf6930,-6.00566983440306,41,50,50,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3.0570329990098344e-05,0.009089333994779736,-9.773287658015985,0.4709522279516156,0.5671749291402579,0.24179316387235467,0.1636965918456178,0.29606775110052336,0.25803309151913983,False,False,False,12,128,104,232,149,245,ab33eaf231c24266ddb843bcf4385ae15718ac372e828ec0b76939aaa8a97b21
p01_L6_s11,1,0,0.9,6,11,independent_uniform,2026-09-22T03:41:33.998062+00:00,c801c888d20466da9f44228c44681586e38ae6c48856416da8ac0e56c7cf6930,-9.746842833642264,358,383,383,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2.4780792625023196e-05,0.10082037499523722,-9.773287658015985,0.003305603046715122,0.9940230217627188,0.05095140871237558,0.0324741734524614,0.020801902964300623,0.5749027455839638,False,True,False,18,192,152,344,223,367,8e155bab5a5995deaddef1be27822cdd3b0df323ad949626e222392023e3693d
p01_L6_s23,1,0,0.9,6,23,independent_uniform,2026-09-22T03:41:34.104716+00:00,c801c888d20466da9f44228c44681586e38ae6c48856416da8ac0e56c7cf6930,-9.765293647223011,400,433,433,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,3.19797524106491e-05,0.12890145799610764,-9.773287658015985,0.0009992513491217103,0.9989630212160134,0.011320735755258826,0.008141211013252936,0.006279621114351652,0.5603804637340148,True,True,True,18,192,152,344,223,367,deba271f0e70958d1684fec27ad5e5d563b69100a81144b828e5eed1289b8528
p01_L6_s37,1,0,0.9,6,37,independent_uniform,2026-09-22T03:41:34.239386+00:00,c801c888d20466da9f44228c44681586e38ae6c48856416da8ac0e56c7cf6930,-9.773287657954766,161,173,173,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2.0578473383103812e-05,0.045096708985511214,-9.773287658015985,7.652323219531354e-12,0.9999999999918134,3.5154878530452294e-07,1.682863917107369e-07,1.0515376769326679e-07,0.5541007374658955,True,True,True,18,192,152,344,223,367,702f7929dbebfc7213b6d16050db858e5c5f509924819f5486ca5ef6564088f3
p02_L1_s11,2,0,1.0,1,11,independent_uniform,2026-09-22T03:41:34.290697+00:00,c801c888d20466da9f44228c44681586e38ae6c48856416da8ac0e56c7cf6930,-9.89752043545592,10,12,12,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,2.2844197644644737e-09,0.0008067080052569509,-10.251661790966029,0.04426766943876359,0.8003938978006184,0.48965685841835266,0.314312893598487,0.1620491402875821,0.8027780022229591,False,False,False,3,32,32,64,38,62,16992841f33b27909be25a2faf7360b5507df4ad185a1fbc267cceeb483ec984
p02_L1_s23,2,0,1.0,1,23,independent_uniform,2026-09-22T03:41:34.293394+00:00,c801c888d20466da9f44228c44681586e38ae6c48856416da8ac0e56c7cf6930,-9.897520435455922,10,13,13,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.6999317686838822e-07,0.0008444160048384219,-10.251661790966029,0.04426766943876337,0.8003939000729114,0.4896568571315697,0.31431289027658893,0.1620491352751814,0.8027779972105584,False,False,False,3,32,32,64,38,62,2913851bb248553cf7b7b2438f4d5cd45c701749289298835af37605fa53d7ee
p02_L1_s37,2,0,1.0,1,37,independent_uniform,2026-09-22T03:41:34.296061+00:00,c801c888d20466da9f44228c44681586e38ae6c48856416da8ac0e56c7cf6930,-9.89752043545592,12,19,19,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2.687299627268658e-07,0.0012966250069439411,-10.251661790966029,0.04426766943876359,0.8003938996025162,0.4896568580167096,0.3143128939161262,0.162049142802713,0.80277800473809,False,False,False,3,32,32,64,38,62,e4204a59af5d9d8f10d05dd4369a4dd6286ae630756a74c1e5525ac63ce6249a
p02_L2_s11,2,0,1.0,2,11,independent_uniform,2026-09-22T03:41:34.299299+00:00,c801c888d20466da9f44228c44681586e38ae6c48856416da8ac0e56c7cf6930,-10.062037955589243,32,43,43,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.1503488357433866e-06,0.004387083987239748,-10.251661790966029,0.023702979422098203,0.9083820315221948,0.25930437760109104,0.18144293424175206,0.11148082754353328,0.7522096894789103,False,False,False,6,64,56,120,75,123,e64e22d4771bc65092328cb75a535d125c3797e53f1e77f3c914d61f2ab16dbf
p02_L2_s23,2,0,1.0,2,23,independent_uniform,2026-09-22T03:41:34.306326+00:00,c801c888d20466da9f44228c44681586e38ae6c48856416da8ac0e56c7cf6930,-10.062037955589265,42,53,53,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,5.538707803509624e-08,0.005344082979718223,-10.251661790966029,0.023702979422095538,0.9083820358808441,0.2593043760902799,0.18144294143927248,0.11148083953438359,0.7522097014697606,False,False,False,6,64,56,120,75,123,408c43ad6c3733c0284c5738b4139c4013661a574812ad5ac17f2deca1525dbc
p02_L2_s37,2,0,1.0,2,37,independent_uniform,2026-09-22T03:41:34.314301+00:00,c801c888d20466da9f44228c44681586e38ae6c48856416da8ac0e56c7cf6930,-9.990115131892782,33,38,38,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,7.147354299519293e-07,0.003947290999349207,-10.251661790966029,0.03269333238415584,0.8520168459925774,0.40112432599155134,0.25782394266393505,0.1349887345948837,0.7757175965302607,False,False,False,6,64,56,120,75,123,622dc9d8fb709c60451a54c194874b378e6dcd46c28d457f82251d36262f1778
