kind,inner_optimizer_calls,optimizer_success,selected_checkpoint_reason,n,kappa,h,ref,seed,budget,seconds,stop,nit,nfev,cnots,joint_pass,delta_e,fidelity,archive,raw_record,used_for_current_comparison,exit_message,energy
energy-only ADAPT campaign,58,True,budget_checkpoint_128,8,0.499666,0.557302,ghz,11,128,3.2012311670114286,budget,7657,8080,127,True,0.0002808098245841162,0.9995452264318033,results/stage5_v1/adaptive/cache/8c75913a19270ebafc2627a2888482cb415deccb5d49dc899e931d4b67450243.npz,results/stage5_v1/adaptive/cache/8c75913a19270ebafc2627a2888482cb415deccb5d49dc899e931d4b67450243.json,,,
energy-only ADAPT campaign,44,True,budget_checkpoint_64,8,0.356776,0.177487,ghz,11,128,3.0208581669721752,budget,5682,6016,63,True,8.16215175587498e-05,0.9990606386685851,results/stage5_v1/adaptive/cache/1defd098dbaf4f39854e8f3e1c9a82bf90350c684577bf01bacf6e8153be6cbc.npz,results/stage5_v1/adaptive/cache/1defd098dbaf4f39854e8f3e1c9a82bf90350c684577bf01bacf6e8153be6cbc.json,,,
energy-only ADAPT campaign,79,True,budget_checkpoint_192,12,0.0,0.9,plus,11,192,22.278167332988232,budget,4527,4887,192,True,2.5783886197376187e-05,0.9999401931863774,results/stage5_v1/adaptive/cache/75b5319707d2bf6ece46a6836dbd7325991b35b7f2a64881f1654d96911af929.npz,results/stage5_v1/adaptive/cache/75b5319707d2bf6ece46a6836dbd7325991b35b7f2a64881f1654d96911af929.json,,,
energy-only ADAPT campaign,69,True,budget_checkpoint_64,12,0.163249,1.732959,plus,11,192,31.175380208005663,energy_stagnation,7530,8017,64,True,7.880272286264756e-06,0.9999874251603607,results/stage5_v1/adaptive/cache/71414beb7ce1cbcd1a27ca9afb96cd1e8cb05a766dca30a7d9398d45b7996bf4.npz,results/stage5_v1/adaptive/cache/71414beb7ce1cbcd1a27ca9afb96cd1e8cb05a766dca30a7d9398d45b7996bf4.json,,,
energy-only ADAPT campaign,52,True,budget_checkpoint_128,8,0.0,0.9375,antiphase,11,128,2.4850615419563837,budget,3000,3234,128,True,2.7465353009459292e-05,0.9999737349026653,results/stage5_v1/adaptive/cache/ac233264f56e558a75f7702f801b50a199eaaecaacaa7dd587f70bfc9bf476ad.npz,results/stage5_v1/adaptive/cache/ac233264f56e558a75f7702f801b50a199eaaecaacaa7dd587f70bfc9bf476ad.json,,,
energy-only ADAPT campaign,49,True,budget_checkpoint_128,8,0.0,0.9625,antiphase,11,128,2.2414147080271505,budget,2798,3022,128,True,1.0534691254893147e-06,0.9999991223362094,results/stage5_v1/adaptive/cache/7d7fe6d6535bfd2f1e8c6b0574a5b3243e2558d8b6bb5446c05ed32fe40efa8a.npz,results/stage5_v1/adaptive/cache/7d7fe6d6535bfd2f1e8c6b0574a5b3243e2558d8b6bb5446c05ed32fe40efa8a.json,,,
energy-only ADAPT campaign,51,True,budget_checkpoint_96,8,0.3,0.35,antiphase,11,128,3.6602256250334904,budget,5410,5786,96,True,5.1687668423450184e-05,0.9998475325359685,results/stage5_v1/adaptive/cache/09347518c53718d89ac8f44a16bbd848cc4825433d63fe0fb01de037880d4b14.npz,results/stage5_v1/adaptive/cache/09347518c53718d89ac8f44a16bbd848cc4825433d63fe0fb01de037880d4b14.json,,,
energy-only ADAPT campaign,62,True,budget_checkpoint_160,12,0.0,0.6,ghz,11,192,34.07830308302073,budget,8143,8571,159,True,6.444047028460649e-05,0.9996914934119308,results/stage5_v1/adaptive/cache/67b63607f0d174c631d9f7b1da0ba8730faa9a88bdbc3831ff795fc489ee7030.npz,results/stage5_v1/adaptive/cache/67b63607f0d174c631d9f7b1da0ba8730faa9a88bdbc3831ff795fc489ee7030.json,,,
energy-only ADAPT campaign,56,True,budget_checkpoint_128,12,0.517734,0.201329,antiphase,11,128,23.517119249969255,budget,4960,5343,128,False,0.008494011360912582,0.587558124299569,results/stage5_v1/adaptive/cache/5156fa921d340a503050463c3312cb6dc77480ce19c83bede61858489c5168fd.npz,results/stage5_v1/adaptive/cache/5156fa921d340a503050463c3312cb6dc77480ce19c83bede61858489c5168fd.json,,,
energy-only ADAPT campaign,73,True,budget_checkpoint_192,12,0.8,0.4,antiphase,11,192,14.121936417010147,budget,3436,3780,192,True,0.0004887332729553625,0.9920482362046166,results/stage5_v1/adaptive/cache/3271fa1ab6e0d9c9be1bf5e944048c76fb059461ab82aa16ab26315b559d5483.npz,results/stage5_v1/adaptive/cache/3271fa1ab6e0d9c9be1bf5e944048c76fb059461ab82aa16ab26315b559d5483.json,,,
