kappa,h,p,estimator,comparison,budget,equal_CNOT_shots_completed,zero_CNOT_control,actual_G,actual_shots,archive,sha256,scientific_fingerprint,disposition
0.0,0.875,0.05,zne_quadratic,equal_shots,100000,False,False,28799808,100000,results/stage6_followup_v1/measurements/dda3079e4314860d851ddde831b1e461b541d831a56f7dc3b8eeac0bd10e481b.npz,07e4f2c3149aaba6f8fb9dc18ecc460788cab6ce276b2284760a1b84d5d9ed92,dda3079e4314860d851ddde831b1e461b541d831a56f7dc3b8eeac0bd10e481b,newly_executed
0.0,0.875,0.05,sv,equal_shots,100000,False,False,9600000,100000,results/stage6_followup_v1/measurements/f1345fc88e6e040790381a7caba7396f2bd440d3b7aa53c9ed74d296bf63406d.npz,a0a76bbf0c69a4e6157b393fa873263cf147d415dc3132b7837e7c0629891065,f1345fc88e6e040790381a7caba7396f2bd440d3b7aa53c9ed74d296bf63406d,newly_executed
0.0,0.875,0,raw,equal_gate,100000,True,False,9600000,100000,results/stage6_followup_v1/measurements/67fac51398106d447f8a89c5974be92ca917dbb76e1b0b7b2a612350c0e054d8.npz,3b63f56d3edccf04a915bb31f58e41f1a54f81dc238d6f7a596fedb94d98d660,67fac51398106d447f8a89c5974be92ca917dbb76e1b0b7b2a612350c0e054d8,newly_executed
0.0,0.875,0,zne_quadratic,equal_gate,100000,True,False,9600000,33334,results/stage6_followup_v1/measurements/817db380ff20e07fb7ec2438578d121fa00998b440a9d8d1811254125b5c6b4c.npz,71c9e13f63038fc239e44baae6ac2e00a5b64f2eb9d66bdd6310f218c7114388,817db380ff20e07fb7ec2438578d121fa00998b440a9d8d1811254125b5c6b4c,newly_executed
0.0,0.875,0,sv,equal_gate,100000,True,False,9600000,100000,results/stage6_followup_v1/measurements/5fdfcd676c47b6b2ee67c78682521b5649564768449960ae12d4e44e0797a76c.npz,1082d1c99428e7df6364861262362a1aca0169c01f79d72381cd1907b979d6bc,5fdfcd676c47b6b2ee67c78682521b5649564768449960ae12d4e44e0797a76c,newly_executed
0.0,0.875,0.01,raw,equal_gate,100000,True,False,9600000,100000,results/stage6_followup_v1/measurements/43963caab829488b60d476f17ec4ecd72360cb57ad7a5b229529a65f30f35557.npz,b8bbc1cd4f8c64fef0d9e9629366f01171be09d0e5b520f85eeb8ffe889964b9,43963caab829488b60d476f17ec4ecd72360cb57ad7a5b229529a65f30f35557,newly_executed
0.0,0.875,0.01,zne_quadratic,equal_gate,100000,True,False,9600000,33334,results/stage6_followup_v1/measurements/26a1f2ab7ab66ece46872960330ad16d4b5f2c2ec6b86f0d299c996a1d78d639.npz,06ec99f3485336008324b469bc4ac83b35fb3d06fa299f8bef9bf23bbead7ad1,26a1f2ab7ab66ece46872960330ad16d4b5f2c2ec6b86f0d299c996a1d78d639,newly_executed
0.0,0.875,0.01,sv,equal_gate,100000,True,False,9600000,100000,results/stage6_followup_v1/measurements/35e1502cc3c3dd3665a4c5aa0be5528f39de464000f8c03d4d78473df75fb1e7.npz,a265cfa420fdf60573893437ee41f85dcd4bfc382ceaa0bd9b7d1d2c35802e9c,35e1502cc3c3dd3665a4c5aa0be5528f39de464000f8c03d4d78473df75fb1e7,newly_executed
0.0,0.875,0.05,raw,equal_gate,100000,True,False,9600000,100000,results/stage6_followup_v1/measurements/7563b7b142e1da5b01f4a4bb90048621454cc20360da5bc90cdc10da2ea7a7f1.npz,8f7f0e1ac72da826e986ad2dcf2f16652b8ad29c518684a433aaa6464bf4f58b,7563b7b142e1da5b01f4a4bb90048621454cc20360da5bc90cdc10da2ea7a7f1,newly_executed
0.0,0.875,0.05,zne_quadratic,equal_gate,100000,True,False,9600000,33334,results/stage6_followup_v1/measurements/d9765771208f4b334194ba5f197066927a77a7abd1ac13ae708968ae90ad8ead.npz,1b8dfc6a58f75571d04a9097cbc30f48849ecb69a2eb778980d0a70c00d8ba5e,d9765771208f4b334194ba5f197066927a77a7abd1ac13ae708968ae90ad8ead,newly_executed
0.0,0.875,0.05,sv,equal_gate,100000,True,False,9600000,100000,results/stage6_followup_v1/measurements/0a4ece8c8895e7077ee5de092d3f387f8e3fcc6a9a1e4d9515ed0a4925e3d627.npz,387ac2caa0f0a30a522113a1555d414cd87abd2bdd0b0fd51585d9117fc42f45,0a4ece8c8895e7077ee5de092d3f387f8e3fcc6a9a1e4d9515ed0a4925e3d627,newly_executed
0.0,0.875,0,raw,equal_gate,300000,True,False,28799808,299998,results/stage6_followup_v1/measurements/9617d7d1a41931832f269d94828bcf3207394fadd6e96d8058ebad67832a4acf.npz,782a4be0b4a85b0ea7ea53f0567f5b813d3d48d2b26a073659233991dbf19e96,9617d7d1a41931832f269d94828bcf3207394fadd6e96d8058ebad67832a4acf,newly_executed
0.0,0.875,0,zne_quadratic,equal_gate,300000,True,False,28799808,100000,results/stage6_followup_v1/measurements/39ba384a07bece3ff9bcef310b5e0bd638cc07c3f959f1c8e72bc1b7b7a536a4.npz,58e735763f8afd8ddec5e4932542836dac566f75b9ec18a6864286e8387bbc65,39ba384a07bece3ff9bcef310b5e0bd638cc07c3f959f1c8e72bc1b7b7a536a4,newly_executed
