kappa,h,reference_resolvable,parameter_source,parameter_source_sha,gate_hash,complete,historical_reused,newly_executed,combination_count,methods,p,budgets
0.3,0.4625,True,results/stage6_v1/legacy_b3/adaptive/cache/48f10dac5aefaab581973a3ee851233907eb17f8569ef901ee202de745db85b8.npz,f0b22032812ae624ad2e0f4f218de182aec93da12846e8a3b8e4be622c20ea46,10a9648e98039659abb8a83ba49c1bfeb7dcc8975ee04e539c864410e02f4ea9,True,0,18,18,"[""raw"", ""zne_quadratic"", ""sv""]","[0, 0.01, 0.05]","[10000, 100000]"
0.3,0.475,True,results/stage6_v1/legacy_b3/adaptive/cache/f571f5fe08d447d20f613dc4eec9df5bfe5f2d1a472c70d8a9f8511579b0fab9.npz,19e31d91959c8c8e8fe0e2e0726048460c2f6af085ed189405a9b351a3908cca,5a3b59068bf164c1c425fe7b353f2b5c9cc1f4009875df3218146db549cc5101,True,0,18,18,"[""raw"", ""zne_quadratic"", ""sv""]","[0, 0.01, 0.05]","[10000, 100000]"
0.3,0.4875,True,results/stage6_v1/legacy_b3/adaptive/cache/8467bcc2e954cde72596d42e55a681baa1e2b5f64f3016f4491114c265b503db.npz,60e6eeac01c06829ca60a9011135258a80877b460c30fc4be797920827546eaa,1067a61bc7ff1afbb221a28542bc7e087037405919c3497632e8fc41e7fdd988,True,0,18,18,"[""raw"", ""zne_quadratic"", ""sv""]","[0, 0.01, 0.05]","[10000, 100000]"
0.3,0.5,True,results/stage6_v1/legacy_b3/adaptive/cache/92d4006dfe874297edc7a86979571ad76a32dcb093b21030c29203d7a99dfd8e.npz,2eb3297eb292e5d8a8f3c44546d90b7eaca1c10fef3d60733fba4efc83c6b860,bc66732475697f26bc3deec18056eb065be06a4f466ac1571136f441d7515697,True,0,18,18,"[""raw"", ""zne_quadratic"", ""sv""]","[0, 0.01, 0.05]","[10000, 100000]"
0.3,0.5125,True,results/stage6_v1/legacy_b3/adaptive/cache/09b0b53e2c24a27769939feb504abd0f82c4ab313b2c839a137665b6ebf145e7.npz,3664a1240095c806741cb6ee5ed4e1c4ee554bff7a82e77cc3ea8784a63baf71,7af199b71b8fe02f40ac85e5188e472f68c53dd43329c32a8ddfdcdbd9cbc21e,True,0,18,18,"[""raw"", ""zne_quadratic"", ""sv""]","[0, 0.01, 0.05]","[10000, 100000]"
0.3,0.525,True,results/stage6_v1/legacy_b3/adaptive/cache/ecd8f72e2615a8dd2e0fe2d9bc64e80c7127717dd334340690db274e946414c6.npz,4cf132814a2c92495cb142b747635a5a12d0bbc71572edccb0135fea8f3c18e6,8addd345bff66b645b14ef3461ce400c62f3f6a838084133cf45dd8808bdfd83,True,0,18,18,"[""raw"", ""zne_quadratic"", ""sv""]","[0, 0.01, 0.05]","[10000, 100000]"
0.3,0.5375,True,results/stage6_v1/legacy_b3/adaptive/cache/9a83923b0c7e4b47dc9034bf884d3fc33c40ea938bddeb5a07d52ac39cd7096b.npz,c2efa39842b43411e066f34b943590427f92c9939cf237271d95ca2688d88cc5,22f40ddc9e998b0524b3006516cbfdd6181396eeea9852df2ad9ce6d1d0c559f,True,0,18,18,"[""raw"", ""zne_quadratic"", ""sv""]","[0, 0.01, 0.05]","[10000, 100000]"
0.3,0.55,True,results/stage6_v1/legacy_b3/adaptive/cache/6cdbbb18dddb4d8b0d2b68d9ead549c58db7bc125bef9b0708a314e967bc21d2.npz,024217b2d882b8f56bceb34b7901b409401ec1d4ff482e9164c3aa6d7fadd55a,18cf6cc3644dec282174ff016648d0365de768d86217b38dbcfed5af343b7e26,True,0,18,18,"[""raw"", ""zne_quadratic"", ""sv""]","[0, 0.01, 0.05]","[10000, 100000]"
0.3,0.5625,True,results/stage6_v1/legacy_b3/adaptive/cache/b439009de70cb4544a54f4dbf76a4ed677507c16e4f36e0f22d1ab55d7cd73ff.npz,82d22fa53632bbd8b8e3e7d69fab57ff60e69e3ba9c1055f32371701c4f6ea98,b6188d1f77151b66ba5504ca10a2f0ea71fe93d1ceae2185f74ba85699263355,True,0,18,18,"[""raw"", ""zne_quadratic"", ""sv""]","[0, 0.01, 0.05]","[10000, 100000]"
0.3,0.575,True,results/stage6_v1/legacy_b3/adaptive/cache/3be8c780198eb0bdfff18465fb4b13d44275abc235b2c5a903bd2011dfd556ee.npz,1b4660d94467c4b7881f3be85ed0dcbce524a00a08db70c834d219d8807c3c4e,b34c372227d1fc8ea193db6595107d9490a4529c05745db94a5e7760ae5385fd,True,0,18,18,"[""raw"", ""zne_quadratic"", ""sv""]","[0, 0.01, 0.05]","[10000, 100000]"
0.45,0.0125,True,results/stage6_v1/legacy_b3/adaptive/cache/926eaead11ef8c8f6b4a0ac2ff86ae59858354fe004fb63bc71bf74b7b3c75bc.npz,0b8ff32f5db8e0aeff2fedf2cfa3409bd26e7092a60c8c263fed34229b6c8b10,7bc8174a2bdf34dc38a4ef121fafb515cace5466b0f2f9f70bbdde45c3ecd333,True,18,0,18,"[""raw"", ""zne_quadratic"", ""sv""]","[0, 0.01, 0.05]","[10000, 100000]"
0.45,0.025,True,results/stage6_v1/legacy_b3/adaptive/cache/90a506bc0f9bb80cb81a208f3d54a3973ce5717d0006303bbf4a816070907961.npz,d8dd9c8fc9970b6101678ed41f50020e7e12a499daae203584a5d68e02bcc3ac,79fb2ef0063cabc9fb4694db691746c9570dda0aab8237c1bbeffaf134e2e409,True,18,0,18,"[""raw"", ""zne_quadratic"", ""sv""]","[0, 0.01, 0.05]","[10000, 100000]"
