category,record,archive,n,kappa,h,p,seconds,nfev,nit,pool_gradient_evaluations,simulated_shots,gate_weighted_simulated_shots,shared_counts_source,disposition,record_sha256
finite_measurement,results/stage6_v1/end_to_end/measurements/a5807558ccf5f973f00e0b1c1701f5e681f4616acb33462a4f26eb325fb18aa1.json,results/stage6_v1/end_to_end/measurements/a5807558ccf5f973f00e0b1c1701f5e681f4616acb33462a4f26eb325fb18aa1.npz,8,0.597,0.118,0.01,0.17207374999998137,0,0,0,3520000,450560000,,newly_executed,f28bfd53601c22a0e82339ca42f4eb7299dc6ccce47dde03eba67f15a6fbed1c
finite_measurement,results/stage6_v1/end_to_end/measurements/a581c237ca541f0d5e71358e0b6e05b45023b79d7509569470da51c443634fe7.json,results/stage6_v1/end_to_end/measurements/a581c237ca541f0d5e71358e0b6e05b45023b79d7509569470da51c443634fe7.npz,8,0.575,0.35,0,0.010705333028454334,0,0,0,0,0,results/stage6_v1/end_to_end/measurements/dd331ceb660cc77a69343557b9945ccb493310d3d93527278ec5ad4752c002b9.npz,new_analysis_of_shared_ZNE_counts_no_additional_quantum_samples,8dda7591bf8210d08f6fd9f74c4b66dfe384f92eab4b47ecabce56d4b498f48e
finite_measurement,results/stage6_v1/end_to_end/measurements/a5836d9afb1909a8b585cb7be516fcb51af2b766499afd8a9dbdae02a9a829f5.json,results/stage6_v1/end_to_end/measurements/a5836d9afb1909a8b585cb7be516fcb51af2b766499afd8a9dbdae02a9a829f5.npz,8,0.915,0.43,0,0.15365974995074794,0,0,0,3520000,337920000,,newly_executed,1390e80e5964dcf79e543b39187ae4c5cf756f2398a45d84459f0376a3094a7f
finite_measurement,results/stage6_v1/end_to_end/measurements/a5875587643aeea0794650d6d7475918159795101930faefe3e363e9d277b0ed.json,results/stage6_v1/end_to_end/measurements/a5875587643aeea0794650d6d7475918159795101930faefe3e363e9d277b0ed.npz,8,0.75,1.2,0,0.05008641700260341,0,0,0,3520000,1351663616,,newly_executed,de1c6ace19fdf1a47801bcce843d550dba1feae65248e6f39d70812a988ff8c7
finite_measurement,results/stage6_v1/end_to_end/measurements/a58b9c573d5ccf383d56931c11438b4b939eebbec258142693a50d31ab6fef8c.json,results/stage6_v1/end_to_end/measurements/a58b9c573d5ccf383d56931c11438b4b939eebbec258142693a50d31ab6fef8c.npz,8,0.65,1.1,0.05,0.02232645795447752,0,0,0,3520000,450560000,,newly_executed,dd2db7243bddc2f9f986165f16d277846561d2550c177aebc6742aee433a2517
finite_measurement,results/stage6_v1/end_to_end/measurements/a58c86e7707e9a1d43aea3232d9b94078559ce76e90d5ce0af823149e04adc70.json,results/stage6_v1/end_to_end/measurements/a58c86e7707e9a1d43aea3232d9b94078559ce76e90d5ce0af823149e04adc70.npz,8,0.9500000000000001,0.1,0.05,0.01262212498113513,0,0,0,0,0,results/stage6_v1/end_to_end/measurements/31a2c26123242d793cf3ecbd159ee1ffc9479058ec6d1125109dc2675c16d5ef.npz,new_analysis_of_shared_ZNE_counts_no_additional_quantum_samples,d7bb03811860b416aa94d7b663396b4aa3135592c6f5961e3a3e330440a5cd1b
finite_measurement,results/stage6_v1/end_to_end/measurements/a58ccfebf7f05bb54a5bfb1c61a254ff42fa14699a1874e9baf9a7887ee2eba5.json,results/stage6_v1/end_to_end/measurements/a58ccfebf7f05bb54a5bfb1c61a254ff42fa14699a1874e9baf9a7887ee2eba5.npz,8,0.663,0.585,0,0.014280624978709966,0,0,0,3520000,450560000,,newly_executed,9a04fcc4ade50dae517cc9bf09f6fa46d8a7ee5e17b406445cc05b8030fb810a
finite_measurement,results/stage6_v1/end_to_end/measurements/a58d4e17e06dca0bea7b636d4c5691bdedd18be053a75a3d6f84a2a4c197ca61.json,results/stage6_v1/end_to_end/measurements/a58d4e17e06dca0bea7b636d4c5691bdedd18be053a75a3d6f84a2a4c197ca61.npz,8,0.6,0.5,0.01,0.16489945800276473,0,0,0,3520000,450560000,,newly_executed,72eb176fe43e3d1ad203a69a6fa3062ca74ee3f934c9f24c92f89d73dd4a74df
finite_measurement,results/stage6_v1/end_to_end/measurements/a58f781bfc77350276190bb339d12818e2274601e2630d725d187d70f9270b6c.json,results/stage6_v1/end_to_end/measurements/a58f781bfc77350276190bb339d12818e2274601e2630d725d187d70f9270b6c.npz,8,0.539,0.093,0,0.03612920903833583,0,0,0,3520000,1341103744,,newly_executed,6133b8377d75877090b445ac77f6fe775cf3615488016b283c86d020200c59e4
finite_measurement,results/stage6_v1/end_to_end/measurements/a591ee8c2f02055a710d58d92df5c9cb85c921321c205cceeaa1a88a494e0640.json,results/stage6_v1/end_to_end/measurements/a591ee8c2f02055a710d58d92df5c9cb85c921321c205cceeaa1a88a494e0640.npz,8,0.6,1.3,0.01,0.011066750041209161,0,0,0,0,0,results/stage6_v1/end_to_end/measurements/313990329a3bc08fdfe846d2aa79b8ff18da128ee700c0f5ef652d19e6e7e304.npz,new_analysis_of_shared_ZNE_counts_no_additional_quantum_samples,4eb55cf2a1db952f073e50213531dc90c82dd29a979f3299aeeeeac92a87e96f
