pair_index,pair_type,method,p,trace_distance,XZ_total_variation,classical_minus_quantum,known_binary_single_copy_optimal_error,oracle_error_10k,oracle_error_100k,oracle_error_1M,D4_same_output,D5_same_output,D4_any_reject,D5_any_reject,interpretation,counts,independent_opposite_phase_labels
8,RN_feature_sides,H6,0.05,0.06531854049004976,0.042617082123532976,-0.022701458366516783,0.4673407297549751,0.0,0.0,0.0,True,True,True,True,Known_binary_measurement_templates_distinguish_while_some_frozen_outputs_do_not,results/stage6_v1/noise_diagnosability/pair_cache/32cbb822ae917987ced9669df1f1821fd16460b3d76d474e17e3f8b365690917.npz,False
9,RN_feature_sides,B3,0,0.1357613525448969,0.10477710586890793,-0.03098424667598898,0.4321193237275516,0.0,0.0,0.0,False,False,True,True,Known_binary_measurement_templates_distinguish_while_some_frozen_outputs_do_not,results/stage6_v1/noise_diagnosability/pair_cache/372a08f1f5290136cf9c92b568bca77b39002dd15fd06c731462f0a137fe1614.npz,False
9,RN_feature_sides,B3,0.01,0.24471241637171734,0.11917367100625445,-0.1255387453654629,0.3776437918141413,0.0,0.0,0.0,False,True,True,True,Known_binary_measurement_templates_distinguish_while_some_frozen_outputs_do_not,results/stage6_v1/noise_diagnosability/pair_cache/cfaba7de73bf52529b67e0289cd7a272a31fc082b8880e5ed916a4b39e57d1d8.npz,False
9,RN_feature_sides,B3,0.05,0.089074865302252,0.052369998667514045,-0.03670486663473796,0.455462567348874,0.0,0.0,0.0,True,True,True,True,Known_binary_measurement_templates_distinguish_while_some_frozen_outputs_do_not,results/stage6_v1/noise_diagnosability/pair_cache/c29c50bed07a207ae72303ea874cc5dfefa13780919c402d64f65da60496d1a2.npz,False
9,RN_feature_sides,H6,0,0.13353920646033754,0.10247431220579778,-0.03106489425453976,0.4332303967698312,0.0,0.0,0.0,False,False,True,True,Known_binary_measurement_templates_distinguish_while_some_frozen_outputs_do_not,results/stage6_v1/noise_diagnosability/pair_cache/2296b7ecfc99d0c956667260c4a6f23e04493ce1e18b857d9d120f5d96dee2ce.npz,False
9,RN_feature_sides,H6,0.01,0.19413274782374496,0.09099238322249531,-0.10314036460124965,0.40293362608812755,0.0,0.0,0.0,True,True,True,True,Known_binary_measurement_templates_distinguish_while_some_frozen_outputs_do_not,results/stage6_v1/noise_diagnosability/pair_cache/e53e931ba9a6d841d3e831fbb788734d901a0615f3ec5f76946f341c244b090d.npz,False
9,RN_feature_sides,H6,0.05,0.06484556539419407,0.038070957679901665,-0.02677460771429241,0.46757721730290297,0.0,0.0,0.0,True,True,True,True,Known_binary_measurement_templates_distinguish_while_some_frozen_outputs_do_not,results/stage6_v1/noise_diagnosability/pair_cache/9f08b6c570527b3468a0e17edefa5766b6ebf90233a435b6d06bb71fa84cb96e.npz,False
10,same_ferro_control,B3,0,0.017960330076922548,0.009894835888881785,-0.008065494188040763,0.4910198349615387,0.015625,0.0,0.0,True,True,False,False,Known_binary_measurement_templates_distinguish_while_some_frozen_outputs_do_not,results/stage6_v1/noise_diagnosability/pair_cache/ebe2caa2eb340f2d5657163898041949e9713956b2803ad13b556aca595559e6.npz,False
10,same_ferro_control,B3,0.01,0.0960306539816633,0.05164832546621357,-0.04438232851544973,0.45198467300916834,0.0,0.0,0.0,True,False,False,True,Known_binary_measurement_templates_distinguish_while_some_frozen_outputs_do_not,results/stage6_v1/noise_diagnosability/pair_cache/6a499fa9517c3477c3e89554127a930515b08abcd5945ef7d2e8ae7722c86b78.npz,False
10,same_ferro_control,B3,0.05,0.25608240152466144,0.13684482430915657,-0.11923757721550488,0.3719587992376693,0.0,0.0,0.0,True,True,True,True,Known_binary_measurement_templates_distinguish_while_some_frozen_outputs_do_not,results/stage6_v1/noise_diagnosability/pair_cache/9af4f3af0c01b9f008bde4d63418c7f914d21434f48aebdd0d246cdac7f22b48.npz,False
10,same_ferro_control,H6,0,0.016866960928860475,0.009312207523128953,-0.007554753405731522,0.49156651953556973,0.078125,0.0,0.0,True,True,False,False,Known_binary_measurement_templates_distinguish_while_some_frozen_outputs_do_not,results/stage6_v1/noise_diagnosability/pair_cache/81c66e250bd511798ba7428c3f75a9c1245f476135a222fc42067e7aeff00169.npz,False
