window,h,p,epsilon_c,epsilon_sf,epsilon_mx,branch_sensitive,both_preparations_pass
W2,0.2875,0,8.187238499646199e-05,2.2684853807297678e-05,1.1282131531842321e-05,False,True
W2,0.2875,0.01,0.021321391341978024,0.011283805811654779,0.060943454655745743,True,True
W2,0.2875,0.05,0.006024674850406218,0.0016400981988212021,0.008497332268831356,False,True
W2,0.3,0,0.0001291716914845198,4.5985378823942824e-05,3.6439859692760646e-06,False,True
W2,0.3,0.01,0.022917292620354468,0.011924693180048518,0.0601263254408331,True,True
W2,0.3,0.05,0.006184373899332074,0.0016782979579307716,0.008476639859138338,False,True
W2,0.3125,0,0.00018664583438443572,7.480393392644835e-05,2.266642096604432e-05,False,True
W2,0.3125,0.01,0.024729535732399444,0.01270799279504975,0.05898856864445548,True,True
W2,0.3125,0.05,0.00638614517217944,0.0017253107861912725,0.008395504758100823,False,True
W2,0.325,0,0.0002594602171503979,0.00011222514197761768,4.6291781887142225e-05,False,True
W2,0.325,0.01,0.026624595203810164,0.013694118815436473,0.05741663327873518,True,True
W2,0.325,0.05,0.006609226850676268,0.0017749794637287042,0.008209936238685751,False,True
W2,0.3375,0,0.0003380635784825392,0.0001531544102577609,7.057878548721863e-05,False,True
W2,0.3375,0.01,0.028371030354537696,0.014537536450869526,0.05550528695125635,True,True
W2,0.3375,0.05,0.006816470616561099,0.0018225922508691844,0.008006507033985963,False,True
W2,0.35,0,0.00018421395025858267,9.278724677663774e-05,4.213368355743263e-05,False,True
W2,0.35,0.01,0.07554369969795882,0.03976944335581106,0.005624375093522593,True,True
W2,0.35,0.05,0.018398485683863725,0.00483438714985629,0.0034891507277766687,False,True
W2,0.3625,0,0.00021283059903653978,0.000114074361195593,5.9922609835338925e-05,False,True
W2,0.3625,0.01,0.07554290937285285,0.03932793337732071,0.002639284776196793,True,True
W2,0.3625,0.05,0.01859141479220741,0.00486664866522496,0.004214976541612216,False,True
W2,0.375,0,0.00022541350170524055,0.00012474313001076265,6.600419385621725e-05,False,True
W2,0.375,0.01,0.07546987795602073,0.038858083753982364,0.0005790447938352761,True,True
W2,0.375,0.05,0.018784428741947242,0.004901098592385161,0.005009300800256545,False,True
W2,0.3875,0,0.00018731912643910054,0.00010737514126457626,5.707304544616543e-05,False,True
W2,0.3875,0.01,0.0756631921423272,0.03853471089653904,0.004348763882462803,True,True
W2,0.3875,0.05,0.01906627468843054,0.004965454488840754,0.005966303512072179,False,True
W2,0.4,0,0.00012140083086409348,7.418239967893481e-05,3.894763200218421e-05,False,True
W2,0.4,0.01,0.07529752843987292,0.037632180614622035,0.007881936099427916,True,True
W2,0.4,0.05,0.01927186451422727,0.004998592515297079,0.006844002860702417,False,True
W2,0.4125,0,5.6848667437048306e-05,2.9304190868884028e-05,1.38382675244908e-05,False,True
W2,0.4125,0.01,0.07474915999896081,0.03651747402941585,0.011436854087651216,True,True
W2,0.4125,0.05,0.019465138881068593,0.005026445951071129,0.007737126783834255,False,True
W2,0.425,0,3.32356685834867e-05,1.0893527880723175e-05,1.0894976840702952e-06,False,True
W2,0.425,0.01,0.07392100918401107,0.03522690282407803,0.01493886905172609,True,True
W2,0.425,0.05,0.01961975708996452,0.005045487302202445,0.008616989148694257,False,True
W2,0.4375,0,6.527081774632126e-05,1.5904279405162813e-05,9.634842826566903e-06,False,True
W2,0.4375,0.01,0.07161004825376477,0.03273409912503744,0.01681529803141374,True,True
W2,0.4375,0.05,0.019496195761676712,0.004966522285028918,0.009015744323446331,False,True
W2,0.45,0,6.21540552578903e-05,1.4669958085300472e-05,4.78205223325423e-06,False,True
W2,0.45,0.01,0.07021552823635452,0.031151050221415177,0.019908194642474397,True,True
W2,0.45,0.05,0.019549551777645082,0.0049806076155676365,0.009801450878299076,False,True
W2,0.4625,0,6.243716637843733e-05,2.836675413697698e-05,9.463526287500912e-06,False,True
W2,0.4625,0.01,0.06732301406011015,0.02854091357941474,0.021020915358884784,True,True
