window,chain,p,feature,stride,h,value,derivative
W1,W1/ascending/seed307,0,mx,2,0.875,0.531902993705938,0.8844455257872923
W1,W1/ascending/seed307,0,mx,2,0.9,0.5541008037399253,0.8875884860553658
W1,W1/ascending/seed307,0,mx,2,0.925,0.5762824180087063,0.8828939080131519
W1,W1/ascending/seed307,0,mx,2,0.95,0.598245499140583,0.8701542614655562
W1,W1/ascending/seed307,0,mx,2,0.975,0.6197901310819839,0.8496678850703656
W1,W1/ascending/seed307,0,mx,2,1.0,0.6407288933941013,0.8221439880397945
W1,W1/ascending/seed307,0,mx,2,1.025,0.6608973304839737,0.7887910017296846
W1,W1/ascending/seed307,0,mx,2,1.05,0.6801684434805856,0.7508762514355833
W1,W1/ascending/seed307,0,mx,2,1.075,0.6984411430557529,0.7098786966217325
W1,W1/ascending/seed307,0,mx,2,1.1,0.7156623783116722,0.6672326695304243
W1,W1/ascending/seed307,0,mx,2,1.125,0.7318027765322741,0.6240663529410728
W1,W1/ascending/seed307,0,mx,2,1.15,0.7468656959587258,0.5814374016274169
W1,W1/ascending/seed307,0,mx,2,1.175,0.760874646613645,0.5401523549267768
W1,W1/ascending/seed307,0,mx,2,1.2,0.7738733137050646,0.5007996221715505
W1,W1/ascending/seed307,0,mx,2,1.225,0.7859146277222225,0.4636902681474453
W1,W1/ascending/seed307,0,mx,2,1.25,0.7970578271124369,0.4277656830697012
W1,W1/ascending/seed307,0,mx,1,0.75,0.4263863816786277,0.7857024116550129
W1,W1/ascending/seed307,0,mx,1,0.7625,0.4362916855062596,0.7991462007660921
W1,W1/ascending/seed307,0,mx,1,0.775,0.44636503669778005,0.8123226367891618
W1,W1/ascending/seed307,0,mx,1,0.7875,0.4565997514259887,0.825026701530831
W1,W1/ascending/seed307,0,mx,1,0.8,0.4669907042360508,0.8370800787094126
W1,W1/ascending/seed307,0,mx,1,0.8125,0.47752675339372397,0.8481945609862542
W1,W1/ascending/seed307,0,mx,1,0.825,0.4881955682607071,0.8583491876613749
W1,W1/ascending/seed307,0,mx,1,0.8375,0.49898548308525836,0.8673183675941409
W1,W1/ascending/seed307,0,mx,1,0.85,0.5098785274505606,0.8749103032281589
W1,W1/ascending/seed307,0,mx,1,0.8625,0.5208582406659623,0.8809786502150949
W1,W1/ascending/seed307,0,mx,1,0.875,0.531902993705938,0.8853283424998928
W1,W1/ascending/seed307,0,mx,1,0.8875,0.5429914492284595,0.8879124013594932
W1,W1/ascending/seed307,0,mx,1,0.9,0.5541008037399253,0.8885555500823337
W1,W1/ascending/seed307,0,mx,1,0.9125,0.5652053379805179,0.8872645707512383
W1,W1/ascending/seed307,0,mx,1,0.925,0.5762824180087063,0.8839489520205426
W1,W1/ascending/seed307,0,mx,1,0.9375,0.5873040617810315,0.8785232452750726
W1,W1/ascending/seed307,0,mx,1,0.95,0.598245499140583,0.8711348699338686
W1,W1/ascending/seed307,0,mx,1,0.9625,0.6090824335293782,0.8617852776560362
W1,W1/ascending/seed307,0,mx,1,0.975,0.6197901310819839,0.8505248232777909
W1,W1/ascending/seed307,0,mx,1,0.9875,0.630345554111323,0.837550492484695
W1,W1/ascending/seed307,0,mx,1,1.0,0.6407288933941013,0.8228891846194273
W1,W1/ascending/seed307,0,mx,1,1.0125,0.6509177837268086,0.8067374835948975
W1,W1/ascending/seed307,0,mx,1,1.025,0.6608973304839737,0.7893772117462206
W1,W1/ascending/seed307,0,mx,1,1.0375,0.6706522140204643,0.7708445198644718
W1,W1/ascending/seed307,0,mx,1,1.05,0.6801684434805856,0.7512936230761227
W1,W1/ascending/seed307,0,mx,1,1.0625,0.6894345545973672,0.7309079830066949
W1,W1/ascending/seed307,0,mx,1,1.075,0.6984411430557529,0.7100605128385347
W1,W1/ascending/seed307,0,mx,1,1.0875,0.7071860674183306,0.6888494102367702
W1,W1/ascending/seed307,0,mx,1,1.1,0.7156623783116722,0.6673058610891118
W1,W1/ascending/seed307,0,mx,1,1.1125,0.7238687139455584,0.6456159288240748
W1,W1/ascending/seed307,0,mx,1,1.125,0.7318027765322741,0.6239967439498173
W1,W1/ascending/seed307,0,mx,1,1.1375,0.7394686325443037,0.6025167770580708
W1,W1/ascending/seed307,0,mx,1,1.15,0.7468656959587258,0.5812810946365161
W1,W1/ascending/seed307,0,mx,1,1.1625,0.7540006599102167,0.5603580261967629
W1,W1/ascending/seed307,0,mx,1,1.175,0.760874646613645,0.5398346364281572
W1,W1/ascending/seed307,0,mx,1,1.1875,0.7674965258209205,0.5199466836567872
W1,W1/ascending/seed307,0,mx,1,1.2,0.7738733137050646,0.5005196445026883
W1,W1/ascending/seed307,0,mx,1,1.2125,0.7800095169334877,0.4816525606863138
W1,W1/ascending/seed307,0,mx,1,1.225,0.7859146277222225,0.46337539132965233
W1,W1/ascending/seed307,0,mx,1,1.2375,0.791593901716729,0.4457279756085768
W1,W1/ascending/seed307,0,mx,1,1.25,0.7970578271124369,0.42850008770467696
W1,W1/ascending/seed307,0.01,order,4,0.75,0.3388814162900593,0.1288872900893301
W1,W1/ascending/seed307,0.01,order,4,0.8,0.33167497032934495,0.1593705483392398
W1,W1/ascending/seed307,0.01,order,4,0.85,0.32294436145613525,0.18861687373586644
W1,W1/ascending/seed307,0.01,order,4,0.9,0.3128132829557584,0.21736476212846068
W1,W1/ascending/seed307,0.01,order,4,0.95,0.3012078852432891,0.2360372567095963
W1,W1/ascending/seed307,0.01,order,4,1.0,0.28920955728479886,0.2411055659352157
W1,W1/ascending/seed307,0.01,order,4,1.05,0.27709732864976755,0.24087117288847626
W1,W1/ascending/seed307,0.01,order,4,1.1,0.2651224399959512,0.22841463431208542
W1,W1/ascending/seed307,0.01,order,4,1.15,0.2542558652185591,0.20751476185150652
W1,W1/ascending/seed307,0.01,order,4,1.2,0.2443709638108005,0.19043442585639214
W1,W1/ascending/seed307,0.01,order,4,1.25,0.23521242263291986,0.17590722125883307
W1,W1/ascending/seed307,0.01,order,2,0.75,0.3388814162900593,0.14009609111704524
W1,W1/ascending/seed307,0.01,order,2,0.775,0.33532860366091766,0.14412891921428628
W1,W1/ascending/seed307,0.01,order,2,0.8,0.33167497032934495,0.15880902807560293
W1,W1/ascending/seed307,0.01,order,2,0.825,0.3273881522571376,0.17461217746419333
W1,W1/ascending/seed307,0.01,order,2,0.85,0.32294436145613525,0.19001702071190163
W1,W1/ascending/seed307,0.01,order,2,0.875,0.31788730122154246,0.2026215700075369
W1,W1/ascending/seed307,0.01,order,2,0.9,0.3128132829557584,0.2153001614375336
W1,W1/ascending/seed307,0.01,order,2,0.925,0.30712229314966577,0.23210795424938624
W1,W1/ascending/seed307,0.01,order,2,0.95,0.3012078852432891,0.2349916852490237
W1,W1/ascending/seed307,0.01,order,2,0.975,0.29537270888721456,0.23996655916980547
W1,W1/ascending/seed307,0.01,order,2,1.0,0.28920955728479886,0.24235736599361601
W1,W1/ascending/seed307,0.01,order,2,1.025,0.2832548405875338,0.24224457270062594
W1,W1/ascending/seed307,0.01,order,2,1.05,0.27709732864976755,0.2444003459563593
W1,W1/ascending/seed307,0.01,order,2,1.075,0.27103482328971584,0.23949777307632747
W1,W1/ascending/seed307,0.01,order,2,1.1,0.2651224399959512,0.22585449717198447
W1,W1/ascending/seed307,0.01,order,2,1.125,0.2597420984311166,0.21733149554784337
W1,W1/ascending/seed307,0.01,order,2,1.15,0.2542558652185591,0.21469900016223864
W1,W1/ascending/seed307,0.01,order,2,1.175,0.24900714842300464,0.19769802815517146
W1,W1/ascending/seed307,0.01,order,2,1.2,0.2443709638108005,0.18653128736400326
W1,W1/ascending/seed307,0.01,order,2,1.225,0.23968058405480444,0.18317082355761283
W1,W1/ascending/seed307,0.01,order,2,1.25,0.23521242263291986,0.17428209019315766
W1,W1/ascending/seed307,0.01,order,1,0.75,0.3388814162900593,0.13498882382742394
W1,W1/ascending/seed307,0.01,order,1,0.7625,0.3371495329838525,0.14211250516566487
W1,W1/ascending/seed307,0.01,order,1,0.775,0.33532860366091766,0.1493287707596842
W1,W1/ascending/seed307,0.01,order,1,0.7875,0.33341631371486036,0.14614533326290946
W1,W1/ascending/seed307,0.01,order,1,0.8,0.33167497032934495,0.15347349977689895
W1,W1/ascending/seed307,0.01,order,1,0.8125,0.3295794762204379,0.1714727228882964
W1,W1/ascending/seed307,0.01,order,1,0.825,0.3273881522571376,0.1800638273654922
W1,W1/ascending/seed307,0.01,order,1,0.8375,0.3250778805363006,0.17775163204009203
W1,W1/ascending/seed307,0.01,order,1,0.85,0.32294436145613525,0.1840698234071212
W1,W1/ascending/seed307,0.01,order,1,0.8625,0.3204761349511226,0.20228240938371123
W1,W1/ascending/seed307,0.01,order,1,0.875,0.31788730122154246,0.20974870606081808
W1,W1/ascending/seed307,0.01,order,1,0.8875,0.31523241729960216,0.20296073063136255
W1,W1/ascending/seed307,0.01,order,1,0.9,0.3128132829557584,0.2084628885816997
W1,W1/ascending/seed307,0.01,order,1,0.9125,0.31002084508505967,0.22763959224370467
W1,W1/ascending/seed307,0.01,order,1,0.925,0.30712229314966577,0.23321413959021875
W1,W1/ascending/seed307,0.01,order,1,0.9375,0.3041904915953042,0.2365763162550678
W1,W1/ascending/seed307,0.01,order,1,0.95,0.3012078852432891,0.23109002086287056
W1,W1/ascending/seed307,0.01,order,1,0.9625,0.29841324107373246,0.23340705424298136
W1,W1/ascending/seed307,0.01,order,1,0.975,0.29537270888721456,0.24436141026606073
W1,W1/ascending/seed307,0.01,order,1,0.9875,0.29230420581708094,0.24652606409662958
W1,W1/ascending/seed307,0.01,order,1,1.0,0.28920955728479886,0.24796795881009004
W1,W1/ascending/seed307,0.01,order,1,1.0125,0.2861050068468287,0.23818866789060245
W1,W1/ascending/seed307,0.01,order,1,1.025,0.2832548405875338,0.23728029108614557
W1,W1/ascending/seed307,0.01,order,1,1.0375,0.280172999569675,0.24630047751064765
W1,W1/ascending/seed307,0.01,order,1,1.05,0.27709732864976755,0.24492075791827084
W1,W1/ascending/seed307,0.01,order,1,1.0625,0.27404998062171826,0.24250021440206915
W1,W1/ascending/seed307,0.01,order,1,1.075,0.27103482328971584,0.23972113514060567
W1,W1/ascending/seed307,0.01,order,1,1.0875,0.26805695224320314,0.23649533175058401
W1,W1/ascending/seed307,0.01,order,1,1.1,0.2651224399959512,0.21955135378621016
W1,W1/ascending/seed307,0.01,order,1,1.1125,0.26256816839854785,0.21521366259338492
W1,W1/ascending/seed307,0.01,order,1,1.125,0.2597420984311166,0.2238826678100132
W1,W1/ascending/seed307,0.01,order,1,1.1375,0.25697110170329757,0.2194493285023018
W1,W1/ascending/seed307,0.01,order,1,1.15,0.2542558652185591,0.2148364468360171
W1,W1/ascending/seed307,0.01,order,1,1.1625,0.2516001905323971,0.20994867182217725
W1,W1/ascending/seed307,0.01,order,1,1.175,0.24900714842300464,0.19076608648720317
W1,W1/ascending/seed307,0.01,order,1,1.1875,0.24683103837021708,0.18544738448816567
W1,W1/ascending/seed307,0.01,order,1,1.2,0.2443709638108005,0.1942954382108848
W1,W1/ascending/seed307,0.01,order,1,1.2125,0.24197365241494498,0.18761519023984086
W1,W1/ascending/seed307,0.01,order,1,1.225,0.23968058405480444,0.18245884739060259
W1,W1/ascending/seed307,0.01,order,1,1.2375,0.23741218123017993,0.1787264568753848
W1,W1/ascending/seed307,0.01,order,1,1.25,0.23521242263291986,0.1732349186862301
W1,W1/ascending/seed307,0.01,mx,4,0.75,0.2695285879970141,0.3387034589444262
W1,W1/ascending/seed307,0.01,mx,4,0.8,0.2871377765835404,0.36566408451662724
W1,W1/ascending/seed307,0.01,mx,4,0.85,0.3060949964486768,0.3950741789760346
W1,W1/ascending/seed307,0.01,mx,4,0.9,0.3266451944811439,0.39550713540037385
W1,W1/ascending/seed307,0.01,mx,4,0.95,0.3456457099887142,0.3996612162536741
W1,W1/ascending/seed307,0.01,mx,4,1.0,0.3666113161065113,0.41130076578467634
W1,W1/ascending/seed307,0.01,mx,4,1.05,0.38677578656718187,0.3726793803566091
W1,W1/ascending/seed307,0.01,mx,4,1.1,0.4038792541421723,0.34784255067114866
W1,W1/ascending/seed307,0.01,mx,4,1.15,0.4215600416342967,0.33491095080385325
W1,W1/ascending/seed307,0.01,mx,4,1.2,0.43737034922255746,0.2840618522674889
W1,W1/ascending/seed307,0.01,mx,4,1.25,0.44996622686104565,0.21977325327203978
W1,W1/ascending/seed307,0.01,mx,2,0.75,0.2695285879970141,0.2656728030775879
W1,W1/ascending/seed307,0.01,mx,2,0.775,0.27725179518211557,0.35218377173052584
W1,W1/ascending/seed307,0.01,mx,2,0.8,0.2871377765835404,0.3666545382603532
W1,W1/ascending/seed307,0.01,mx,2,0.825,0.29558452209513325,0.37914439730272953
W1,W1/ascending/seed307,0.01,mx,2,0.85,0.3060949964486768,0.3912862006038882
W1,W1/ascending/seed307,0.01,mx,2,0.875,0.3151488321253277,0.4110039606493405
W1,W1/ascending/seed307,0.01,mx,2,0.9,0.3266451944811439,0.41915111513993963
