name,kappa,h,layers,seed,source,reference_source,archive,archive_sha256,end_to_end_seconds,cache_status,created_utc,energy,nit,nfev,njev,optimization_success,status,message,gradient_inf,seconds,ed_energy,delta_e,fidelity,epsilon_c,epsilon_sf,epsilon_mx,mx,observable_pass,state_pass,joint_pass,failed_metrics,window,direction,chain,grid_index
C_W3_ascending_seed101_i50,0.8,0.625,6,101,results/stage4_v1/optimization/C_W3_ascending_seed101_i49.npz,results/stage4_v1/reference_supplement/k0x1.999999999999ap-1_h0x1.4000000000000p-1.npz,results/stage4_v1/optimization/C_W3_ascending_seed101_i50.npz,5bcd307acb0ce264b35ab960a5fe15690ce3bcf41319d9a670caf88c1f44c7cb,0.05195850000018254,executed,2026-09-22T05:44:59.606603+00:00,-7.699616140161027,177,189,189,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.3022294240272458e-05,0.04955049999989569,-7.702779492779342,0.0003954190772894606,0.9994622451676809,0.005095748787681376,0.0015336952986607921,0.0005377256495199267,0.6254336479454836,True,True,True,[],W3,ascending,W3/ascending/seed101,50
C_W3_ascending_seed101_i51,0.8,0.6375,6,101,results/stage4_v1/optimization/C_W3_ascending_seed101_i50.npz,results/stage4_v1/reference_supplement/k0x1.999999999999ap-1_h0x1.4666666666666p-1.npz,results/stage4_v1/optimization/C_W3_ascending_seed101_i51.npz,3802ce32c5f70b1cfeddae6ef7812ec1402546e7db9f682aadc941decf4e2b3d,0.05222583300201222,executed,2026-09-22T05:44:59.659654+00:00,-7.762883354042928,176,190,190,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2.2615283835847322e-05,0.05003929199301638,-7.766098151880766,0.0004018497297297863,0.9994472975052807,0.004859462580859009,0.0014926431843871046,0.0004919319637176622,0.6397923713266648,True,True,True,[],W3,ascending,W3/ascending/seed101,51
C_W3_ascending_seed101_i52,0.8,0.65,6,101,results/stage4_v1/optimization/C_W3_ascending_seed101_i51.npz,results/stage3_v1/reference_supplement/k0.800_h0.650.npz,results/stage4_v1/optimization/C_W3_ascending_seed101_i52.npz,53c99d6b2cd12ddc1b2180161b3097c66d8311d13c4f99fecffaba0cea602dc7,0.0503787089837715,executed,2026-09-22T05:44:59.710874+00:00,-7.8275505504736875,168,181,181,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.1259556935705461e-05,0.04764345899457112,-7.830812674271293,0.00040776547470067204,0.9994312938977533,0.004651960495673402,0.0014627537679731129,0.0004546993464407123,0.6534325850686229,True,True,True,[],W3,ascending,W3/ascending/seed101,52
C_W3_ascending_seed101_i53,0.8,0.6625,6,101,results/stage4_v1/optimization/C_W3_ascending_seed101_i52.npz,results/stage4_v1/reference_supplement/k0x1.999999999999ap-1_h0x1.5333333333333p-1.npz,results/stage4_v1/optimization/C_W3_ascending_seed101_i53.npz,0f0ce558325272221b7f4fa29856813e1cd89a4f7d535a4d3f40e0f9e5786659,0.053600915998686105,executed,2026-09-22T05:44:59.765387+00:00,-7.893546427489083,179,195,195,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,5.647095621341691e-05,0.051308541995240375,-7.896851862087638,0.00041317932481932385,0.9994157246316925,0.004452342106776919,0.0014516642940180513,0.0004101748205886935,0.6663680505942916,True,True,True,[],W3,ascending,W3/ascending/seed101,53
C_W3_ascending_seed101_i54,0.8,0.675,6,101,results/stage4_v1/optimization/C_W3_ascending_seed101_i53.npz,results/stage4_v1/reference_supplement/k0x1.999999999999ap-1_h0x1.599999999999ap-1.npz,results/stage4_v1/optimization/C_W3_ascending_seed101_i54.npz,4e34429e8926fecf2d8618922fee681376ce306381c1b55cfeb26d2f255bc897,0.054981916007818654,executed,2026-09-22T05:44:59.821225+00:00,-7.96080106932112,191,201,201,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,4.1992803005541646e-05,0.05274345798534341,-7.964144865035655,0.00041797446431679486,0.9994019958171408,0.004251163498391719,0.0014326939312073184,0.0003545327643842411,0.6786112945203231,True,True,True,[],W3,ascending,W3/ascending/seed101,54
C_W3_ascending_seed101_i55,0.8,0.6875,6,101,results/stage4_v1/optimization/C_W3_ascending_seed101_i54.npz,results/stage4_v1/reference_supplement/k0x1.999999999999ap-1_h0x1.6000000000000p-1.npz,results/stage4_v1/optimization/C_W3_ascending_seed101_i55.npz,24fd9dce7832651a37ad3f12f4c4e6fabe9e8696dc2077bb0037d5f3081d3584,0.05542395802331157,executed,2026-09-22T05:44:59.877503+00:00,-8.029246636455497,187,203,203,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.077763255263875e-05,0.053182041010586545,-8.032622156179995,0.0004219399655622791,0.9993914017560992,0.004036218788357082,0.001400944547754468,0.00027807512328248407,0.6901894356723186,True,True,True,[],W3,ascending,W3/ascending/seed101,55
C_W3_ascending_seed101_i56,0.8,0.7,6,101,results/stage4_v1/optimization/C_W3_ascending_seed101_i55.npz,results/baseline/grid_n8.npz,results/stage4_v1/optimization/C_W3_ascending_seed101_i56.npz,59569ff91e5a521387e747ba221c67aa647759f8414077222c67bac10041df2a,0.05519058299250901,executed,2026-09-22T05:44:59.933546+00:00,-8.098817774659189,184,203,203,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.5521303669885356e-05,0.05322983401129022,-8.102216301849111,0.0004248158987403272,0.9993851259895078,0.0037883713335620794,0.0013502467450404732,0.00017877875264049603,0.701128615512451,True,True,True,[],W3,ascending,W3/ascending/seed101,56
C_W3_ascending_seed101_i57,0.8,0.7125,6,101,results/stage4_v1/optimization/C_W3_ascending_seed101_i56.npz,results/stage4_v1/reference_supplement/k0x1.999999999999ap-1_h0x1.6cccccccccccdp-1.npz,results/stage4_v1/optimization/C_W3_ascending_seed101_i57.npz,929455699362ad4db607e9218e52a3ac14f53e160b13e7f85a797058bee62fd7,0.05412991699995473,executed,2026-09-22T05:44:59.988549+00:00,-8.16945180699631,184,197,197,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.0203404544384398e-05,0.0518017080030404,-8.172862536708129,0.0004263412139773326,0.999383492469737,0.003517991474013993,0.0012841936516802543,6.19377359751816e-05,0.7114524961265738,True,True,True,[],W3,ascending,W3/ascending/seed101,57
C_W3_ascending_seed101_i58,0.8,0.725,6,101,results/stage4_v1/optimization/C_W3_ascending_seed101_i57.npz,results/stage4_v1/reference_supplement/k0x1.999999999999ap-1_h0x1.7333333333333p-1.npz,results/stage4_v1/optimization/C_W3_ascending_seed101_i58.npz,85f1a801af33fe675f3cac994e4e46e4c016a82690b8a3c07d5dc98732a5b0be,0.05849049999960698,executed,2026-09-22T05:45:00.047914+00:00,-8.241088813980813,199,213,213,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,9.01772949646329e-06,0.056023041979642585,-8.244499163944933,0.0004262937455150606,0.9993867500957508,0.003212202810002507,0.001199534923682688,7.125406863806028e-05,0.7211920473899742,True,True,True,[],W3,ascending,W3/ascending/seed101,58
C_W3_ascending_seed101_i59,0.8,0.7375,6,101,results/stage4_v1/optimization/C_W3_ascending_seed101_i58.npz,results/stage4_v1/reference_supplement/k0x1.999999999999ap-1_h0x1.799999999999ap-1.npz,results/stage4_v1/optimization/C_W3_ascending_seed101_i59.npz,feb7575f820a057b0eb0b1939ff67a4b31bf17459d0c7a73c0f897d04918de58,0.05456499999854714,executed,2026-09-22T05:45:00.103327+00:00,-8.313671653580922,182,199,199,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.5713991359689317e-05,0.052233791997423396,-8.31706780525942,0.00042451895981221455,0.9993944519461516,0.002960734399096887,0.0011298239209313887,0.00021286725856961564,0.7303733398619701,True,True,True,[],W3,ascending,W3/ascending/seed101,59
