metric_path,value
/equal_resource/15/sampling_MSE,5.104934100130673e-07
/equal_resource/15/shots,299998.0
/equal_resource/15/G,31379790.8
/equal_resource/15/settings,2.0
/equal_resource/16/mode,equal_gate
/equal_resource/16/budget,300000
/equal_resource/16/p,0.05
/equal_resource/16/method,sv
/equal_resource/16/n,45
/equal_resource/16/labelled,6
/equal_resource/16/MSE_ED,0.10224417941576913
/equal_resource/16/MSE_own_p0,0.10365467906783275
/equal_resource/16/bias_squared,0.10222370952384532
/equal_resource/16/sampling_MSE,1.5222393003345722e-05
/equal_resource/16/shots,299998.0
/equal_resource/16/G,31379790.8
/equal_resource/16/settings,30.0
/equal_resource/17/mode,equal_gate
/equal_resource/17/budget,300000
/equal_resource/17/p,0.05
/equal_resource/17/method,zne_quadratic
/equal_resource/17/n,45
/equal_resource/17/labelled,6
/equal_resource/17/MSE_ED,0.07873260338765375
/equal_resource/17/MSE_own_p0,0.08006832461238106
/equal_resource/17/bias_squared,0.07865778768850835
/equal_resource/17/sampling_MSE,2.4115906725950496e-05
/equal_resource/17/shots,100000.0
/equal_resource/17/G,31379790.8
/equal_resource/17/settings,6.0
/equal_resource/18/mode,equal_shots
/equal_resource/18/budget,100000
/equal_resource/18/p,0
/equal_resource/18/method,raw
/equal_resource/18/n,45
/equal_resource/18/labelled,6
/equal_resource/18/MSE_ED,9.60657855452891e-05
/equal_resource/18/MSE_own_p0,1.2529054087627125e-06
/equal_resource/18/bias_squared,9.487207949202038e-05
/equal_resource/18/sampling_MSE,1.2529054087626926e-06
/equal_resource/18/shots,100000.0
/equal_resource/18/G,10460000.0
/equal_resource/18/settings,2.0
/equal_resource/19/mode,equal_shots
/equal_resource/19/budget,100000
/equal_resource/19/p,0
/equal_resource/19/method,sv
/equal_resource/19/n,45
/equal_resource/19/labelled,6
/equal_resource/19/MSE_ED,0.00010417225735774962
/equal_resource/19/MSE_own_p0,9.98077537034104e-06
/equal_resource/19/bias_squared,9.48720794920205e-05
/equal_resource/19/sampling_MSE,9.980775370340954e-06
/equal_resource/19/shots,100000.0
/equal_resource/19/G,10460000.0
/equal_resource/19/settings,30.0
/equal_resource/20/mode,equal_shots
/equal_resource/20/budget,100000
/equal_resource/20/p,0
/equal_resource/20/method,zne_quadratic
/equal_resource/20/n,45
/equal_resource/20/labelled,6
/equal_resource/20/MSE_ED,0.00011654414990267506
/equal_resource/20/MSE_own_p0,1.9666096104844837e-05
/equal_resource/20/bias_squared,9.487207949202038e-05
/equal_resource/20/sampling_MSE,1.9666096104844854e-05
/equal_resource/20/shots,100000.0
/equal_resource/20/G,31379790.8
/equal_resource/20/settings,6.0
/equal_resource/21/mode,equal_shots
/equal_resource/21/budget,100000
/equal_resource/21/p,0.01
/equal_resource/21/method,raw
/equal_resource/21/n,45
/equal_resource/21/labelled,6
/equal_resource/21/MSE_ED,0.017541322149783718
/equal_resource/21/MSE_own_p0,0.01814735846084001
/equal_resource/21/bias_squared,0.017546168508247487
/equal_resource/21/sampling_MSE,1.4713206619520029e-06
/equal_resource/21/shots,100000.0
/equal_resource/21/G,10460000.0
/equal_resource/21/settings,2.0
/equal_resource/22/mode,equal_shots
/equal_resource/22/budget,100000
/equal_resource/22/p,0.01
/equal_resource/22/method,sv
/equal_resource/22/n,45
/equal_resource/22/labelled,6
/equal_resource/22/MSE_ED,0.012374165122429429
/equal_resource/22/MSE_own_p0,0.012892679102835366
/equal_resource/22/bias_squared,0.012363059138758844
/equal_resource/22/sampling_MSE,3.007235157730108e-05
/equal_resource/22/shots,100000.0
/equal_resource/22/G,10460000.0
/equal_resource/22/settings,30.0
/equal_resource/23/mode,equal_shots
/equal_resource/23/budget,100000
/equal_resource/23/p,0.01
/equal_resource/23/method,zne_quadratic
/equal_resource/23/n,45
/equal_resource/23/labelled,6
/equal_resource/23/MSE_ED,0.0015509048259330712
/equal_resource/23/MSE_own_p0,0.0016987111795857123
/equal_resource/23/bias_squared,0.001540077376890337
/equal_resource/23/sampling_MSE,2.480884746258262e-05
/equal_resource/23/shots,100000.0
/equal_resource/23/G,31379790.8
/equal_resource/23/settings,6.0
/equal_resource/24/mode,equal_shots
/equal_resource/24/budget,100000
/equal_resource/24/p,0.05
/equal_resource/24/method,raw
/equal_resource/24/n,45
/equal_resource/24/labelled,6
/equal_resource/24/MSE_ED,0.10511910645610391
/equal_resource/24/MSE_own_p0,0.10653044472918456
/equal_resource/24/bias_squared,0.10511665463553437
/equal_resource/24/sampling_MSE,1.4729724474995078e-06
/equal_resource/24/shots,100000.0
/equal_resource/24/G,10460000.0
/equal_resource/24/settings,2.0
/equal_resource/25/mode,equal_shots
/equal_resource/25/budget,100000
/equal_resource/25/p,0.05
/equal_resource/25/method,sv
/equal_resource/25/n,45
/equal_resource/25/labelled,6
/equal_resource/25/MSE_ED,0.10226570899029414
/equal_resource/25/MSE_own_p0,0.10367574161807093
/equal_resource/25/bias_squared,0.10222370952384537
/equal_resource/25/sampling_MSE,4.553957159094709e-05
/equal_resource/25/shots,100000.0
/equal_resource/25/G,10460000.0
/equal_resource/25/settings,30.0
/equal_resource/26/mode,equal_shots
/equal_resource/26/budget,100000
/equal_resource/26/p,0.05
/equal_resource/26/method,zne_quadratic
/equal_resource/26/n,45
/equal_resource/26/labelled,6
/equal_resource/26/MSE_ED,0.07864203457606779
/equal_resource/26/MSE_own_p0,0.07997651464481138
/equal_resource/26/bias_squared,0.07865778768850835
/equal_resource/26/sampling_MSE,2.445942679283542e-05
/equal_resource/26/shots,100000.0
/equal_resource/26/G,31379790.8
/equal_resource/26/settings,6.0
/paired/0/mode,equal_gate
/paired/0/budget,100000
/paired/0/p,0
/paired/0/method,zne_quadratic
/paired/0/n,45
/paired/0/better,0
/paired/0/worse,45
/paired/1/mode,equal_gate
/paired/1/budget,100000
/paired/1/p,0
/paired/1/method,sv
/paired/1/n,45
/paired/1/better,2
/paired/1/worse,43
/paired/2/mode,equal_gate
/paired/2/budget,100000
/paired/2/p,0.01
/paired/2/method,zne_quadratic
/paired/2/n,45
/paired/2/better,45
/paired/2/worse,0
/paired/3/mode,equal_gate
/paired/3/budget,100000
/paired/3/p,0.01
/paired/3/method,sv
/paired/3/n,45
/paired/3/better,45
/paired/3/worse,0
/paired/4/mode,equal_gate
/paired/4/budget,100000
/paired/4/p,0.05
/paired/4/method,zne_quadratic
/paired/4/n,45
/paired/4/better,45
/paired/4/worse,0
/paired/5/mode,equal_gate
/paired/5/budget,100000
/paired/5/p,0.05
/paired/5/method,sv
/paired/5/n,45
/paired/5/better,40
/paired/5/worse,5
/paired/6/mode,equal_gate
/paired/6/budget,300000
/paired/6/p,0
/paired/6/method,zne_quadratic
/paired/6/n,45
/paired/6/better,1
/paired/6/worse,44
/paired/7/mode,equal_gate
/paired/7/budget,300000
/paired/7/p,0
/paired/7/method,sv
/paired/7/n,45
/paired/7/better,4
/paired/7/worse,41
/paired/8/mode,equal_gate
/paired/8/budget,300000
/paired/8/p,0.01
/paired/8/method,zne_quadratic
/paired/8/n,45
/paired/8/better,45
/paired/8/worse,0
/paired/9/mode,equal_gate
/paired/9/budget,300000
/paired/9/p,0.01
/paired/9/method,sv
/paired/9/n,45
/paired/9/better,45
/paired/9/worse,0
/paired/10/mode,equal_gate
/paired/10/budget,300000
/paired/10/p,0.05
/paired/10/method,zne_quadratic
/paired/10/n,45
/paired/10/better,45
/paired/10/worse,0
/paired/11/mode,equal_gate
/paired/11/budget,300000
/paired/11/p,0.05
/paired/11/method,sv
/paired/11/n,45
/paired/11/better,43
/paired/11/worse,2
/paired/12/mode,equal_shots
/paired/12/budget,100000
/paired/12/p,0
/paired/12/method,zne_quadratic
/paired/12/n,45
/paired/12/better,3
/paired/12/worse,42
/paired/13/mode,equal_shots
/paired/13/budget,100000
/paired/13/p,0
/paired/13/method,sv
/paired/13/n,45
/paired/13/better,2
/paired/13/worse,43
/paired/14/mode,equal_shots
/paired/14/budget,100000
/paired/14/p,0.01
/paired/14/method,zne_quadratic
/paired/14/n,45
/paired/14/better,45
/paired/14/worse,0
/paired/15/mode,equal_shots
/paired/15/budget,100000
/paired/15/p,0.01
/paired/15/method,sv
/paired/15/n,45
/paired/15/better,45
/paired/15/worse,0
/paired/16/mode,equal_shots
/paired/16/budget,100000
/paired/16/p,0.05
/paired/16/method,zne_quadratic
/paired/16/n,45
/paired/16/better,45
/paired/16/worse,0
/paired/17/mode,equal_shots
/paired/17/budget,100000
/paired/17/p,0.05
/paired/17/method,sv
/paired/17/n,45
/paired/17/better,40
/paired/17/worse,5
/extensions/0/cohort,low_field_confirmation
/extensions/0/method,B3
/extensions/0/n,48
/extensions/0/candidate_exists,27
/extensions/0/joint_pass,27
/extensions/0/observable_pass,28
/extensions/0/median_CNOT,32.0
/extensions/0/nfev,678228.0
/extensions/1/cohort,low_field_confirmation
/extensions/1/method,H6
/extensions/1/n,48
/extensions/1/candidate_exists,45
/extensions/1/joint_pass,37
/extensions/1/observable_pass,45
/extensions/1/median_CNOT,127.0
/extensions/1/nfev,5050938.0
/extensions/2/cohort,confirmation
/extensions/2/method,B3
/extensions/2/n,96
/extensions/2/candidate_exists,67
/extensions/2/joint_pass,66
/extensions/2/observable_pass,68
/extensions/2/median_CNOT,64.0
/extensions/2/nfev,1344484.0
/extensions/3/cohort,confirmation
/extensions/3/method,H6
/extensions/3/n,96
/extensions/3/candidate_exists,85
/extensions/3/joint_pass,77
/extensions/3/observable_pass,85
/extensions/3/median_CNOT,127.0
/extensions/3/nfev,5746986.0
/extensions/4/cohort,n12
/extensions/4/method,B3
/extensions/4/n,36
/extensions/4/candidate_exists,24
/extensions/4/joint_pass,23
/extensions/4/observable_pass,24
/extensions/4/median_CNOT,96.0
/extensions/4/nfev,306078.0
/extensions/5/cohort,n12
/extensions/5/method,H6
/extensions/5/n,36
/extensions/5/candidate_exists,22
/extensions/5/joint_pass,17
/extensions/5/observable_pass,22
/extensions/5/median_CNOT,127.0
/extensions/5/nfev,1148288.0
/windows/0/mode,equal_shots
/windows/0/budget,10000
/windows/0/p,0
/windows/0/method,raw
/windows/0/requested_windows,6
/windows/0/executed_complete_windows,6
/windows/0/reference_resolvable_windows,5
/windows/0/frozen_matching_window_equivalents,3.71875
/windows/0/matched_fraction_given_reference,0.74375
/windows/0/matched_problem_window_equivalents,2.65625
/windows/0/quality_supported_match_window_equivalents,1.0625
/windows/0/windows/0/kappa,0.0
/windows/0/windows/0/complete,True
/windows/0/windows/0/reference_resolvable,True
/windows/0/windows/0/match_fraction,0.5
/windows/0/windows/0/matched_problem_fraction,0.0
/windows/0/windows/0/quality_supported_match_fraction,0.5
/windows/0/windows/0/issues/endpoint_dominated,1
/windows/0/windows/0/issues/competing_peaks,5
/windows/0/windows/0/exact_match,False
/windows/0/windows/0/exact_audit/0,competing_peaks
/windows/0/windows/0/all_repeat_position_errors/0,0.0
/windows/0/windows/0/all_repeat_position_errors/1,0.0625
/windows/0/windows/0/all_repeat_position_errors/2,0.025000000000000022
/windows/0/windows/0/all_repeat_position_errors/3,0.04999999999999982
/windows/0/windows/0/all_repeat_position_errors/4,0.03750000000000009
/windows/0/windows/0/all_repeat_position_errors/5,-0.050000000000000044
/windows/0/windows/0/all_repeat_position_errors/6,0.03750000000000009
/windows/0/windows/0/all_repeat_position_errors/7,-0.0625
/windows/0/windows/0/all_repeat_position_errors/8,0.07500000000000018
/windows/0/windows/0/all_repeat_position_errors/9,0.07500000000000018
/windows/0/windows/0/all_repeat_position_errors/10,0.04999999999999982
/windows/0/windows/0/all_repeat_position_errors/11,0.0625
/windows/0/windows/0/all_repeat_position_errors/12,0.03750000000000009
/windows/0/windows/0/all_repeat_position_errors/13,0.03750000000000009
/windows/0/windows/0/all_repeat_position_errors/14,0.07500000000000018
/windows/0/windows/0/all_repeat_position_errors/15,0.08749999999999991
/windows/0/windows/0/all_repeat_position_errors/16,0.0
/windows/0/windows/0/all_repeat_position_errors/17,0.0
/windows/0/windows/0/all_repeat_position_errors/18,0.012499999999999956
/windows/0/windows/0/all_repeat_position_errors/19,0.025000000000000022
/windows/0/windows/0/all_repeat_position_errors/20,0.07500000000000018
/windows/0/windows/0/all_repeat_position_errors/21,0.08749999999999991
/windows/0/windows/0/all_repeat_position_errors/22,0.04999999999999982
/windows/0/windows/0/all_repeat_position_errors/23,0.04999999999999982
/windows/0/windows/0/all_repeat_position_errors/24,0.07500000000000018
/windows/0/windows/0/all_repeat_position_errors/25,0.025000000000000022
/windows/0/windows/0/all_repeat_position_errors/26,0.03750000000000009
/windows/0/windows/0/all_repeat_position_errors/27,0.012499999999999956
/windows/0/windows/0/all_repeat_position_errors/28,0.012499999999999956
/windows/0/windows/0/all_repeat_position_errors/29,0.08749999999999991
/windows/0/windows/0/all_repeat_position_errors/30,0.08749999999999991
/windows/0/windows/0/all_repeat_position_errors/31,0.03750000000000009
/windows/0/windows/1/kappa,0.3
/windows/0/windows/1/complete,True
/windows/0/windows/1/reference_resolvable,True
/windows/0/windows/1/match_fraction,0.5625
/windows/0/windows/1/matched_problem_fraction,0.0
/windows/0/windows/1/quality_supported_match_fraction,0.5625
/windows/0/windows/1/issues/competing_peaks,7
/windows/0/windows/1/issues/preparation_observable_failure_near_peak,3
/windows/0/windows/1/exact_match,True
/windows/0/windows/1/all_repeat_position_errors/0,0.025000000000000022
/windows/0/windows/1/all_repeat_position_errors/1,0.050000000000000044
/windows/0/windows/1/all_repeat_position_errors/2,0.08750000000000002
/windows/0/windows/1/all_repeat_position_errors/3,0.0625
/windows/0/windows/1/all_repeat_position_errors/4,0.0
/windows/0/windows/1/all_repeat_position_errors/5,0.025000000000000022
/windows/0/windows/1/all_repeat_position_errors/6,0.0
/windows/0/windows/1/all_repeat_position_errors/7,-0.012499999999999956
/windows/0/windows/1/all_repeat_position_errors/8,-0.012499999999999956
/windows/0/windows/1/all_repeat_position_errors/9,-0.012499999999999956
/windows/0/windows/1/all_repeat_position_errors/10,-0.012499999999999956
/windows/0/windows/1/all_repeat_position_errors/11,-0.025000000000000022
/windows/0/windows/1/all_repeat_position_errors/12,-0.050000000000000044
/windows/0/windows/1/all_repeat_position_errors/13,0.050000000000000044
/windows/0/windows/1/all_repeat_position_errors/14,0.08750000000000002
/windows/0/windows/1/all_repeat_position_errors/15,-0.03749999999999998
/windows/0/windows/1/all_repeat_position_errors/16,0.025000000000000022
/windows/0/windows/1/all_repeat_position_errors/17,-0.025000000000000022
/windows/0/windows/1/all_repeat_position_errors/18,0.08750000000000002
/windows/0/windows/1/all_repeat_position_errors/19,0.050000000000000044
/windows/0/windows/1/all_repeat_position_errors/20,0.025000000000000022
/windows/0/windows/1/all_repeat_position_errors/21,0.050000000000000044
/windows/0/windows/1/all_repeat_position_errors/22,-0.03749999999999998
/windows/0/windows/1/all_repeat_position_errors/23,-0.025000000000000022
/windows/0/windows/1/all_repeat_position_errors/24,-0.0625
/windows/0/windows/1/all_repeat_position_errors/25,-0.025000000000000022
/windows/0/windows/1/all_repeat_position_errors/26,0.0
/windows/0/windows/1/all_repeat_position_errors/27,0.0
/windows/0/windows/1/all_repeat_position_errors/28,0.0625
/windows/0/windows/1/all_repeat_position_errors/29,-0.025000000000000022
/windows/0/windows/1/all_repeat_position_errors/30,-0.025000000000000022
/windows/0/windows/1/all_repeat_position_errors/31,0.025000000000000022
/windows/0/windows/2/kappa,0.45
/windows/0/windows/2/complete,True
/windows/0/windows/2/reference_resolvable,True
/windows/0/windows/2/match_fraction,1.0
/windows/0/windows/2/matched_problem_fraction,1.0
/windows/0/windows/2/quality_supported_match_fraction,0.0
/windows/0/windows/2/issues/preparation_observable_failure_near_peak,32
/windows/0/windows/2/exact_match,True
/windows/0/windows/2/exact_audit/0,preparation_observable_failure_near_peak
/windows/0/windows/2/all_repeat_position_errors/0,0.0
/windows/0/windows/2/all_repeat_position_errors/1,0.0
/windows/0/windows/2/all_repeat_position_errors/2,0.0
/windows/0/windows/2/all_repeat_position_errors/3,0.0
/windows/0/windows/2/all_repeat_position_errors/4,0.0
/windows/0/windows/2/all_repeat_position_errors/5,0.0
/windows/0/windows/2/all_repeat_position_errors/6,0.0
/windows/0/windows/2/all_repeat_position_errors/7,0.0
/windows/0/windows/2/all_repeat_position_errors/8,0.0
/windows/0/windows/2/all_repeat_position_errors/9,0.0
/windows/0/windows/2/all_repeat_position_errors/10,0.0
/windows/0/windows/2/all_repeat_position_errors/11,0.0
/windows/0/windows/2/all_repeat_position_errors/12,0.012500000000000011
/windows/0/windows/2/all_repeat_position_errors/13,0.0
/windows/0/windows/2/all_repeat_position_errors/14,0.0
/windows/0/windows/2/all_repeat_position_errors/15,0.0
/windows/0/windows/2/all_repeat_position_errors/16,0.0
/windows/0/windows/2/all_repeat_position_errors/17,0.0
/windows/0/windows/2/all_repeat_position_errors/18,0.0
/windows/0/windows/2/all_repeat_position_errors/19,0.0
/windows/0/windows/2/all_repeat_position_errors/20,0.0
/windows/0/windows/2/all_repeat_position_errors/21,0.0
/windows/0/windows/2/all_repeat_position_errors/22,0.0
/windows/0/windows/2/all_repeat_position_errors/23,0.0
/windows/0/windows/2/all_repeat_position_errors/24,0.0
/windows/0/windows/2/all_repeat_position_errors/25,0.0
/windows/0/windows/2/all_repeat_position_errors/26,0.0
/windows/0/windows/2/all_repeat_position_errors/27,0.0
/windows/0/windows/2/all_repeat_position_errors/28,0.0
/windows/0/windows/2/all_repeat_position_errors/29,0.0
/windows/0/windows/2/all_repeat_position_errors/30,0.012500000000000011
/windows/0/windows/2/all_repeat_position_errors/31,0.0
/windows/0/windows/3/kappa,0.5
/windows/0/windows/3/complete,True
/windows/0/windows/3/reference_resolvable,False
/windows/0/windows/3/match_fraction,0.0
/windows/0/windows/3/matched_problem_fraction,0.0
/windows/0/windows/3/quality_supported_match_fraction,0.0
/windows/0/windows/3/issues/preparation_observable_failure_near_peak,32
/windows/0/windows/3/issues/competing_peaks,2
/windows/0/windows/3/exact_match,False
/windows/0/windows/3/exact_audit/0,preparation_observable_failure_near_peak
/windows/0/windows/3/all_repeat_position_errors/0,
/windows/0/windows/3/all_repeat_position_errors/1,
/windows/0/windows/3/all_repeat_position_errors/2,
/windows/0/windows/3/all_repeat_position_errors/3,
/windows/0/windows/3/all_repeat_position_errors/4,
/windows/0/windows/3/all_repeat_position_errors/5,
/windows/0/windows/3/all_repeat_position_errors/6,
/windows/0/windows/3/all_repeat_position_errors/7,
/windows/0/windows/3/all_repeat_position_errors/8,
/windows/0/windows/3/all_repeat_position_errors/9,
/windows/0/windows/3/all_repeat_position_errors/10,
/windows/0/windows/3/all_repeat_position_errors/11,
/windows/0/windows/3/all_repeat_position_errors/12,
