n,kappa,h,m0,map,mx,binder,antiphase_binder,sector_gap,residual,ambiguous,source,level,bc
8,0.45,0.1,0.9690957568528382,0.003323791809781401,0.1132817750857813,0.6586533909178648,-13.158604504548093,0.07364716678146621,5.358237378332728e-15,False,results/stage6_v1/reference_atlas/cache/d8ce3add3da91bb8b0b4ccc109d42c1862ef23d7e4f7bf9f7d31f3226e9b2e33.npz,RN,PBC
8,0.45,0.1125,0.869752962436466,0.010719924336470954,0.18035622646156074,0.6243916153726128,-3.5716110991503296,0.04263592304297514,3.6892808304271206e-15,False,results/stage6_v1/reference_atlas/cache/c0a22247d1270813b00e5ffd351947f8618e573c98ab0586a5c0e62cb2a44090.npz,RN,PBC
8,0.45,0.125,0.4529003105350023,0.03720104729474594,0.37936778814954153,0.34182143575592217,-0.3085743707574393,0.03637761702462594,5.053404947295964e-15,False,results/stage6_v1/reference_atlas/cache/43954ab5149209f1eff76f79c16e262f10bff44b6d6d466553428c3f63f713fa.npz,RN,PBC
8,0.45,0.1375,0.21283454197903726,0.05126144326428163,0.4789100629156291,-0.10592680693606282,0.049535324248100254,0.06182933973216187,3.1124701948598153e-15,False,results/stage6_v1/reference_atlas/cache/8e781b53db871d411f15bd3cad81767bd881dd04e212a093f9e94ad576c44f76.npz,RN,PBC
8,0.45,0.15,0.1542694205107994,0.05487676919915886,0.5053540425841041,-0.23672273018271928,0.10239143064103573,0.09591303445325661,3.420081914153126e-15,False,results/stage6_v1/reference_atlas/cache/2017e196d1a35015e4c972e526e6e52ea3c4d49fee235934e0a6dd7e503f09b7.npz,RN,PBC
8,0.45,0.1625,0.13426372020233562,0.05650519159548904,0.5186159882841335,-0.23590173616169374,0.1152765497628675,0.13167185466369435,3.5231754550845555e-15,False,results/stage6_v1/reference_atlas/cache/ac6c7b394507a14c06a7ad4bcd794ada00391714067fbce2a30a5e650a0bdca3.npz,RN,PBC
8,0.45,0.175,0.1255696225822925,0.05761920419135827,0.5285073928585292,-0.20885983283983922,0.11752194301492225,0.16770748027460236,3.977732350013137e-15,False,results/stage6_v1/reference_atlas/cache/ffd797a2ab5aa820441a78a28a51c4a0a54cc213908bd9029ad3a893c73c6834.npz,RN,PBC
8,0.45,0.2,0.11937210746483555,0.059453904624343974,0.545444035092531,-0.15741379063238448,0.1112033220296611,0.2392383385535526,3.735465275556627e-15,False,results/stage6_v1/reference_atlas/cache/52bcf8fdf793ad3222e0b3cae34d5d564a6eea1c82c21820575ffe95621da30b.npz,RN,PBC
8,0.45,0.25,0.11954033868348735,0.06307074347736753,0.5768504431493479,-0.09695920922811019,0.08449682299089045,0.3783180279804954,7.097311488774911e-15,False,results/stage6_v1/reference_atlas/cache/d154c37e66feb8bbf735055b37bf58c5ae0bcb022766be4e301cd1330b9243bd.npz,RN,PBC
8,0.45,0.3,0.12386064193525331,0.06713537893109825,0.6075828758206296,-0.062552620879059,0.053690567836455094,0.5125984719310717,6.9302712601253755e-15,False,results/stage6_v1/reference_atlas/cache/8965b8215cb72dd1909d2207a355bade19c3462d926e0f1983078da1cae44423.npz,RN,PBC
8,0.45,0.35,0.12904529742845344,0.07168080168576989,0.6376822708363736,-0.037218259226914574,0.026485937489992617,0.6440187980662557,5.844486131890064e-15,False,results/stage6_v1/reference_atlas/cache/0aa7053b5c0175a49a937dc9e08a3a911846f5870731d9705db47b09bd7cf9c4.npz,RN,PBC
8,0.45,0.4,0.13412736416946308,0.07658968268837199,0.6666973119606472,-0.016185163583514184,0.006797248056834682,0.7746178593653381,4.678966314461061e-15,False,results/stage6_v1/reference_atlas/cache/bd99df3b31fd9ab8379594e20054d7be566db9ebffebd434d6c6ddca21137592.npz,RN,PBC
8,0.45,0.45,0.13870638677059216,0.08169505475733614,0.6941699536164566,0.0018359257649590566,-0.004318523792746554,0.9060647563918929,4.575673769398854e-15,False,results/stage6_v1/reference_atlas/cache/8b5aa31b46c2d555f5de1457cd0a6de732b0471203db2540877bb981fbf51432.npz,RN,PBC
8,0.45,0.5,0.14261956813237348,0.08682325082429261,0.719755426521343,0.01723363817253587,-0.007758943955042286,1.0395555100342886,5.772701530199856e-15,False,results/stage6_v1/reference_atlas/cache/538c4efb76e6ac7b7871bbfe05d278ef36158aab5990b9d99a0dbc5548232e56.npz,RN,PBC
8,0.45,0.55,0.14583319668696706,0.09182162770222325,0.7432563294686075,0.03023920325368623,-0.005325995459359634,1.175856670447967,5.819783972320625e-15,False,results/stage6_v1/reference_atlas/cache/85b82eb4c82fc7006e0d1eeed33a2426448ef20f9ef68966b859bfc20d2782e1.npz,RN,PBC
8,0.45,0.6,0.148386245817068,0.09657328259557937,0.7646137336833425,0.04110531626016445,0.0010619342432098833,1.3153967681606211,5.395047462238564e-15,False,results/stage6_v1/reference_atlas/cache/f5126bc293cc9dae39412a87bdc923aeef44d39866d53e56b75a6a4cf1dd5401.npz,RN,PBC
