n,kappa,h,energy_per_site,mx,c1,c2,m2_ferro,m2_antiphase,residual,classical_degeneracy
12,0.8,0.0,-0.8000000000000002,0.0,0.0,-1.0,0.0,0.5,0.0,4.0
12,0.8,0.05,-0.800781688205198,0.031285174460985186,8.064824150132576e-07,-0.9990207787496669,8.167549338605084e-05,0.49959180986500334,9.635682958403319e-14,0.0
12,0.8,0.1,-0.8031321548144194,0.06279007124348719,1.3107665806296579e-05,-0.9960500500303306,0.00033032160008823953,0.4983511641743519,4.1619320528574485e-13,0.0
12,0.8,0.15000000000000002,-0.8070687271976063,0.09478025260492191,6.837785509802487e-05,-0.9909791393147115,0.0007574384881373506,0.4962248793132682,7.393213651762917e-13,0.0
12,0.8,0.2,-0.8126243419179827,0.12762661583809523,0.00022746427336455864,-0.9835894430962491,0.0013848302945518205,0.4931046314717971,2.1345893261117333e-12,0.0
12,0.8,0.25,-0.8198550564873418,0.16190609245591994,0.0006047575050127977,-0.9734672198354366,0.002250846242334079,0.4887814186372785,5.920608417852454e-12,0.0
12,0.8,0.30000000000000004,-0.8288550945955908,0.19862494152566554,0.0014472940861515844,-0.9597753975646746,0.0034268987279761714,0.48281921302115355,7.453694866032744e-12,0.0
12,0.8,0.35000000000000003,-0.839791087308987,0.23984306674861824,0.0034271082204464904,-0.9405236321581555,0.005067278625905166,0.4741312600423668,6.226452989674349e-12,0.0
12,0.8,0.4,-0.8529951715909956,0.2906798743945831,0.00885535535045792,-0.9098348331033806,0.007581220244679932,0.45931447040806167,8.574178398803096e-12,0.0
12,0.8,0.45,-0.8692422861658725,0.3650715659673434,0.02659683169473268,-0.847954062232294,0.012201053333025076,0.426229861121805,6.918400244676214e-12,0.0
12,0.8,0.5,-0.8902657764189225,0.4828061511616548,0.07832691789647775,-0.7131697286770211,0.021190472431196514,0.3473767463236286,5.814996315740515e-12,0.0
12,0.8,0.55,-0.917527307920694,0.6001744424970444,0.14865798496025656,-0.5484667244838284,0.03159744739651091,0.2472319364980687,2.516180902143919e-12,0.0
12,0.8,0.6000000000000001,-0.9493904304337114,0.6672177304544286,0.18931271112918424,-0.4496838512898371,0.03820276506213715,0.18859863941262936,7.68770685711374e-13,0.0
12,0.8,0.65,-0.9837836251268252,0.7056854559946452,0.20611389449504847,-0.3987177302940714,0.04226478868235217,0.16145135012162076,2.0513960834306106e-13,0.0
12,0.8,0.7000000000000001,-1.019775354095114,0.7327855243166815,0.21223866212000042,-0.36823353119179514,0.04527435112280503,0.1480681196220541,1.228881055939101e-13,0.0
12,0.8,0.75,-1.0569758227363233,0.7545939150706314,0.21361874253119648,-0.34676455487769164,0.047809133553728365,0.14073953849303292,8.274977232550421e-11,0.0
12,0.8,0.8,-1.095183597718249,0.7732968198075821,0.21273635298273216,-0.32976223611181327,0.050081195324900595,0.13630892480820297,3.957774318283522e-11,0.0
12,0.8,0.8500000000000001,-1.1342692393215066,0.7898102633669161,0.21071702794273253,-0.31526685939611887,0.05217420386302098,0.13336991504352905,1.8042798098335156e-11,0.0
