n,kappa,h,energy_per_site,mx,c1,c2,m2_ferro,m2_antiphase,residual,classical_degeneracy
8,0.15000000000000002,0.4,-0.8983480075634592,0.24958518434790425,0.938549967211434,0.9335735559142448,0.9428680100027615,0.00820955851641583,6.159970347741298e-15,0.0
8,0.15000000000000002,0.5,-0.9271209166490577,0.3283575700397127,0.8949677483045302,0.8801707778355254,0.8975185113318763,0.01447395386739908,6.6939259563213186e-15,0.0
8,0.15000000000000002,0.6000000000000001,-0.9646643244468315,0.4262621520084383,0.8272596236591381,0.7890172694491342,0.8200408252102798,0.02447840881378073,6.273205267855318e-15,0.0
8,0.15000000000000002,0.7000000000000001,-1.0130333590147749,0.5429286658790221,0.7303246003093851,0.6489420493995068,0.7004491712747125,0.038925447284222224,6.845903723172373e-15,0.0
8,0.15000000000000002,0.8,-1.0730758023813374,0.6544085385800936,0.6229831830279005,0.4895614100709205,0.5640967602426545,0.0549544449035179,6.789348675477841e-15,0.0
8,0.15000000000000002,0.9,-1.1429379415134127,0.7376154148208669,0.5328440282511682,0.358399733843572,0.4523461556325426,0.06852166857122549,7.440474693083544e-15,0.0
8,0.15000000000000002,1.0,-1.2196808663279746,0.7934904783795753,0.4663087674150538,0.2674558631110332,0.3757049509543678,0.07868906137853046,5.881759465078374e-15,0.0
8,0.15000000000000002,1.1,-1.3010454171135648,0.8315258468467982,0.41731887537977286,0.2063459319845738,0.325007064445795,0.08628609527809723,7.996496460423606e-15,0.0
8,0.15000000000000002,1.2000000000000002,-1.3856297383884066,0.858769292416463,0.37972184285244914,0.16410170242532382,0.29055154887688517,0.09215702008330807,5.4556476913871644e-15,0.0
8,0.15000000000000002,1.3,-1.4725757013964187,0.8792491514459285,0.3496013877662302,0.1336638883301276,0.2661014896605622,0.09684418915875893,4.8243629830197134e-15,0.0
8,0.15000000000000002,1.4000000000000001,-1.5613305532650374,0.8952292825928243,0.32464108467757474,0.11087684694994382,0.24800598327318565,0.10067718986939035,5.516660673016522e-15,0.0
8,0.15000000000000002,1.5,-1.6515166826207046,0.9080473974697654,0.303436136099542,0.09327033122323511,0.23411801083706818,0.1038649527062349,4.917673954796276e-15,0.0
8,0.15000000000000002,1.6,-1.7428629754639715,0.9185447885150299,0.2850891874919115,0.07931915767991883,0.22313242772828723,0.10654844599488439,6.30020997918666e-15,0.0
8,0.15000000000000002,1.7000000000000002,-1.8351671276655925,0.9272813305815051,0.2689948398300292,0.06803982768664003,0.21422379225729604,0.10882829398391154,5.638413853025421e-15,0.0
8,0.15000000000000002,1.8,-1.928273672763714,0.9346473011086173,0.25472425804428717,0.058771515173900314,0.20684947971943846,0.11077951719378619,9.713182556283312e-15,0.0
8,0.15000000000000002,1.9000000000000001,-2.022060388043498,0.9409249227865439,0.24196109983937847,0.0510537672687664,0.20063997473660386,0.11245983981052694,1.1085008432103996e-14,0.0
8,0.15000000000000002,2.0,-2.1164294359615914,0.9463242644839209,0.23046424490871342,0.044555586099764524,0.19533563165820725,0.11391468987706949,7.425226037230266e-15,0.0
8,0.2,0.0,-0.8,0.0,1.0,1.0,1.0,-3.0616169978683824e-17,0.0,2.0
8,0.2,0.1,-0.8031314889278177,0.06276055234494707,0.9960631772677779,0.9960387178722764,0.9965402078067367,0.0004952327080521263,4.886027189482208e-15,0.0
8,0.2,0.2,-0.8126067070249531,0.127179211672929,0.9838604987633892,0.9834481703651099,0.9856184992405908,0.002068367237139016,4.1144724003830325e-15,0.0
8,0.2,0.30000000000000004,-0.8287006860549062,0.19568461457441222,0.9619083580623089,0.9595652818986308,0.9651331920396227,0.005028105728077213,4.68261030707809e-15,0.0
8,0.2,0.4,-0.8520481293489203,0.2735412393544065,0.9260164901558676,0.9169242827435511,0.9289254095545676,0.01013830980707335,8.571870975266887e-15,0.0
8,0.2,0.5,-0.8840861039063762,0.3718206652076168,0.8653819994004783,0.8360311404895516,0.8603493610767432,0.019146474219300713,1.0534949283096071e-14,0.0
8,0.2,0.6000000000000001,-0.9274346425847916,0.4993591802212584,0.7656083056618925,0.6889458560492829,0.7349039319000785,0.0341751088259304,4.739990880290026e-15,0.0
8,0.2,0.7000000000000001,-0.9840799723535032,0.6298249650676989,0.6433001069014144,0.5004880504765042,0.5734999139725034,0.05260144731552686,5.970417220152769e-15,0.0
8,0.2,0.8,-1.0521442691847054,0.7245624028759333,0.5419736195014327,0.3473963630873709,0.4430241956444664,0.06804167527890102,9.277558045928413e-15,0.0
8,0.2,0.9,-1.127828223260036,0.784625342431455,0.47143101474152627,0.24882799834899894,0.3603612372004852,0.07908489292012132,1.8742721836921976e-15,0.0
8,0.2,1.0,-1.2083967875544115,0.8242727288494647,0.421448145797616,0.18662043546334575,0.3094363836809321,0.08712674204239544,3.5619445103257566e-15,0.0
8,0.2,1.1,-1.2923059137874366,0.8524693636024567,0.3836350935313203,0.14522739853293304,0.27642515506844934,0.09329899808990391,1.847462486764888e-14,0.0
8,0.2,1.2000000000000002,-1.3786613790602922,0.8737210018434516,0.35340070121315464,0.11602262182502411,0.2536605265575558,0.0982256162109029,3.732170377915007e-15,0.0
8,0.2,1.3,-1.46689811632936,0.890381543879637,0.32828428897630746,0.09441089845238072,0.2370895871945315,0.10225455619815009,3.991016288122638e-15,0.0
8,0.2,1.4000000000000001,-1.5566301446884512,0.9037999102033152,0.3068763987185799,0.07783064157385147,0.2244889018420984,0.10559945379609807,4.274088289741077e-15,0.0
8,0.2,1.5,-1.6475784460615055,0.9148198286841865,0.2883010316304496,0.06476164297612111,0.21456989564397022,0.10840467541759113,6.962612140293325e-15,0.0
8,0.2,1.6,-1.7395331801753318,0.9240064564755996,0.2719720263429936,0.05424588264310733,0.2065441489811104,0.1107749564789934,5.638413853025421e-15,0.0
8,0.2,1.7000000000000002,-1.8323320133573966,0.9317578822995092,0.25747310457830097,0.04564745565035116,0.19990518411860422,0.1127898739418358,4.518280359883027e-15,0.0
8,0.2,1.8,-1.9258466911977286,0.9383649787341197,0.24449487347498897,0.038525719993381766,0.1943135805206802,0.11451165284821041,5.494482420051847e-15,0.0
8,0.2,1.9000000000000001,-2.019974200776191,0.9440461560984411,0.23279939636684865,0.032564460888480064,0.18953345880230166,0.11598984012699752,8.505533004286482e-15,0.0
8,0.2,2.0,-2.1146306817643143,0.9489689021951813,0.22219892108405825,0.02753021855053426,0.18539571707481217,0.11726436777563623,5.757124627010134e-15,0.0
8,0.25,0.0,-0.75,0.0,1.0,1.0,1.0,-3.0616169978683824e-17,0.0,2.0
8,0.25,0.1,-0.7533434950928446,0.0670754874520759,0.9955006736362304,0.9954589091543737,0.9960372754731013,0.0005677343469675773,2.4217027693790282e-15,0.0
8,0.25,0.2,-0.7635028407429616,0.13683306833787856,0.9812721328508194,0.9805436231017324,0.9831490174540038,0.002428946234877089,9.470350409787234e-15,0.0
8,0.25,0.30000000000000004,-0.7809464176370402,0.2139086681204575,0.9542034372172093,0.9497184800652265,0.9568929663476463,0.006199653575324092,7.524315287640497e-15,0.0
8,0.25,0.4,-0.8069147683005565,0.31042468764073616,0.9037115009108303,0.883866430666271,0.9011797409622054,0.013690995356337263,4.140353981839501e-15,0.0
8,0.25,0.5,-0.8444396313388065,0.4479577411710951,0.8040133901776463,0.7342105176975512,0.7735814438154028,0.028821665111493908,6.419499094451988e-15,0.0
8,0.25,0.6000000000000001,-0.8972246651238142,0.6039879855917736,0.6608464554253815,0.504058326626527,0.5757776670536257,0.05042340874581686,8.507978832300157e-15,0.0
8,0.25,0.7000000000000001,-0.9634914883793801,0.7117001999291775,0.5461836071599476,0.32352903492396745,0.4215335296957443,0.06799943259016344,5.6380082204951654e-15,0.0
8,0.25,0.8,-1.0380701699811477,0.7746577252440263,0.47346834843979213,0.2204974346154618,0.33573141636475107,0.07971168937113614,5.287605616053273e-15,0.0
